nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
CMR,"DF,MF",24,1991,27.3,,,,,,,,,,,,,,,,
JAM,"DF,MF",22,1993,0.2,,,,,,,,,,,,,,,,
GER,GK,23,1993,10.0,,,,,,,,,,,,,,,,
BRA,MF,29,1987,12.4,,,,,,,,,,,,,,,,
SRB,MF,20,1996,0.5,,,,,,,,,,,,,,,,
ENG,DF,25,1991,36.9,,,,,,,,,,,,,,,,
ENG,"FW,MF",18,1997,0.1,,,,,,,,,,,,,,,,
BRA,"FW,MF",24,1992,24.7,,,,,,,,,,,,,,,,
EST,DF,30,1985,15.7,,,,,,,,,,,,,,,,
BRA,"FW,MF",24,1991,34.0,,,,,,,,,,,,,,,,
SEN,"FW,MF",24,1992,24.8,,,,,,,,,,,,,,,,
BEL,GK,28,1988,28.0,,,,,,,,,,,,,,,,
ENG,DF,17,1998,1.9,,,,,,,,,,,,,,,,
ESP,MF,19,1997,0.9,,,,,,,,,,,,,,,,
SRB,DF,30,1985,28.2,,,,,,,,,,,,,,,,
FRA,DF,33,1983,15.0,,,,,,,,,,,,,,,,
CHI,GK,33,1983,21.9,,,,,,,,,,,,,,,,
ESP,"FW,MF",30,1986,30.7,,,,,,,,,,,,,,,,
ENG,"DF,MF",26,1989,2.5,,,,,,,,,,,,,,,,
BRA,"DF,MF",31,1985,30.6,,,,,,,,,,,,,,,,
BRA,"DF,MF",29,1987,6.3,,,,,,,,,,,,,,,,
BRA,"FW,MF",19,1997,7.2,,,,,,,,,,,,,,,,
FRA,DF,31,1985,23.6,,,,,,,,,,,,,,,,
ESP,"DF,FW",30,1985,11.8,,,,,,,,,,,,,,,,
ENG,DF,22,1994,22.4,,,,,,,,,,,,,,,,
NGA,"FW,MF",19,1996,6.0,,,,,,,,,,,,,,,,
BEL,"FW,MF",25,1991,32.0,,,,,,,,,,,,,,,,
GER,"FW,MF",20,1996,19.8,,,,,,,,,,,,,,,,
ARG,DF,28,1988,28.8,,,,,,,,,,,,,,,,
ESP,"FW,MF",29,1986,8.6,,,,,,,,,,,,,,,,
ARG,"DF,MF",31,1985,11.8,,,,,,,,,,,,,,,,
ENG,"FW,MF",21,1994,27.9,,,,,,,,,,,,,,,,
FRA,"FW,MF",29,1987,0.2,,,,,,,,,,,,,,,,
ARG,FW,28,1988,26.7,,,,,,,,,,,,,,,,
BEL,DF,30,1986,9.1,,,,,,,,,,,,,,,,
ARG,GK,34,1981,16.1,,,,,,,,,,,,,,,,
CIV,MF,33,1983,21.6,,,,,,,,,,,,,,,,
GER,MF,25,1990,7.8,,,,,,,,,,,,,,,,
ESP,MF,26,1989,27.4,,,,,,,,,,,,,,,,
ENG,"FW,MF",15,2000,0.0,,,,,,,,,,,,,,,,
FRA,"FW,MF",20,1995,17.3,,,,,,,,,,,,,,,,
ECU,"DF,MF",30,1985,27.6,,,,,,,,,,,,,,,,
ENG,"DF,FW",31,1985,8.4,,,,,,,,,,,,,,,,
COD,DF,18,1997,3.4,,,,,,,,,,,,,,,,
ENG,DF,26,1989,13.5,,,,,,,,,,,,,,,,
NED,"DF,MF",26,1990,20.3,,,,,,,,,,,,,,,,
ESP,GK,25,1990,35.0,,,,,,,,,,,,,,,,
ENG,"DF,MF",19,1997,1.0,,,,,,,,,,,,,,,,
CIV,DF,22,1994,22.9,,,,,,,,,,,,,,,,
ARM,"FW,MF",27,1989,15.0,,,,,,,,,,,,,,,,
ENG,"FW,MF",23,1992,15.1,,,,,,,,,,,,,,,,
POR,GK,20,1996,1.0,,,,,,,,,,,,,,,,
ENG,MF,20,1995,1.0,,,,,,,,,,,,,,,,
ESP,"FW,MF",28,1988,17.9,,,,,,,,,,,,,,,,
ENG,"DF,MF",21,1995,7.6,,,,,,,,,,,,,,,,
ARG,DF,26,1990,18.5,,,,,,,,,,,,,,,,
ENG,"FW,MF",18,1997,19.0,,,,,,,,,,,,,,,,
BEL,MF,28,1987,17.8,,,,,,,,,,,,,,,,
ITA,"DF,MF",26,1989,14.8,,,,,,,,,,,,,,,,
NED,"FW,MF",22,1994,0.3,,,,,,,,,,,,,,,,
ENG,MF,35,1981,17.8,,,,,,,,,,,,,,,,
FRA,MF,26,1989,0.2,,,,,,,,,,,,,,,,
FRA,MF,23,1993,29.0,,,,,,,,,,,,,,,,
ENG,"DF,MF",24,1992,17.6,,,,,,,,,,,,,,,,
SCO,MF,19,1996,1.1,,,,,,,,,,,,,,,,
ARG,GK,29,1987,2.0,,,,,,,,,,,,,,,,
NED,DF,18,1998,1.1,,,,,,,,,,,,,,,,
ENG,"FW,MF",30,1985,17.1,,,,,,,,,,,,,,,,
SWE,FW,34,1981,27.1,,,,,,,,,,,,,,,,
ENG,MF,27,1989,31.2,,,,,,,,,,,,,,,,
ENG,MF,24,1991,29.9,,,,,,,,,,,,,,,,
ESP,"FW,MF",20,1996,17.1,,,,,,,,,,,,,,,,
ALG,MF,30,1985,1.6,,,,,,,,,,,,,,,,
GHA,"DF,FW",28,1987,1.4,,,,,,,,,,,,,,,,
ESP,"DF,MF",29,1987,24.4,,,,,,,,,,,,,,,,
ENG,DF,23,1993,38.0,,,,,,,,,,,,,,,,
COL,DF,27,1989,10.8,,,,,,,,,,,,,,,,
USA,GK,31,1984,10.0,,,,,,,,,,,,,,,,
ENG,"DF,MF",21,1995,24.0,,,,,,,,,,,,,,,,
URU,"FW,MF",29,1986,15.0,,,,,,,,,,,,,,,,
ESP,DF,25,1990,10.2,,,,,,,,,,,,,,,,
ENG,FW,31,1985,0.5,,,,,,,,,,,,,,,,
EQG,"DF,FW",26,1989,3.6,,,,,,,,,,,,,,,,
BRA,DF,26,1990,20.5,,,,,,,,,,,,,,,,
URU,"FW,MF",25,1990,17.1,,,,,,,,,,,,,,,,
ENG,"DF,MF",28,1987,21.8,,,,,,,,,,,,,,,,
ENG,MF,30,1986,7.9,,,,,,,,,,,,,,,,
ENG,DF,22,1994,0.6,,,,,,,,,,,,,,,,
SCO,FW,26,1990,2.3,,,,,,,,,,,,,,,,
NED,"DF,MF",25,1991,30.8,,,,,,,,,,,,,,,,
ENG,"FW,MF",22,1993,3.2,,,,,,,,,,,,,,,,
BEN,FW,27,1988,5.9,,,,,,,,,,,,,,,,
ENG,"FW,MF",32,1984,24.6,,,,,,,,,,,,,,,,
DEN,"FW,MF",22,1994,4.9,,,,,,,,,,,,,,,,
ESP,GK,34,1982,28.0,,,,,,,,,,,,,,,,
ESP,FW,30,1985,31.9,,,,,,,,,,,,,,,,
ENG,FW,27,1989,10.4,,,,,,,,,,,,,,,,
CUW,"DF,MF",26,1989,6.6,,,,,,,,,,,,,,,,
POR,"DF,MF",24,1991,27.9,,,,,,,,,,,,,,,,
SRB,"FW,MF",27,1988,26.8,,,,,,,,,,,,,,,,
ENG,GK,28,1988,38.0,,,,,,,,,,,,,,,,
ENG,MF,21,1995,0.7,,,,,,,,,,,,,,,,
ENG,DF,22,1994,16.3,,,,,,,,,,,,,,,,
ENG,MF,21,1994,20.9,,,,,,,,,,,,,,,,
ENG,"FW,MF",27,1989,9.9,,,,,,,,,,,,,,,,
NED,MF,25,1991,11.3,,,,,,,,,,,,,,,,
ENG,MF,19,1997,2.3,,,,,,,,,,,,,,,,
POR,DF,32,1983,17.0,,,,,,,,,,,,,,,,
FRA,"DF,FW",27,1989,1.4,,,,,,,,,,,,,,,,
ITA,FW,24,1991,8.0,,,,,,,,,,,,,,,,
URU,DF,29,1987,1.0,,,,,,,,,,,,,,,,
ENG,"DF,MF",20,1995,4.1,,,,,,,,,,,,,,,,
JPN,DF,27,1988,23.0,,,,,,,,,,,,,,,,
ENG,"FW,MF",22,1994,32.2,,,,,,,,,,,,,,,,
ESP,MF,24,1991,34.1,,,,,,,,,,,,,,,,
DEN,MF,20,1995,14.5,,,,,,,,,,,,,,,,
ENG,"DF,MF",26,1989,27.9,,,,,,,,,,,,,,,,
ENG,MF,21,1995,6.8,,,,,,,,,,,,,,,,
IRL,FW,29,1987,14.0,,,,,,,,,,,,,,,,
MAR,"FW,MF",22,1993,12.3,,,,,,,,,,,,,,,,
NIR,MF,31,1985,29.4,,,,,,,,,,,,,,,,
NED,DF,25,1991,20.6,,,,,,,,,,,,,,,,
ESP,"FW,MF",25,1990,5.3,,,,,,,,,,,,,,,,
NED,DF,24,1992,35.0,,,,,,,,,,,,,,,,
SCO,MF,30,1985,16.6,,,,,,,,,,,,,,,,
NED,"DF,MF",27,1988,35.0,,,,,,,,,,,,,,,,
USA,"DF,MF",31,1985,18.1,,,,,,,,,,,,,,,,
COD,MF,23,1992,8.8,,,,,,,,,,,,,,,,
