nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
JPN,GK,33,1983,5.0,,,,,,,,,,,,,,,,
SEN,DF,26,1989,11.1,,,,,,,,,,,,,,,,
FRA,"FW,MF",24,1991,9.9,,,,,,,,,,,,,,,,
FRA,DF,34,1981,16.4,,,,,,,,,,,,,,,,
FRA,"FW,MF",19,1996,5.8,,,,,,,,,,,,,,,,
CMR,"DF,MF",27,1988,26.0,,,,,,,,,,,,,,,,
ARG,DF,29,1987,19.3,,,,,,,,,,,,,,,,
SEN,FW,21,1995,9.2,,,,,,,,,,,,,,,,
SEN,"FW,MF",18,1998,21.6,,,,,,,,,,,,,,,,
ALB,DF,24,1992,25.9,,,,,,,,,,,,,,,,
MTQ,DF,27,1989,13.9,,,,,,,,,,,,,,,,
FRA,"DF,MF",31,1985,7.1,,,,,,,,,,,,,,,,
FRA,DF,20,1996,3.0,,,,,,,,,,,,,,,,
TUR,FW,29,1987,15.6,,,,,,,,,,,,,,,,
SRB,DF,32,1983,20.4,,,,,,,,,,,,,,,,
SEN,FW,19,1996,0.2,,,,,,,,,,,,,,,,
FRA,DF,18,1998,0.3,,,,,,,,,,,,,,,,
SEN,"FW,MF",22,1994,24.7,,,,,,,,,,,,,,,,
FRA,MF,31,1984,30.9,,,,,,,,,,,,,,,,
GUI,DF,24,1992,34.3,,,,,,,,,,,,,,,,
FRA,"DF,FW",22,1993,5.9,,,,,,,,,,,,,,,,
FRA,GK,20,1995,32.0,,,,,,,,,,,,,,,,
LUX,MF,16,2000,0.1,,,,,,,,,,,,,,,,
FRA,MF,32,1984,14.3,,,,,,,,,,,,,,,,
FRA,"FW,MF",18,1998,0.2,,,,,,,,,,,,,,,,
SEN,DF,20,1996,4.3,,,,,,,,,,,,,,,,
MLI,"FW,MF",21,1995,3.1,,,,,,,,,,,,,,,,
MLI,DF,20,1996,12.0,,,,,,,,,,,,,,,,
ITA,DF,32,1984,10.7,,,,,,,,,,,,,,,,
FRA,DF,22,1994,22.8,,,,,,,,,,,,,,,,
POR,"FW,MF",21,1994,30.9,,,,,,,,,,,,,,,,
FRA,"FW,MF",21,1995,1.1,,,,,,,,,,,,,,,,
CRO,GK,31,1984,36.0,,,,,,,,,,,,,,,,
FRA,"DF,MF",24,1992,25.8,,,,,,,,,,,,,,,,
BRA,"DF,MF",22,1993,34.1,,,,,,,,,,,,,,,,
BRA,MF,20,1996,4.9,,,,,,,,,,,,,,,,
ARG,FW,25,1991,6.6,,,,,,,,,,,,,,,,
FRA,"FW,MF",18,1997,0.2,,,,,,,,,,,,,,,,
POR,"FW,MF",22,1993,1.1,,,,,,,,,,,,,,,,
BRA,DF,23,1992,34.0,,,,,,,,,,,,,,,,
BRA,DF,20,1996,1.0,,,,,,,,,,,,,,,,
POR,MF,29,1986,19.8,,,,,,,,,,,,,,,,
POL,"DF,MF",28,1988,36.0,,,,,,,,,,,,,,,,
FRA,"FW,MF",17,1998,16.6,,,,,,,,,,,,,,,,
FRA,"DF,MF",20,1996,3.6,,,,,,,,,,,,,,,,
FRA,GK,18,1998,0.5,,,,,,,,,,,,,,,,
COD,DF,23,1993,1.0,,,,,,,,,,,,,,,,
ITA,GK,39,1977,1.0,,,,,,,,,,,,,,,,
MAR,"DF,MF",30,1986,9.7,,,,,,,,,,,,,,,,
COL,FW,30,1986,21.4,,,,,,,,,,,,,,,,
SEN,GK,20,1995,0.5,,,,,,,,,,,,,,,,
FRA,MF,20,1995,29.0,,,,,,,,,,,,,,,,
FRA,MF,21,1994,24.7,,,,,,,,,,,,,,,,
FRA,FW,26,1990,24.7,,,,,,,,,,,,,,,,
FRA,FW,18,1997,0.2,,,,,,,,,,,,,,,,
BEL,"DF,MF",28,1987,8.8,,,,,,,,,,,,,,,,
CGO,"DF,MF",18,1997,1.6,,,,,,,,,,,,,,,,
CHA,"FW,MF",23,1993,5.7,,,,,,,,,,,,,,,,
COD,DF,27,1989,0.3,,,,,,,,,,,,,,,,
FRA,DF,31,1985,20.2,,,,,,,,,,,,,,,,
TUN,MF,21,1995,36.5,,,,,,,,,,,,,,,,
FRA,GK,30,1986,13.0,,,,,,,,,,,,,,,,
BEL,"FW,MF",20,1996,10.5,,,,,,,,,,,,,,,,
TUN,MF,29,1987,0.7,,,,,,,,,,,,,,,,
FRA,"FW,MF",18,1998,7.4,,,,,,,,,,,,,,,,
MTQ,MF,33,1982,4.1,,,,,,,,,,,,,,,,
FRA,"DF,MF",23,1993,30.4,,,,,,,,,,,,,,,,
RSA,"FW,MF",23,1993,5.0,,,,,,,,,,,,,,,,
FRA,MF,19,1997,0.2,,,,,,,,,,,,,,,,
FRA,FW,28,1988,6.9,,,,,,,,,,,,,,,,
FRA,GK,34,1982,25.0,,,,,,,,,,,,,,,,
CZE,DF,23,1993,12.1,,,,,,,,,,,,,,,,
SEN,DF,21,1995,1.0,,,,,,,,,,,,,,,,
FRA,DF,24,1991,12.5,,,,,,,,,,,,,,,,
CGO,"DF,FW",19,1997,0.6,,,,,,,,,,,,,,,,
FRA,MF,21,1994,19.4,,,,,,,,,,,,,,,,
GLP,DF,23,1992,6.9,,,,,,,,,,,,,,,,
FRA,"DF,MF",18,1997,16.0,,,,,,,,,,,,,,,,
FRA,MF,27,1989,16.5,,,,,,,,,,,,,,,,
ALG,"FW,MF",26,1990,32.5,,,,,,,,,,,,,,,,
SEN,FW,33,1982,12.1,,,,,,,,,,,,,,,,
BEN,FW,21,1994,31.4,,,,,,,,,,,,,,,,
BEN,"FW,MF",32,1984,25.7,,,,,,,,,,,,,,,,
BRA,DF,38,1977,31.1,,,,,,,,,,,,,,,,
FRA,DF,25,1991,10.5,,,,,,,,,,,,,,,,
MLI,MF,25,1990,12.0,,,,,,,,,,,,,,,,
FRA,MF,20,1995,2.7,,,,,,,,,,,,,,,,
FRA,MF,35,1981,14.3,,,,,,,,,,,,,,,,
FRA,"FW,MF",18,1997,1.0,,,,,,,,,,,,,,,,
BFA,FW,23,1993,8.5,,,,,,,,,,,,,,,,
FRA,"FW,MF",30,1986,12.9,,,,,,,,,,,,,,,,
FRA,MF,35,1980,20.8,,,,,,,,,,,,,,,,
FRA,"FW,MF",31,1985,10.4,,,,,,,,,,,,,,,,
FRA,DF,21,1995,18.0,,,,,,,,,,,,,,,,
MTN,MF,26,1989,19.4,,,,,,,,,,,,,,,,
URU,DF,21,1995,17.9,,,,,,,,,,,,,,,,
FRA,"DF,MF",18,1998,11.5,,,,,,,,,,,,,,,,
CMR,GK,30,1986,22.7,,,,,,,,,,,,,,,,
SEN,"FW,MF",29,1987,22.2,,,,,,,,,,,,,,,,
FRA,DF,28,1988,28.5,,,,,,,,,,,,,,,,
FRA,"DF,MF",28,1988,25.9,,,,,,,,,,,,,,,,
FRA,MF,23,1993,6.2,,,,,,,,,,,,,,,,
FRA,"FW,MF",27,1988,15.9,,,,,,,,,,,,,,,,
FRA,FW,31,1985,16.2,,,,,,,,,,,,,,,,
MAR,DF,32,1984,12.5,,,,,,,,,,,,,,,,
SEN,DF,22,1994,20.5,,,,,,,,,,,,,,,,
CIV,MF,22,1994,6.2,,,,,,,,,,,,,,,,
BLR,GK,28,1988,15.3,,,,,,,,,,,,,,,,
CGO,DF,23,1993,25.0,,,,,,,,,,,,,,,,
FRA,"DF,MF",19,1997,10.9,,,,,,,,,,,,,,,,
FRA,DF,28,1987,15.5,,,,,,,,,,,,,,,,
MAR,MF,20,1996,21.4,,,,,,,,,,,,,,,,
MAR,"FW,MF",36,1980,14.4,,,,,,,,,,,,,,,,
GUI,"FW,MF",22,1994,4.2,,,,,,,,,,,,,,,,
FRA,"DF,FW",22,1993,21.5,,,,,,,,,,,,,,,,
SWE,"FW,MF",24,1991,7.8,,,,,,,,,,,,,,,,
FRA,"FW,MF",19,1996,0.2,,,,,,,,,,,,,,,,
MAR,"FW,MF",19,1997,24.3,,,,,,,,,,,,,,,,
,DF,22,1993,2.8,,,,,,,,,,,,,,,,
BRA,DF,23,1993,32.8,,,,,,,,,,,,,,,,
ARG,FW,25,1990,28.5,,,,,,,,,,,,,,,,
FRA,DF,19,1997,4.8,,,,,,,,,,,,,,,,
COL,"FW,MF",25,1990,6.5,,,,,,,,,,,,,,,,
VEN,FW,24,1992,0.6,,,,,,,,,,,,,,,,
BEL,"DF,MF",32,1984,37.4,,,,,,,,,,,,,,,,
FRA,MF,24,1992,13.5,,,,,,,,,,,,,,,,
CIV,DF,23,1992,27.7,,,,,,,,,,,,,,,,
ISL,FW,26,1990,1.7,,,,,,,,,,,,,,,,
FRA,"DF,MF",21,1994,34.8,,,,,,,,,,,,,,,,
BRA,DF,24,1991,37.6,,,,,,,,,,,,,,,,
POL,FW,21,1995,13.0,,,,,,,,,,,,,,,,
FRA,GK,23,1993,16.0,,,,,,,,,,,,,,,,
DEN,MF,23,1993,8.3,,,,,,,,,,,,,,,,
VEN,DF,32,1984,15.7,,,,,,,,,,,,,,,,
BFA,"FW,MF",29,1987,9.0,,,,,,,,,,,,,,,,
FRA,GK,28,1987,22.0,,,,,,,,,,,,,,,,
POR,MF,24,1992,1.3,,,,,,,,,,,,,,,,
FRA,"DF,MF",21,1994,24.0,,,,,,,,,,,,,,,,
FRA,"DF,MF",27,1988,1.9,,,,,,,,,,,,,,,,
MAR,"FW,MF",24,1991,19.8,,,,,,,,,,,,,,,,
FRA,"FW,MF",23,1993,20.4,,,,,,,,,,,,,,,,
GRE,"FW,MF",19,1996,5.1,,,,,,,,,,,,,,,,
COD,MF,19,1997,2.8,,,,,,,,,,,,,,,,
FRA,"DF,MF",24,1992,26.0,,,,,,,,,,,,,,,,
TUN,"FW,MF",19,1997,0.5,,,,,,,,,,,,,,,,
BRA,"DF,MF",22,1993,31.9,,,,,,,,,,,,,,,,
BRA,DF,32,1983,33.0,,,,,,,,,,,,,,,,
FRA,"FW,MF",17,1999,0.2,,,,,,,,,,,,,,,,
CIV,MF,25,1991,33.1,,,,,,,,,,,,,,,,
FRA,DF,17,1999,24.5,,,,,,,,,,,,,,,,
ITA,FW,25,1990,19.3,,,,,,,,,,,,,,,,
FRA,"DF,MF",33,1982,6.5,,,,,,,,,,,,,,,,
FRA,"DF,MF",26,1989,7.9,,,,,,,,,,,,,,,,
FRA,"DF,FW",26,1990,3.4,,,,,,,,,,,,,,,,
MAR,MF,33,1983,3.4,,,,,,,,,,,,,,,,
FRA,DF,18,1997,0.5,,,,,,,,,,,,,,,,
MTQ,"DF,MF",20,1996,2.8,,,,,,,,,,,,,,,,
FRA,DF,28,1988,20.6,,,,,,,,,,,,,,,,
POR,"DF,FW",22,1993,22.8,,,,,,,,,,,,,,,,
FRA,MF,21,1995,15.7,,,,,,,,,,,,,,,,
FRA,"FW,MF",24,1992,23.1,,,,,,,,,,,,,,,,
FRA,MF,20,1995,18.5,,,,,,,,,,,,,,,,
FRA,MF,19,1997,2.6,,,,,,,,,,,,,,,,
ARG,GK,23,1993,2.4,,,,,,,,,,,,,,,,
FRA,MF,21,1995,27.0,,,,,,,,,,,,,,,,
FRA,GK,22,1994,35.6,,,,,,,,,,,,,,,,
MAR,"FW,MF",26,1990,28.2,,,,,,,,,,,,,,,,
FRA,MF,21,1995,21.5,,,,,,,,,,,,,,,,
FRA,GK,23,1993,14.4,,,,,,,,,,,,,,,,
FRA,MF,29,1987,26.8,,,,,,,,,,,,,,,,
FRA,"FW,MF",18,1997,4.4,,,,,,,,,,,,,,,,
BRA,"DF,MF",29,1987,2.7,,,,,,,,,,,,,,,,
URU,"FW,MF",29,1987,32.9,,,,,,,,,,,,,,,,
ARG,"FW,MF",20,1996,0.9,,,,,,,,,,,,,,,,
POR,"FW,MF",19,1996,1.6,,,,,,,,,,,,,,,,
POL,MF,26,1990,7.3,,,,,,,,,,,,,,,,
FRA,"FW,MF",29,1987,7.1,,,,,,,,,,,,,,,,
ARG,MF,27,1989,9.6,,,,,,,,,,,,,,,,
FRA,FW,19,1997,2.2,,,,,,,,,,,,,,,,
ESP,"FW,MF",23,1993,3.0,,,,,,,,,,,,,,,,
FRA,"FW,MF",18,1998,1.5,,,,,,,,,,,,,,,,
GER,"FW,MF",22,1993,11.2,,,,,,,,,,,,,,,,
GER,GK,26,1990,23.6,,,,,,,,,,,,,,,,
FRA,DF,23,1992,17.0,,,,,,,,,,,,,,,,
FRA,MF,18,1998,0.0,,,,,,,,,,,,,,,,
BRA,"FW,MF",23,1992,26.9,,,,,,,,,,,,,,,,
ITA,MF,23,1992,23.9,,,,,,,,,,,,,,,,
BRA,"DF,MF",22,1994,27.8,,,,,,,,,,,,,,,,
BRA,DF,34,1981,19.0,,,,,,,,,,,,,,,,
FRA,DF,20,1995,19.0,,,,,,,,,,,,,,,,
CIV,"DF,MF",23,1992,20.3,,,,,,,,,,,,,,,,
ITA,MF,33,1982,24.8,,,,,,,,,,,,,,,,
BRA,DF,31,1984,26.5,,,,,,,,,,,,,,,,
BEL,"DF,MF",24,1991,18.8,,,,,,,,,,,,,,,,
ARG,"FW,MF",28,1988,22.6,,,,,,,,,,,,,,,,
FRA,"FW,MF",20,1996,8.1,,,,,,,,,,,,,,,,
FRA,"FW,MF",22,1994,12.7,,,,,,,,,,,,,,,,
POR,DF,23,1993,2.9,,,,,,,,,,,,,,,,
COD,"FW,MF",20,1996,4.7,,,,,,,,,,,,,,,,
FRA,"DF,MF",25,1990,35.7,,,,,,,,,,,,,,,,
FRA,GK,29,1987,38.0,,,,,,,,,,,,,,,,
FRA,MF,28,1987,3.7,,,,,,,,,,,,,,,,
FRA,DF,21,1995,1.2,,,,,,,,,,,,,,,,
ALB,"DF,FW",26,1989,0.3,,,,,,,,,,,,,,,,
SUI,MF,29,1986,20.4,,,,,,,,,,,,,,,,
CIV,"FW,MF",27,1989,29.8,,,,,,,,,,,,,,,,
CMR,"FW,MF",20,1996,0.1,,,,,,,,,,,,,,,,
FRA,DF,19,1997,25.9,,,,,,,,,,,,,,,,
POL,"FW,MF",28,1988,11.0,,,,,,,,,,,,,,,,
RSA,"FW,MF",26,1990,1.9,,,,,,,,,,,,,,,,
GUF,"DF,MF",30,1986,32.0,,,,,,,,,,,,,,,,
ALG,"DF,MF",24,1992,0.8,,,,,,,,,,,,,,,,
MOZ,DF,27,1988,20.2,,,,,,,,,,,,,,,,
FRA,MF,31,1985,4.5,,,,,,,,,,,,,,,,
COD,"FW,MF",22,1994,12.9,,,,,,,,,,,,,,,,
FRA,MF,17,1998,1.0,,,,,,,,,,,,,,,,
CMR,"FW,MF",24,1992,12.5,,,,,,,,,,,,,,,,
BRA,"FW,MF",26,1990,3.7,,,,,,,,,,,,,,,,
POR,DF,25,1990,18.5,,,,,,,,,,,,,,,,
ALG,"DF,MF",21,1995,20.4,,,,,,,,,,,,,,,,
FRA,"DF,MF",30,1986,34.4,,,,,,,,,,,,,,,,
BIH,MF,22,1993,20.6,,,,,,,,,,,,,,,,
CPV,"DF,MF",21,1994,1.0,,,,,,,,,,,,,,,,
FRA,DF,35,1980,0.7,,,,,,,,,,,,,,,,
FRA,"FW,MF",21,1995,11.5,,,,,,,,,,,,,,,,
FRA,MF,30,1986,25.4,,,,,,,,,,,,,,,,
NOR,FW,28,1987,10.0,,,,,,,,,,,,,,,,
FRA,GK,18,1998,1.9,,,,,,,,,,,,,,,,
FRA,"FW,MF",18,1998,6.8,,,,,,,,,,,,,,,,
FRA,MF,29,1987,4.4,,,,,,,,,,,,,,,,
MLI,DF,21,1995,0.7,,,,,,,,,,,,,,,,
BFA,MF,24,1992,7.1,,,,,,,,,,,,,,,,
SEN,DF,28,1988,13.1,,,,,,,,,,,,,,,,
CGO,"FW,MF",21,1995,0.9,,,,,,,,,,,,,,,,
FRA,MF,29,1987,8.7,,,,,,,,,,,,,,,,
GUI,DF,25,1990,15.1,,,,,,,,,,,,,,,,
CIV,MF,20,1996,3.3,,,,,,,,,,,,,,,,
FRA,"FW,MF",21,1994,1.8,,,,,,,,,,,,,,,,
SEN,"FW,MF",25,1990,19.6,,,,,,,,,,,,,,,,
FRA,GK,30,1986,5.1,,,,,,,,,,,,,,,,
FRA,MF,23,1993,32.7,,,,,,,,,,,,,,,,
GNB,MF,20,1995,2.9,,,,,,,,,,,,,,,,
FRA,MF,31,1984,3.7,,,,,,,,,,,,,,,,
CPV,"FW,MF",16,2000,0.7,,,,,,,,,,,,,,,,
MAR,"DF,FW",25,1991,23.2,,,,,,,,,,,,,,,,
FRA,"FW,MF",27,1988,26.3,,,,,,,,,,,,,,,,
FRA,DF,26,1989,30.3,,,,,,,,,,,,,,,,
FRA,MF,17,1999,0.0,,,,,,,,,,,,,,,,
FRA,"DF,MF",30,1985,24.9,,,,,,,,,,,,,,,,
SUI,DF,24,1992,18.7,,,,,,,,,,,,,,,,
FRA,DF,17,1999,1.0,,,,,,,,,,,,,,,,
FRA,"FW,MF",28,1988,13.6,,,,,,,,,,,,,,,,
NOR,MF,22,1994,23.0,,,,,,,,,,,,,,,,
MAR,"FW,MF",22,1994,14.2,,,,,,,,,,,,,,,,
FRA,DF,22,1993,7.2,,,,,,,,,,,,,,,,
SVN,FW,25,1991,16.0,,,,,,,,,,,,,,,,
FRA,"FW,MF",29,1987,21.9,,,,,,,,,,,,,,,,
FRA,DF,18,1998,10.7,,,,,,,,,,,,,,,,
FRA,GK,29,1986,31.0,,,,,,,,,,,,,,,,
FRA,MF,25,1990,15.2,,,,,,,,,,,,,,,,
FRA,GK,17,1999,36.0,,,,,,,,,,,,,,,,
FRA,MF,19,1996,23.9,,,,,,,,,,,,,,,,
ALG,FW,24,1991,13.5,,,,,,,,,,,,,,,,
FRA,DF,23,1993,35.0,,,,,,,,,,,,,,,,
FRA,"DF,MF",19,1997,5.3,,,,,,,,,,,,,,,,
FRA,"FW,MF",21,1995,14.0,,,,,,,,,,,,,,,,
BEL,"FW,MF",18,1997,1.0,,,,,,,,,,,,,,,,
SRB,DF,30,1986,1.0,,,,,,,,,,,,,,,,
SUI,DF,26,1990,33.7,,,,,,,,,,,,,,,,
CIV,MF,18,1997,2.9,,,,,,,,,,,,,,,,
FRA,DF,19,1997,30.0,,,,,,,,,,,,,,,,
GUI,"DF,MF",22,1994,18.6,,,,,,,,,,,,,,,,
CIV,"DF,MF",23,1992,0.8,,,,,,,,,,,,,,,,
FRA,MF,22,1993,4.8,,,,,,,,,,,,,,,,
SWE,MF,27,1989,16.9,,,,,,,,,,,,,,,,
FRA,DF,18,1998,19.7,,,,,,,,,,,,,,,,
DEN,"FW,MF",25,1991,32.7,,,,,,,,,,,,,,,,
FRA,"FW,MF",19,1997,0.7,,,,,,,,,,,,,,,,
URU,GK,28,1988,2.0,,,,,,,,,,,,,,,,
FRA,FW,18,1998,6.4,,,,,,,,,,,,,,,,
SWE,"FW,MF",30,1986,20.1,,,,,,,,,,,,,,,,
FRA,MF,35,1980,0.5,,,,,,,,,,,,,,,,
SRB,DF,31,1985,2.2,,,,,,,,,,,,,,,,
FRA,FW,19,1997,0.1,,,,,,,,,,,,,,,,
BRA,"DF,FW",27,1988,20.1,,,,,,,,,,,,,,,,
BFA,DF,23,1992,20.7,,,,,,,,,,,,,,,,
MLI,MF,26,1989,5.3,,,,,,,,,,,,,,,,
FRA,MF,21,1995,20.4,,,,,,,,,,,,,,,,
GAB,DF,24,1992,3.0,,,,,,,,,,,,,,,,
ARG,"FW,MF",28,1988,25.6,,,,,,,,,,,,,,,,
MLI,DF,27,1989,30.9,25,0.81,18,4,3,0,0,0,2,0.06,1,0,1,0,0,0
RSA,MF,24,1992,23.2,29,1.25,23,2,1,0,1,2,0,0.0,0,0,0,0,0,0
MTQ,FW,21,1996,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,"MF,FW",31,1986,1.2,3,2.57,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,DF,28,1989,19.2,33,1.72,27,3,0,0,2,1,3,0.16,3,0,0,0,0,0
FRA,"FW,MF",29,1987,6.0,32,5.31,15,9,3,0,5,0,2,0.33,0,1,0,0,1,0
COD,"MF,FW",26,1991,34.3,123,3.59,69,28,15,4,6,1,10,0.29,6,1,3,0,0,0
NCL,FW,28,1988,0.5,2,3.83,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
MTN,MF,24,1992,8.3,4,0.48,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
CMR,MF,32,1985,6.8,9,1.33,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
COD,"FW,MF",23,1994,20.7,42,2.02,25,2,8,3,3,1,7,0.34,5,0,1,1,0,0
SEN,DF,32,1985,18.1,18,0.99,13,5,0,0,0,0,1,0.06,1,0,0,0,0,0
FRA,GK,34,1983,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,FW,21,1995,0.3,2,6.21,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,"MF,DF",34,1983,6.8,8,1.17,7,0,0,1,0,0,1,0.15,0,0,0,1,0,0
BEN,DF,32,1985,32.5,15,0.46,9,4,0,1,1,0,1,0.03,0,0,0,1,0,0
CIV,FW,27,1990,8.7,19,2.2,13,0,1,0,4,1,3,0.35,1,0,0,0,1,1
FRA,"DF,MF",34,1982,4.4,9,2.05,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
SEN,FW,24,1993,27.5,53,1.93,35,1,3,4,10,0,6,0.22,3,0,0,1,2,0
BRA,MF,21,1996,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
MAR,DF,26,1991,24.4,29,1.19,21,4,1,1,2,0,2,0.08,2,0,0,0,0,0
FRA,DF,23,1993,30.5,9,0.29,7,0,0,1,1,0,1,0.03,1,0,0,0,0,0
FRA,"FW,MF",23,1994,5.0,12,2.41,8,1,1,1,1,0,4,0.8,2,0,0,1,1,0
FRA,GK,30,1986,37.0,8,0.22,2,5,0,0,1,0,1,0.03,1,0,0,0,0,0
FRA,MF,33,1984,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
TOG,"FW,MF",30,1987,20.3,31,1.53,26,1,1,1,2,0,5,0.25,3,1,1,0,0,0
NIG,FW,23,1994,2.4,4,1.7,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
COL,"FW,MF",25,1992,11.5,32,2.79,19,6,5,2,0,0,2,0.17,1,0,1,0,0,0
FRA,MF,20,1996,2.6,14,5.34,8,1,2,1,1,1,0,0.0,0,0,0,0,0,0
FRA,MF,26,1991,32.8,55,1.68,46,2,2,2,3,0,7,0.21,6,0,0,0,1,0
CIV,DF,27,1990,17.0,19,1.12,14,2,2,0,1,0,2,0.12,1,0,0,0,1,0
FRA,GK,26,1990,13.0,4,0.31,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,MF,20,1996,17.0,60,3.53,35,14,3,4,3,1,6,0.35,2,3,0,0,1,0
BEL,"FW,MF",22,1995,5.1,12,2.36,8,0,2,1,1,0,2,0.39,2,0,0,0,0,0
FRA,MF,22,1995,28.8,45,1.56,34,0,2,2,6,1,2,0.07,1,0,0,0,1,0
LAO,MF,27,1990,4.9,10,2.05,6,1,0,2,1,0,1,0.21,0,0,0,1,0,0
FRA,FW,22,1995,11.4,25,2.2,17,0,2,2,4,0,0,0.0,0,0,0,0,0,0
FRA,MF,24,1993,24.8,88,3.54,50,13,13,4,8,0,10,0.4,7,2,0,0,1,0
TOG,"MF,FW",26,1991,7.3,18,2.47,15,0,1,1,1,0,0,0.0,0,0,0,0,0,0
CIV,DF,30,1986,31.7,16,0.5,12,1,2,1,0,0,2,0.06,1,0,0,1,0,0
FRA,MF,19,1998,4.9,13,2.67,10,0,1,0,2,0,0,0.0,0,0,0,0,0,0
CMR,"FW,MF",24,1992,33.8,109,3.23,71,0,22,7,8,1,14,0.41,10,0,1,1,2,0
MLI,MF,21,1996,9.3,27,2.9,16,0,3,4,4,0,5,0.54,1,0,0,4,0,0
FRA,MF,28,1988,1.9,9,4.76,6,2,1,0,0,0,0,0.0,0,0,0,0,0,0
FRA,GK,34,1983,18.4,4,0.22,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BIH,DF,27,1990,21.8,10,0.46,6,0,0,3,1,0,2,0.09,1,0,0,1,0,0
FRA,GK,25,1991,6.6,1,0.15,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ALG,MF,27,1990,4.9,5,1.02,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
FRA,MF,30,1987,20.9,64,3.06,47,4,5,4,3,1,3,0.14,3,0,0,0,0,0
CGO,MF,28,1988,11.7,20,1.7,11,0,2,3,2,2,1,0.09,0,0,1,0,0,0
FRA,DF,29,1988,27.4,20,0.73,15,0,0,4,1,0,1,0.04,1,0,0,0,0,0
SEN,"DF,MF",27,1989,1.6,2,1.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,MF,30,1987,33.6,120,3.57,75,32,2,6,3,2,12,0.36,8,3,1,0,0,0
CIV,MF,23,1993,1.4,9,6.33,6,0,2,1,0,0,1,0.7,1,0,0,0,0,0
FRA,DF,28,1989,33.0,48,1.45,36,6,2,0,3,1,1,0.03,1,0,0,0,0,0
CIV,"FW,MF",19,1998,1.9,2,1.03,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,DF,28,1989,23.0,38,1.65,31,3,2,0,2,0,4,0.17,3,0,0,0,1,0
GNB,FW,23,1994,8.8,15,1.7,11,0,2,2,0,0,2,0.23,0,0,1,1,0,0
FRA,GK,30,1987,36.0,3,0.08,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
GER,"DF,MF",27,1990,1.2,1,0.83,1,0,0,0,0,0,1,0.83,1,0,0,0,0,0
FRA,FW,18,1999,0.4,1,2.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
GUI,FW,21,1996,22.4,62,2.77,42,1,9,4,6,0,7,0.31,5,0,0,1,1,0
FRA,FW,23,1994,10.6,24,2.26,14,0,1,6,3,0,2,0.19,1,0,0,0,1,0
POL,DF,32,1985,4.9,8,1.65,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
CZE,MF,35,1982,11.6,30,2.58,25,1,1,1,1,1,3,0.26,3,0,0,0,0,0
BRA,"FW,MF",26,1991,7.0,28,3.99,26,0,1,0,1,0,3,0.43,2,0,0,0,1,0
FRA,DF,18,1998,17.7,14,0.79,13,0,0,1,0,0,2,0.11,2,0,0,0,0,0
FRA,DF,33,1983,21.0,16,0.76,13,1,1,0,1,0,0,0.0,0,0,0,0,0,0
FRA,GK,21,1995,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
DEN,MF,24,1993,36.5,75,2.06,56,1,2,3,10,3,3,0.08,3,0,0,0,0,0
BRA,FW,20,1997,31.7,182,5.74,118,29,12,11,12,0,22,0.69,13,3,2,3,1,0
DEN,FW,26,1991,10.2,17,1.67,14,0,2,1,0,0,6,0.59,6,0,0,0,0,0
FRA,DF,24,1992,18.9,32,1.69,25,4,2,0,1,0,3,0.16,2,0,0,0,1,0
SRB,DF,21,1996,4.0,1,0.25,1,0,0,0,0,0,1,0.25,1,0,0,0,0,0
FRA,FW,26,1991,21.5,51,2.37,28,6,9,5,1,2,9,0.42,4,0,2,2,0,1
BEN,DF,21,1995,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,MF,23,1994,16.5,28,1.7,23,2,1,1,0,1,1,0.06,1,0,0,0,0,0
