nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
FRA,MF,25,1991,35,3138,90,91.8,34.9,35,,34,0,,1,2.4,78,33,45,1.29,-0.94,,,,,
NED,"DF,MF",21,1995,2,99,50,2.9,1.1,1,,1,1,,8,3.0,5,3,2,1.82,0.46,,,,,
ENG,"DF,MF",21,1994,10,167,17,4.9,1.9,1,,0,9,,19,3.0,7,3,4,2.16,0.83,,,,,
SRB,MF,27,1988,35,2694,77,78.8,29.9,30,,23,5,,1,2.4,59,24,35,1.17,-0.94,,,,,
NGA,"DF,MF",19,1996,3,26,9,0.8,0.3,0,,0,3,,8,3.0,2,0,2,6.92,5.6,,,,,
BRA,"FW,MF",24,1991,9,455,51,13.3,5.1,5,,1,4,,4,2.44,7,6,1,0.2,-1.35,,,,,
ESP,"FW,MF",29,1987,35,2140,61,62.6,23.8,26,,6,9,,2,2.46,51,15,36,1.51,0.39,,,,,
ENG,MF,20,1996,6,35,6,1.0,0.4,0,,0,6,,9,2.0,1,0,1,2.57,1.22,,,,,
BEL,GK,24,1992,36,3240,90,94.7,36.0,36,,36,0,,0,2.5,81,28,53,1.47,1.97,,,,,
NGA,"DF,FW",25,1990,34,2483,73,72.6,27.6,29,,9,5,,1,2.56,68,15,53,1.92,2.02,,,,,
BRA,"FW,MF",27,1988,34,1534,45,44.9,17.0,15,,2,19,,0,2.38,37,19,18,1.06,-0.57,,,,,
ENG,"DF,MF",18,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG,"FW,MF",25,1991,36,2519,70,73.7,28.0,30,,15,6,,1,1.14,36,38,-2,-0.07,1.03,,,,,
MLI,"FW,MF",28,1988,7,142,20,4.2,1.6,0,,0,7,,14,0.86,3,5,-2,-1.27,-0.97,,,,,
ENG,"DF,MF",18,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
BEL,FW,25,1990,36,3131,87,91.5,34.8,36,,29,0,,0,1.14,49,58,-9,-0.26,0.99,,,,,
ENG,"FW,MF",23,1993,8,412,52,12.0,4.6,4,,2,4,,3,0.5,6,6,0,0.0,0.39,,,,,
IRL,DF,35,1981,30,2014,67,58.9,22.4,21,,19,9,,6,1.13,24,40,-16,-0.71,-0.91,,,,,
ENG,FW,28,1987,12,165,14,4.8,1.8,0,,0,12,,12,0.42,3,4,-1,-0.55,-0.21,,,,,
ENG,FW,23,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG,"FW,MF",20,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,
SCO,MF,28,1987,29,1999,69,58.5,22.2,24,,8,5,,1,1.07,28,39,-11,-0.5,-0.37,,,,,
ENG,"DF,MF",27,1989,24,1974,82,57.7,21.9,23,,18,1,,3,1.29,31,35,-4,-0.18,0.38,,,,,
ENG,MF,30,1986,36,3091,86,90.4,34.3,35,,29,1,,0,1.14,42,53,-11,-0.32,0.23,,,,,
GHA,"DF,FW",23,1992,15,998,67,29.2,11.1,11,,8,4,,1,1.47,15,15,0,0.0,0.48,,,,,
WAL,MF,29,1987,18,1160,64,33.9,12.9,13,,6,5,,4,0.94,21,25,-4,-0.31,0.05,,,,,
ENG,"DF,MF",26,1989,38,3417,90,99.9,38.0,38,,37,0,,0,1.08,49,63,-14,-0.37,-30.37,,,,,
BEL,FW,21,1995,1,7,7,0.2,0.1,0,,0,1,,0,3.0,0,0,0,0.0,0.34,,,,,
ENG,MF,24,1991,4,53,13,1.5,0.6,0,,0,4,,3,0.25,0,0,0,0.0,0.35,,,,,
