nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
FRA,GK,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA,MF,26,1997,31,1687,54,55.1,18.7,17,85,11,14,17,2,0.71,15,36,-21,-1.12,-0.27,22.2,36.9,-14.7,-0.78,0.06
FRA,"DF,MF",25,1998,5,234,47,7.6,2.6,2,90,2,3,18,19,0.8,2,6,-4,-1.54,-0.58,2.2,6.3,-4.1,-1.58,-0.83
GUI,MF,29,1994,30,2284,76,74.6,25.4,27,83,15,3,12,0,0.9,19,34,-15,-0.59,-1.05,24.7,40.4,-15.7,-0.62,-0.9
SEN,DF,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
FRA,"MF,FW",26,1996,2,7,4,0.2,0.1,0,,0,2,4,13,1.5,2,0,2,25.71,26.1,1.0,0.0,1.0,12.32,12.74
GHA,FW,33,1989,19,1104,58,36.1,12.3,12,83,5,7,16,0,0.74,13,20,-7,-0.57,-0.39,13.9,20.0,-6.2,-0.5,-0.17
FRA,"FW,MF",20,2003,23,779,34,25.5,8.7,6,66,1,17,23,3,0.83,8,11,-3,-0.35,-0.03,10.1,12.3,-2.2,-0.26,0.18
SEN,DF,21,2002,30,2687,90,87.8,29.9,30,90,27,0,,1,0.87,29,39,-10,-0.33,-0.09,33.3,44.1,-10.8,-0.36,0.23
FRA,GK,29,1994,33,2970,90,97.1,33.0,33,90,33,0,,0,0.97,33,43,-10,-0.3,0.7,35.6,47.3,-11.7,-0.36,1.15
CIV,DF,26,1997,28,2445,87,79.9,27.2,28,87,26,0,,0,0.93,30,39,-9,-0.33,-0.04,29.9,41.0,-11.1,-0.41,-0.09
RUS,MF,30,1993,30,2090,70,68.3,23.2,24,84,8,6,13,0,1.07,20,29,-9,-0.39,-0.2,23.3,29.7,-6.4,-0.28,0.35
FRA,FW,19,2004,10,248,25,8.1,2.8,2,54,0,8,18,2,1.2,2,0,2,0.73,1.14,2.9,4.8,-1.9,-0.68,-0.31
USA,"FW,MF",25,1997,30,1584,53,51.8,17.6,18,73,2,12,22,2,0.93,19,21,-2,-0.11,0.44,21.2,25.1,-4.0,-0.23,0.34
FRA,DF,21,2002,22,1941,88,63.4,21.6,22,88,20,0,,12,0.91,20,29,-9,-0.42,-0.26,24.3,31.5,-7.2,-0.33,0.15
FRA,DF,28,1995,31,2778,90,90.8,30.9,31,90,29,0,,2,1.03,33,41,-8,-0.26,0.7,33.8,46.3,-12.4,-0.4,-0.14
SEN,"FW,MF",22,2000,7,237,34,7.7,2.6,3,62,0,4,13,4,0.57,2,7,-5,-1.9,-1.71,2.6,4.5,-1.9,-0.73,-0.37
FRA,"FW,DF",21,2001,30,2016,67,65.9,22.4,25,75,6,5,30,0,0.9,20,29,-9,-0.4,-0.23,23.7,31.3,-7.6,-0.34,0.14
GUI,MF,23,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
HUN,"DF,MF",32,1991,28,1561,56,51.0,17.3,18,74,5,10,23,3,0.89,18,20,-2,-0.12,0.43,19.5,25.6,-6.0,-0.35,0.08
FRA,GK,32,1990,1,90,90,2.9,1.0,1,90,1,0,,29,0.0,1,2,-1,-1.0,-0.7,1.7,3.2,-1.5,-1.51,-1.15
CIV,GK,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
GUI,FW,25,1998,22,1389,63,45.4,15.4,16,81,4,6,16,1,0.91,14,17,-3,-0.19,0.24,19.2,19.1,0.1,0.01,0.72
FRA,FW,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA,"MF,FW",24,1999,18,1009,56,33.0,11.2,12,71,0,6,26,1,1.11,10,14,-4,-0.36,-0.05,11.9,15.2,-3.3,-0.3,0.14
CGO,MF,28,1995,6,22,4,0.7,0.2,0,,0,6,4,7,1.83,1,0,1,4.09,4.45,0.6,1.5,-0.9,-3.7,-3.33
MAR,"DF,MF",32,1991,13,393,30,12.8,4.4,4,85,2,9,6,17,1.38,4,8,-4,-0.92,-0.68,4.1,7.2,-3.2,-0.72,-0.38
MAR,MF,21,2002,14,1025,73,33.5,11.4,12,80,3,2,30,1,1.14,19,15,4,0.35,1.01,13.7,14.7,-1.0,-0.09,0.46
FRA,GK,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
SEN,"MF,FW",21,2001,19,526,28,17.2,5.8,6,56,0,13,15,6,1.0,8,11,-3,-0.51,-0.23,6.5,9.3,-2.8,-0.48,-0.11
FRA,"MF,FW",26,1996,23,606,26,19.8,6.7,4,72,1,19,17,8,0.7,6,13,-7,-1.04,-0.89,8.1,15.3,-7.3,-1.08,-0.86
CMR,MF,18,2004,4,20,5,0.7,0.2,0,,0,4,5,4,0.25,0,1,-1,-4.5,-4.2,0.5,0.6,-0.1,-0.44,-0.05
FRA,"FW,MF",18,2005,12,223,19,7.3,2.5,1,60,0,11,15,3,0.67,2,4,-2,-0.81,-0.52,2.5,4.6,-2.1,-0.86,-0.5
MAR,MF,21,2002,32,1849,58,60.4,20.5,21,78,4,11,20,1,0.97,21,24,-3,-0.15,0.45,22.4,30.4,-8.0,-0.39,0.0
GUF,DF,30,1992,20,1568,78,51.2,17.4,18,86,15,2,6,12,1.0,19,21,-2,-0.11,0.43,18.4,25.3,-7.0,-0.4,-0.02
FRA,DF,17,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
UZB,DF,19,2004,11,809,74,26.4,9.0,9,84,6,2,25,16,1.45,12,10,2,0.22,-0.02,15.3,12.8,2.5,0.28,0.09
FRA,MF,26,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA,MF,29,1993,29,1193,41,39.0,13.3,13,71,1,16,17,4,1.45,14,15,-1,-0.08,-0.51,22.5,18.2,4.3,0.32,0.17
FRA,MF,20,2003,25,1314,53,42.9,14.6,16,73,1,9,17,8,1.2,20,19,1,0.07,-0.29,21.1,20.9,0.3,0.02,-0.35
FRA,MF,26,1996,29,1376,47,45.0,15.3,16,69,0,13,21,5,1.34,16,16,0,0.0,-0.43,21.9,18.7,3.3,0.21,-0.01
FRA,FW,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
BEL,"MF,FW",18,2005,7,62,9,2.0,0.7,0,,0,7,9,9,0.71,1,3,-2,-2.9,-3.2,1.6,1.6,-0.1,-0.12,-0.34
FRA,GK,29,1994,33,2970,90,97.1,33.0,33,90,33,0,,0,1.52,43,35,8,0.24,0.24,48.8,45.9,3.0,0.09,-4.32
POR,MF,22,2001,25,1494,60,48.8,16.6,17,80,4,8,16,2,1.44,26,19,7,0.42,0.36,27.5,24.4,3.1,0.19,-0.06
COL,DF,29,1993,19,1124,59,36.7,12.5,13,75,4,6,24,1,1.42,18,16,2,0.16,-0.12,19.6,14.7,4.9,0.4,0.28
FRA,FW,20,2003,27,1692,63,55.3,18.8,20,75,2,7,28,1,1.52,25,18,7,0.37,0.31,31.4,22.8,8.6,0.46,0.54
ARG,DF,24,1999,31,2714,88,88.7,30.2,30,90,29,1,17,0,1.45,42,36,6,0.2,-0.32,48.9,43.0,5.9,0.2,-0.17
FRA,"MF,DF",25,1998,3,76,25,2.5,0.8,1,45,0,2,16,6,1.0,0,1,-1,-1.18,-1.46,1.8,1.0,0.9,1.0,0.8
FRA,"MF,FW",32,1990,32,2598,81,84.9,28.9,29,86,20,3,30,0,1.47,36,34,2,0.07,-1.1,44.6,38.2,6.4,0.22,0.03
FRA,MF,17,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA,GK,37,1985,1,90,90,2.9,1.0,1,90,1,0,,33,1.0,2,2,0,0.0,-0.24,5.2,0.8,4.4,4.41,4.32
ECU,DF,21,2002,8,481,60,15.7,5.3,6,67,0,2,39,1,1.25,7,6,1,0.19,-0.06,7.1,7.4,-0.3,-0.05,-0.32
FRA,"DF,FW",29,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA,DF,30,1992,26,2112,81,69.0,23.5,26,81,19,0,,1,1.54,33,23,10,0.43,0.62,40.0,29.6,10.4,0.44,0.73
FRA,DF,25,1997,2,58,29,1.9,0.6,0,,0,2,29,1,0.0,1,3,-2,-3.1,-3.4,0.3,1.9,-1.7,-2.58,-2.85
FRA,DF,19,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,
AUT,DF,24,1998,30,2655,89,86.8,29.5,30,89,29,0,,0,1.53,37,32,5,0.17,-0.5,44.2,39.2,5.0,0.17,-0.36
MLI,DF,30,1992,18,741,41,24.2,8.2,7,76,3,11,19,8,1.72,8,8,0,0.0,-0.31,9.2,12.8,-3.6,-0.43,-0.86
GUI,"FW,MF",25,1998,23,566,25,18.5,6.3,2,71,0,21,20,6,1.52,11,5,6,0.95,0.88,11.9,8.7,3.3,0.52,0.37
SEN,MF,31,1992,16,1052,66,34.4,11.7,13,77,5,3,16,8,1.69,15,10,5,0.43,0.29,21.3,13.6,7.7,0.66,0.67
FRA,MF,22,2001,25,1566,63,51.2,17.4,17,84,8,8,18,1,1.76,26,16,10,0.57,0.7,27.4,26.5,0.9,0.05,-0.34
COL,"FW,MF",19,2003,4,44,11,1.4,0.5,0,,0,4,11,5,1.75,2,0,2,4.09,3.91,1.4,0.9,0.5,1.12,0.91
POL,DF,28,1995,30,2192,73,71.6,24.4,24,84,17,6,31,2,1.4,28,23,5,0.21,-0.11,39.3,32.2,7.1,0.29,0.27
FRA,DF,30,1993,25,1922,77,62.8,21.4,22,86,16,3,13,3,1.8,33,19,14,0.66,1.13,37.1,30.6,6.5,0.31,0.24
GHA,MF,23,2000,27,1519,56,49.6,16.9,17,81,11,10,15,4,1.74,20,18,2,0.12,-0.23,24.6,24.2,0.4,0.02,-0.39
NED,MF,27,1996,4,118,30,3.9,1.3,1,56,0,3,21,0,0.25,1,5,-4,-3.05,-3.42,0.4,3.0,-2.6,-1.98,-2.28
FRA,MF,20,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
FRA,"FW,MF",28,1995,27,1020,38,33.3,11.3,11,65,0,16,19,1,1.48,16,13,3,0.26,0.04,17.7,17.0,0.7,0.06,-0.23
COM,GK,22,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA,FW,17,2005,1,1,1,0.0,0.0,0,,0,1,1,8,3.0,0,0,0,0.0,-0.53,0.0,0.0,0.0,0.0,-0.36
SVK,GK,26,1997,0,,,,,0,,0,0,,12,,,,,,,,,,,
ALG,FW,26,1996,17,418,25,13.7,4.6,3,73,1,14,14,1,1.76,10,6,4,0.86,0.38,11.1,6.9,4.2,0.9,0.63
ALG,DF,28,1995,0,,,,,0,,0,0,,10,,,,,,,,,,,
FRA,FW,20,2003,2,71,36,2.3,0.8,1,66,0,1,5,5,2.0,0,1,-1,-1.27,-1.84,0.9,1.1,-0.3,-0.32,-0.7
BRA,DF,23,1999,29,2220,77,72.5,24.7,24,89,22,5,16,3,1.93,38,19,19,0.77,0.88,36.4,27.5,8.8,0.36,0.0
FRA,FW,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
SRB,FW,23,2000,2,9,5,0.3,0.1,0,,0,2,5,1,3.0,0,0,0,0.0,-0.53,0.1,0.2,0.0,-0.49,-0.85
ENG,MF,22,2000,31,2571,83,84.0,28.6,29,86,14,2,41,0,1.61,44,27,17,0.6,0.41,39.9,29.7,10.2,0.36,0.01
FRA,MF,15,2007,9,131,15,4.3,1.5,1,44,0,8,11,15,2.0,2,1,1,0.69,0.16,2.2,1.3,0.8,0.58,0.23
FRA,DF,22,2001,21,1696,81,55.4,18.8,19,89,17,2,6,4,1.76,28,22,6,0.32,-0.47,23.8,20.9,2.9,0.15,-0.45
FRA,MF,32,1990,30,2570,86,84.0,28.6,29,87,23,1,35,0,1.77,39,24,15,0.53,-0.03,39.4,25.3,14.1,0.49,0.85
CMR,MF,19,2004,2,61,31,2.0,0.7,1,60,0,1,1,1,2.0,1,1,0,0.0,-0.54,1.2,1.6,-0.4,-0.55,-0.93
KVX,FW,24,1999,33,2288,69,74.8,25.4,25,82,6,8,31,1,1.76,39,20,19,0.75,0.86,34.9,24.9,10.0,0.39,0.14
SWE,"DF,FW",24,1999,25,1267,51,41.4,14.1,14,80,7,11,14,9,1.72,21,13,8,0.57,0.07,18.5,16.3,2.1,0.15,-0.35
ISL,"FW,MF",20,2003,26,1284,49,42.0,14.3,15,73,1,11,17,7,1.73,16,21,-5,-0.35,-1.52,16.5,15.9,0.6,0.04,-0.54
FRA,FW,17,2005,1,3,3,0.1,0.0,0,,0,1,3,0,3.0,0,0,0,0.0,-0.53,0.0,0.0,0.0,-0.35,-0.71
ARG,MF,20,2003,2,39,20,1.3,0.4,1,38,0,1,1,17,1.5,0,2,-2,-4.62,-5.21,0.2,1.0,-0.7,-1.67,-2.05
BRA,DF,33,1990,30,2465,82,80.6,27.4,28,87,24,2,16,2,1.67,43,31,12,0.44,-0.47,38.2,27.8,10.5,0.38,0.13
POR,FW,29,1993,17,770,45,25.2,8.6,9,74,0,8,13,6,1.94,14,3,11,1.29,1.01,11.4,7.3,4.1,0.48,0.16
BFA,FW,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
CAN,FW,23,2000,34,2629,77,85.9,29.2,30,86,14,4,14,0,1.74,48,31,17,0.58,0.37,45.1,29.8,15.4,0.53,1.19
FRA,DF,17,2005,32,2673,84,87.4,29.7,30,89,29,2,8,2,1.72,47,31,16,0.54,0.07,41.9,32.8,9.1,0.31,-0.41
FRA,GK,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA,GK,21,2001,33,2969,90,97.0,33.0,33,90,32,0,,0,1.76,50,32,18,0.55,0.55,47.4,35.4,12.0,0.36,0.21
ALG,MF,28,1994,26,1967,76,64.3,21.9,23,85,19,3,5,0,1.73,35,24,11,0.5,-0.07,31.2,26.4,4.8,0.22,-0.38
FRA,DF,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
POR,DF,21,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
FRA,"FW,MF",33,1990,30,1477,49,48.3,16.4,14,84,6,16,19,1,1.8,27,16,11,0.67,0.27,27.5,18.7,8.8,0.54,0.35
FRA,DF,29,1993,6,185,31,6.0,2.1,2,68,1,4,13,10,1.83,2,5,-3,-1.46,-2.12,3.6,1.1,2.5,1.19,0.88
POR,FW,19,2003,3,46,15,1.5,0.5,0,,0,3,15,7,3.0,0,0,0,0.0,-0.54,0.6,0.1,0.4,0.87,0.52
POR,DF,21,2002,29,2365,82,77.3,26.3,26,90,25,3,12,4,1.76,41,27,14,0.53,0.01,40.5,29.0,11.5,0.44,0.35
FRA,GK,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
CIV,"FW,MF",18,2005,4,23,6,0.8,0.3,0,,0,4,6,4,1.75,2,0,2,7.83,7.35,1.5,0.0,1.4,5.66,5.34
BEL,DF,17,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
ITA,GK,35,1988,2,91,46,3.0,1.0,1,90,1,1,1,26,2.0,2,2,0,0.0,-0.55,1.2,1.0,0.2,0.15,-0.21
TUR,"MF,FW",26,1997,27,1312,49,42.9,14.6,16,71,2,11,16,3,1.63,22,15,7,0.48,-0.09,18.6,18.0,0.5,0.04,-0.56
AUT,FW,26,1996,1,31,31,1.0,0.3,0,,0,1,31,1,0.0,0,2,-2,-5.81,-5.18,0.4,1.1,-0.8,-2.23,-1.74
SEN,GK,29,1993,0,,,,,0,,0,0,,25,,,,,,,,,,,
CMR,MF,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA,DF,19,2004,1,90,90,2.9,1.0,1,90,1,0,,1,0.0,0,3,-3,-3.0,-2.39,0.1,2.3,-2.2,-2.17,-1.71
FRA,MF,18,2004,14,893,64,29.2,9.9,12,71,1,2,21,2,1.0,11,19,-8,-0.81,-0.18,10.1,14.9,-4.8,-0.48,0.04
ALG,MF,18,2004,11,443,40,14.5,4.9,4,75,1,7,21,2,0.91,7,5,2,0.41,1.27,8.2,7.6,0.7,0.13,0.75
SEN,FW,23,2000,16,549,34,17.9,6.1,5,66,1,11,20,2,0.94,7,16,-9,-1.48,-0.97,9.0,10.2,-1.2,-0.2,0.38
CIV,DF,21,2001,2,146,73,4.8,1.6,2,73,1,0,,1,1.0,0,0,0,0.0,0.71,0.3,2.1,-1.8,-1.11,-0.64
SEN,FW,21,2002,5,152,30,5.0,1.7,0,,0,5,30,0,1.0,1,2,-1,-0.59,0.09,1.3,1.9,-0.6,-0.37,0.14
FRA,DF,29,1994,15,711,47,23.2,7.9,7,71,2,8,26,0,0.33,10,26,-16,-2.03,-1.76,10.5,19.3,-8.8,-1.11,-0.79
NGA,MF,27,1996,4,210,53,6.9,2.3,3,68,1,1,5,6,0.25,3,9,-6,-2.57,-2.03,3.2,4.5,-1.3,-0.57,-0.07
,MF,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
CMR,DF,22,2000,22,1159,53,37.9,12.9,11,82,7,11,23,9,0.82,16,18,-2,-0.16,0.84,14.2,15.6,-1.4,-0.11,0.64
GUI,DF,20,2002,1,45,45,1.5,0.5,0,,0,1,45,4,0.0,0,3,-3,-6.0,-5.4,0.4,1.2,-0.8,-1.68,-1.18
CTA,GK,23,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,
FRA,"FW,MF",17,2006,30,1084,36,35.4,12.0,11,64,0,19,20,4,0.63,16,25,-9,-0.75,-0.11,12.6,18.8,-6.2,-0.52,-0.01
SEN,DF,22,2001,18,1256,70,41.0,14.0,13,86,11,5,27,8,1.0,20,17,3,0.21,1.51,17.6,18.3,-0.7,-0.05,0.78
COD,DF,25,1997,19,970,51,31.7,10.8,11,78,5,8,13,8,1.05,17,23,-6,-0.56,0.18,13.6,18.4,-4.9,-0.45,0.08
FRA,MF,19,2004,1,7,7,0.2,0.1,0,,0,1,7,2,0.0,0,2,-2,-25.71,-25.1,0.0,0.9,-0.9,-12.06,-11.58
MLI,FW,24,1999,1,32,32,1.0,0.4,0,,0,1,32,0,1.0,0,0,0,0.0,0.68,0.1,0.7,-0.6,-1.78,-1.28
BRA,"DF,MF",26,1996,5,262,52,8.6,2.9,2,90,2,3,27,1,0.2,3,11,-8,-2.75,-2.27,2.2,7.3,-5.0,-1.73,-1.34
MAR,MF,24,1999,14,863,62,28.2,9.6,10,79,3,4,19,1,0.79,12,19,-7,-0.73,-0.07,11.9,15.0,-3.1,-0.33,0.25
FRA,"MF,FW",25,1998,11,479,44,15.7,5.3,5,73,1,6,19,13,0.64,6,8,-2,-0.38,0.36,4.6,8.5,-3.8,-0.72,-0.25
NOR,"DF,FW",20,2002,7,197,28,6.4,2.2,2,50,0,5,19,2,,1,4,-3,-1.37,-0.74,0.8,4.4,-3.5,-1.61,-1.17
FRA,DF,29,1993,23,1818,79,59.4,20.2,20,85,17,3,39,10,0.83,31,47,-16,-0.79,-0.28,24.1,36.1,-12.0,-0.59,-0.2
FRA,MF,22,2000,32,2244,70,73.3,24.9,27,79,12,5,23,2,0.81,29,52,-23,-0.92,-0.92,26.4,41.2,-14.8,-0.59,-0.32
FRA,MF,30,1993,33,2860,87,93.5,31.8,32,89,29,1,23,0,0.88,41,59,-18,-0.57,1.68,34.8,50.2,-15.4,-0.49,0.37
FRA,DF,22,2001,1,90,90,2.9,1.0,1,90,1,0,,9,0.0,0,3,-3,-3.0,-2.39,0.1,2.3,-2.2,-2.17,-1.71
CIV,FW,21,2001,16,1138,71,37.2,12.6,14,78,1,2,23,0,1.06,17,19,-2,-0.16,0.83,17.1,18.9,-1.8,-0.14,0.58
TUN,DF,25,1998,25,2204,88,72.0,24.5,25,88,24,0,,1,1.0,36,46,-10,-0.41,0.96,27.6,38.4,-10.8,-0.44,0.25
GHA,DF,20,2002,15,1243,83,40.6,13.8,14,88,13,1,12,0,0.93,15,27,-12,-0.87,-0.32,15.8,23.6,-7.8,-0.56,-0.09
FRA,MF,20,2002,3,165,55,5.4,1.8,3,55,0,0,,8,2.0,4,3,1,0.55,1.29,1.7,2.5,-0.8,-0.44,0.07
GRE,DF,22,2001,15,1041,69,34.0,11.6,13,78,3,2,11,0,0.93,12,15,-3,-0.26,0.63,13.6,16.7,-3.0,-0.26,0.37
FRA,"MF,FW",25,1998,17,1453,85,47.5,16.1,16,89,15,1,28,0,0.71,19,34,-15,-0.93,-0.48,14.8,24.8,-10.0,-0.62,-0.21
GAB,FW,21,2002,1,16,16,0.5,0.2,0,,0,1,16,1,0.0,0,2,-2,-11.25,-10.63,0.0,0.9,-0.9,-5.28,-4.79
MLI,FW,21,2002,11,423,38,13.8,4.7,5,60,0,6,21,2,0.64,8,7,1,0.21,1.03,5.2,7.2,-2.0,-0.42,0.1
FRA,DF,20,2003,24,2051,85,67.0,22.8,23,87,21,1,45,2,0.79,26,43,-17,-0.75,-0.21,23.1,33.2,-10.2,-0.45,0.19
FRA,"DF,MF",20,2002,26,1516,58,49.5,16.8,15,84,8,11,23,8,1.0,22,27,-5,-0.3,0.75,16.0,25.1,-9.1,-0.54,-0.06
FRA,MF,28,1994,20,1314,66,42.9,14.6,15,80,8,5,24,2,0.95,16,26,-10,-0.68,-0.01,13.9,23.7,-9.9,-0.67,-0.29
BEN,"MF,FW",25,1998,19,902,47,29.5,10.0,10,73,2,9,20,3,0.79,15,25,-10,-1.0,-0.46,10.5,16.3,-5.7,-0.57,-0.09
FRA,"DF,MF",33,1989,9,541,60,17.7,6.0,8,66,1,1,12,7,0.78,8,13,-5,-0.83,-0.19,5.9,10.6,-4.8,-0.79,-0.34
ITA,GK,35,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
SUI,GK,29,1994,34,3060,90,100.0,34.0,34,90,34,0,,0,0.85,43,66,-23,-0.68,,37.1,54.5,-17.3,-0.51,
BRA,"DF,FW",25,1998,2,6,3,0.2,0.1,0,,0,2,3,12,1.5,0,0,0,0.0,0.18,0.0,0.0,0.0,0.0,0.07
ENG,"DF,MF",25,1997,23,1432,62,46.8,15.9,16,80,9,7,21,6,1.78,28,32,-4,-0.25,-0.14,25.8,28.9,-3.1,-0.19,-0.22
FRA,FW,32,1991,29,2293,79,74.9,25.5,27,83,12,2,31,0,1.69,38,42,-4,-0.16,0.08,34.6,35.4,-0.8,-0.03,0.17
SWE,"FW,MF",22,2001,3,98,33,3.2,1.1,1,70,0,2,14,0,0.33,2,1,1,0.92,1.13,1.4,2.9,-1.5,-1.39,-1.35
POR,GK,32,1990,31,2790,90,91.2,31.0,31,90,31,0,,0,1.68,47,49,-2,-0.06,1.27,47.5,46.2,1.3,0.04,1.31
FRA,FW,20,2002,3,270,90,8.8,3.0,3,90,3,0,,0,0.33,2,6,-4,-1.33,-1.27,2.3,6.1,-3.8,-1.27,-1.31
TUN,MF,19,2004,1,12,12,0.4,0.1,0,,0,1,12,0,0.0,0,0,0,0.0,0.18,0.0,0.1,-0.1,-0.54,-0.47
ANG,DF,30,1992,28,2220,79,72.5,24.7,25,85,21,3,28,3,1.61,39,38,1,0.04,0.79,35.7,35.1,0.6,0.02,0.36
FRA,MF,28,1994,25,1741,70,56.9,19.3,21,76,8,4,36,2,1.72,19,28,-9,-0.47,-0.67,24.2,26.6,-2.3,-0.12,-0.11
CRO,DF,34,1989,10,718,72,23.5,8.0,8,86,4,2,14,11,1.3,13,14,-1,-0.13,0.07,11.1,10.9,0.1,0.01,0.12
POR,"FW,MF",18,2004,7,270,39,8.8,3.0,4,53,0,3,19,4,0.57,2,6,-4,-1.33,-1.27,2.8,5.9,-3.1,-1.05,-1.07
CRO,DF,26,1996,24,1993,83,65.1,22.1,22,90,21,2,7,3,1.83,35,32,3,0.14,0.89,33.2,35.3,-2.1,-0.09,-0.06
GHA,"FW,MF",19,2003,29,1838,63,60.1,20.4,21,74,2,8,34,0,1.69,28,32,-4,-0.2,-0.05,31.6,33.1,-1.5,-0.07,0.0
NGA,FW,21,2002,13,474,36,15.5,5.3,5,62,0,8,20,3,2.15,10,6,4,0.76,1.11,8.7,8.0,0.7,0.13,0.25
BRA,DF,29,1994,11,607,55,19.8,6.7,6,86,3,5,18,16,1.18,8,12,-4,-0.59,-0.52,8.8,9.4,-0.5,-0.08,-0.01
IRL,DF,22,2001,27,2369,88,77.4,26.3,27,88,26,0,,4,1.78,44,42,2,0.08,1.12,41.7,36.9,4.8,0.18,1.14
FRA,"FW,MF",25,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,
BRA,"FW,MF",23,1999,10,308,31,10.1,3.4,3,64,0,7,16,5,0.8,8,8,0,0.0,0.2,5.7,5.8,-0.2,-0.05,0.03
FRA,MF,20,2002,6,253,42,8.3,2.8,2,80,1,4,23,6,0.33,1,7,-6,-2.13,-2.13,2.3,5.6,-3.3,-1.18,-1.2
FRA,GK,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,
BRA,GK,25,1997,0,,,,,0,,0,0,,16,,,,,,,,,,,
FRA,MF,18,2005,11,358,33,11.7,4.0,4,52,0,7,22,4,1.55,6,8,-2,-0.5,-0.37,5.1,5.0,0.1,0.01,0.1
BEL,FW,18,2005,17,559,33,18.3,6.2,4,67,1,13,22,0,2.18,17,8,9,1.45,1.99,12.0,8.2,3.8,0.62,0.84
GNB,"FW,MF",27,1995,20,551,28,18.0,6.1,4,63,0,16,19,3,1.25,9,5,4,0.65,1.01,13.6,7.3,6.3,1.03,1.34
FRA,DF,17,2005,1,8,8,0.3,0.1,0,,0,1,8,8,3.0,0,0,0,0.0,0.18,0.0,0.1,-0.1,-0.78,-0.71
FRA,GK,19,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA,MF,23,2000,34,3022,89,98.8,33.6,34,89,30,0,,0,1.56,48,54,-6,-0.18,-0.18,49.5,51.1,-1.6,-0.05,2.09
FRA,FW,19,2004,1,2,2,0.1,0.0,0,,0,1,2,4,1.0,0,0,0,0.0,0.18,0.0,0.0,0.0,0.0,0.07
SRB,MF,34,1988,15,1254,84,41.0,13.9,15,84,9,0,,0,2.47,26,21,5,0.36,0.91,22.5,20.8,1.8,0.13,0.34
ARG,DF,30,1992,25,2123,85,69.4,23.6,25,85,19,0,,0,1.72,31,36,-5,-0.21,-0.12,33.2,38.0,-4.8,-0.2,-0.42
BEL,MF,25,1998,8,398,50,13.0,4.4,4,73,1,4,27,3,2.63,11,4,7,1.58,2.02,7.4,8.2,-0.8,-0.19,-0.13
CIV,MF,25,1997,8,307,38,10.0,3.4,4,56,0,4,21,7,0.88,1,5,-4,-1.17,-1.11,4.8,5.8,-1.0,-0.28,-0.23
FRA,"MF,FW",19,2003,33,1719,52,56.2,19.1,19,72,4,14,25,1,1.52,27,34,-7,-0.37,-0.43,29.7,28.3,1.4,0.07,0.33
FRA,GK,35,1987,3,270,90,8.8,3.0,3,90,3,0,,10,0.33,2,6,-4,-1.33,-1.27,2.3,6.1,-3.8,-1.27,-1.31
FRA,DF,18,2005,17,924,54,30.2,10.3,8,88,7,9,24,10,0.82,6,15,-9,-0.88,-1.0,11.8,15.9,-4.1,-0.4,-0.46
ALG,"FW,MF",27,1995,12,770,64,25.2,8.6,10,70,0,2,37,1,2.33,15,16,-1,-0.12,0.08,13.2,12.9,0.4,0.04,0.15
CIV,DF,22,2001,10,889,89,29.1,9.9,10,89,9,0,,6,0.6,5,16,-11,-1.11,-1.32,12.0,18.7,-6.7,-0.68,-0.85
