players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
25,34,49,,0,494,465,47,528,386,488,5,7,1,1321,665,667,49.9,/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats
26,34,71,,0,506,438,78,592,345,516,5,4,2,1513,441,479,47.9,/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats
31,34,70,,1,479,478,81,663,389,502,2,9,0,1593,643,649,49.8,/en/squads/bc357bf7/2017-2018/Koln-Stats
24,34,57,,1,451,485,58,658,390,482,4,6,0,1717,552,618,47.2,/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats
27,34,63,,2,531,435,67,546,402,522,3,7,1,1512,683,657,51.0,/en/squads/a224b06a/2017-2018/Mainz-05-Stats
23,34,48,,3,452,485,87,521,397,509,4,5,0,1700,638,544,54.0,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
24,34,66,,1,549,504,81,583,498,534,9,6,1,1871,558,510,52.2,/en/squads/c539e393/2017-2018/Schalke-04-Stats
26,34,59,,2,462,429,72,610,414,496,2,6,0,1477,627,694,47.5,/en/squads/598bc722/2017-2018/Stuttgart-Stats
25,34,55,,0,522,443,69,655,421,435,0,4,2,1368,636,617,50.8,/en/squads/62add3bf/2017-2018/Werder-Bremen-Stats
29,34,65,,5,444,499,57,556,403,430,6,9,2,1300,601,591,50.4,/en/squads/4eaa11d7/2017-2018/Wolfsburg-Stats
25,38,66,,3,490,465,79,751,476,488,9,2,0,2469,563,519,52.0,/en/squads/922493f3/2017-2018/Atalanta-Stats
41,38,79,,4,486,465,83,661,449,409,2,13,2,1892,410,501,45.0,/en/squads/4fcb34fd/2017-2018/Benevento-Stats
30,38,101,,4,482,466,66,553,462,456,2,4,3,1855,593,571,50.9,/en/squads/1d8099f8/2017-2018/Bologna-Stats
29,38,96,,4,611,458,84,732,431,447,5,12,1,1901,743,600,55.3,/en/squads/c4260e09/2017-2018/Cagliari-Stats
25,38,75,,1,478,460,102,801,444,367,2,7,4,1932,645,657,49.5,/en/squads/cc919b35/2017-2018/Chievo-Stats
29,38,65,,1,501,466,88,635,578,440,2,8,0,2102,620,744,45.5,/en/squads/3074d7b1/2017-2018/Crotone-Stats
27,38,89,,3,551,428,82,823,489,497,6,3,0,2146,566,612,48.0,/en/squads/421387cf/2017-2018/Fiorentina-Stats
33,38,75,,0,555,474,86,769,394,395,5,4,2,2022,561,589,48.8,/en/squads/658bf2de/2017-2018/Genoa-Stats
32,38,98,,4,511,404,79,665,541,459,3,8,2,1883,555,642,46.4,/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats
22,38,69,,0,452,395,94,1042,402,435,6,2,4,2140,538,477,53.0,/en/squads/d609edc0/2017-2018/Internazionale-Stats
24,38,66,,1,432,493,79,672,421,359,5,4,2,2003,455,366,55.4,/en/squads/e0652b02/2017-2018/Juventus-Stats
24,38,79,,3,435,350,97,734,494,450,9,10,2,2304,474,464,50.5,/en/squads/7213da33/2017-2018/Lazio-Stats
24,38,75,,4,495,478,88,872,354,376,4,3,1,1954,440,500,46.8,/en/squads/dc56fe14/2017-2018/Milan-Stats
23,38,58,,1,349,369,80,672,341,407,7,2,0,2393,375,436,46.2,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
27,38,48,,1,396,439,71,962,477,384,4,5,0,2201,664,471,58.5,/en/squads/cf74a709/2017-2018/Roma-Stats
29,38,101,,2,479,640,91,727,527,414,5,12,4,1776,507,545,48.2,/en/squads/1d2fe027/2017-2018/SPAL-Stats
27,38,69,,2,426,485,54,777,335,423,6,10,2,1997,463,545,45.9,/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats
28,38,89,,4,488,556,80,793,506,375,6,3,2,2077,592,528,52.9,/en/squads/e2befd26/2017-2018/Sassuolo-Stats
27,38,78,,4,568,508,71,612,421,405,2,8,0,2122,614,573,51.7,/en/squads/105360fe/2017-2018/Torino-Stats
27,38,72,,0,531,392,60,711,459,415,5,6,5,1934,539,577,48.3,/en/squads/04eea015/2017-2018/Udinese-Stats
