playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
28,2,1.0,,165143,Martim Neto,,Martim Neto,2003-01-14,Portugal,Central Midfield,,,2024-11-01T22:50:30Z,496,Rio Ave FC,Rio Ave,RIO,https://crests.football-data.org/496.png,"Praça da República, n.º35, Apartado 42 Vila do Conde 4481-909",http://www.rioave-fc.pt,1939.0,Green / White,Estádio do Rio Ave Futebol Clube,2022-07-26T17:38:50Z,PPL,Primeira Liga,2024
31,2,,,188089,Joel Silva,,Joel Silva,2003-02-11,Portugal,Central Midfield,,,2024-11-01T22:50:30Z,810,Boavista FC,Boavista,BOA,https://crests.football-data.org/810.png,"Rua O Primeiro de Janeiro, Boavista Porto 4100-127",http://www.boavistafc.pt,1903.0,Black / White,Estádio do Bessa Século XXI,2022-07-26T17:39:01Z,PPL,Primeira Liga,2024
28,2,,,104016,Cauê,,Cauê,2002-11-16,Brazil,Offence,,,2024-08-18T09:43:01Z,6618,Casa Pia AC,Casa Pia,CAS,https://crests.football-data.org/6618.png,Estádio Pina Manique Lisboa 1500-462,http://www.casapia-ac.pt,1920.0,Black / White,Estádio Pina Manique,2022-07-26T17:38:35Z,PPL,Primeira Liga,2024
32,2,1.0,,203426,Babatunde Akinsola,Tunde,Akinsola,2003-03-10,Nigeria,Left Winger,,,2024-08-12T11:57:15Z,10340,AVS,AVS,AVS,https://crests.football-data.org/10340.png,null null null,,,,Estádio do CD Aves,2024-12-17T10:57:53Z,PPL,Primeira Liga,2024
32,2,,,130345,Morlaye Sylla,Morlaye,Sylla,1998-07-27,Guinea,Left Winger,,,2024-11-01T22:50:30Z,712,FC Arouca,Arouca,FCA,https://crests.football-data.org/712.png,Rua Doutor Ângelo Miranda Arouca 4540-140,http://www.fcarouca.eu,1952.0,Yellow / Blue,Estádio Municipal de Arouca,2022-02-25T16:58:25Z,PPL,Primeira Liga,2024
32,2,,,188084,Dinis Pinto,,Dinis Pinto,2000-08-24,Portugal,Right-Back,,,2025-05-20T09:42:33Z,583,Moreirense FC,Moreirense,MOR,https://crests.football-data.org/583.png,Avenida Comendador Joaquim de Almeida Freitas Moreira de Cónegos 4815-270,http://www.moreirensefc.pt,1938.0,Green / White,P.D. Comendador Joaquim de Almeida Freitas,2023-03-05T07:40:05Z,PPL,Primeira Liga,2024
28,2,2.0,1.0,73998,Morten Hjulmand,Morten,Hjulmand,1999-06-25,Denmark,Defensive Midfield,,,2024-11-01T22:50:30Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
29,2,1.0,,185120,Gonçalo Costa,,Gonçalo Costa,2000-02-18,Portugal,Defence,,,2023-07-30T19:37:09Z,582,GD Estoril Praia,Estoril Praia,EST,https://crests.football-data.org/582.png,Estádio António Coimbra da Mota Estoril 2765,http://www.estorilpraia.pt,1939.0,Yellow / Blue,Estádio António Coimbra da Mota,2022-10-19T16:23:49Z,PPL,Primeira Liga,2024
29,2,,,181512,Ulisses,,Ulisses,1999-09-28,Brazil,Defence,,,2023-07-31T10:01:17Z,5529,CD Nacional,CD Nacional,CDN,https://crests.football-data.org/5529.png,"Rua do Esmeraldo, n.º 46 Funchal 9060",http://www.cdnacional.pt,1910.0,Black / White,Estádio da Madeira,2023-06-02T09:42:46Z,PPL,Primeira Liga,2024
34,2,,,171386,Joao Goulart,,João Goulart,2000-01-27,Portugal,Defence,,,2023-11-28T19:41:37Z,6618,Casa Pia AC,Casa Pia,CAS,https://crests.football-data.org/6618.png,Estádio Pina Manique Lisboa 1500-462,http://www.casapia-ac.pt,1920.0,Black / White,Estádio Pina Manique,2022-07-26T17:38:35Z,PPL,Primeira Liga,2024
28,2,3.0,,126149,Gonçalo Borges,,Gonçalo Borges,2001-03-29,Portugal,Right Winger,,,2024-11-01T22:50:30Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
27,2,,,251250,Miguel Menino,,Miguel Menino,2003-01-10,Portugal,Midfield,,,2024-05-15T09:42:59Z,5602,SC Farense,Farense,FAR,https://crests.football-data.org/5602.png,"Praça de Tânger, Ginásio Sede Faro 8005-445",http://www.scfarense1910.blogspot.com,1910.0,Black / White,Estádio de São Lúis,2023-07-06T17:34:46Z,PPL,Primeira Liga,2024
31,2,1.0,,45514,Samu,,Samu,1996-04-21,Portugal,Midfield,,,2023-07-30T19:37:08Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
