players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
2,38,59,1,1,4,3,50.3,0.27,-5.7,-0.15,366,805,45.5,919,124,63.8,57.3,304,72.0,51.9,515,27,5.2,56,1.47,12.0,/en/squads/0e72edf2/2022-2023/Hellas-Verona-Stats
3,38,42,3,0,6,3,34.8,0.23,-4.2,-0.11,151,364,41.5,1336,189,22.7,33.5,290,21.0,28.1,439,17,3.9,20,0.53,,/en/squads/d609edc0/2022-2023/Internazionale-Stats
2,38,33,4,0,6,0,37.1,0.24,4.1,0.11,160,377,42.4,825,182,34.7,30.8,312,29.2,29.0,543,15,2.8,32,0.84,15.7,/en/squads/e0652b02/2022-2023/Juventus-Stats
2,38,30,1,0,5,1,31.4,0.25,2.4,0.06,160,376,42.6,1014,167,30.6,,309,21.4,23.7,493,21,4.3,55,1.45,19.0,/en/squads/7213da33/2022-2023/Lazio-Stats
1,38,46,5,2,6,3,43.5,0.24,0.5,0.01,194,721,26.9,869,143,57.1,42.1,289,77.9,52.8,534,23,4.3,42,1.11,14.1,/en/squads/ffcbe334/2022-2023/Lecce-Stats
3,38,43,4,3,6,1,37.2,0.26,-4.8,-0.13,170,388,43.8,1124,194,28.2,32.9,246,28.9,28.9,416,24,5.8,45,1.18,14.4,/en/squads/dc56fe14/2022-2023/Milan-Stats
2,38,52,3,1,4,1,50.3,0.28,-0.7,-0.02,168,480,35.0,1230,240,31.5,22.6,313,29.7,30.3,548,14,2.6,34,0.89,25.7,/en/squads/21680aa4/2022-2023/Monza-Stats
2,38,28,1,0,2,0,28.0,0.24,0.0,0.0,71,181,39.2,858,145,15.3,29.6,232,21.6,27.4,391,13,3.3,43,1.13,18.8,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
2,38,38,2,1,4,1,30.5,0.23,-6.5,-0.17,151,372,40.6,702,134,38.9,41.4,259,38.2,36.2,444,22,5.0,29,0.76,12.1,/en/squads/cf74a709/2022-2023/Roma-Stats
3,38,62,7,1,6,0,67.1,0.29,5.1,0.13,218,719,30.3,1064,132,47.7,37.9,360,58.6,44.7,540,28,5.2,23,0.61,6.0,/en/squads/c5577084/2022-2023/Salernitana-Stats
3,38,71,8,0,10,2,58.2,0.23,-10.8,-0.28,243,664,36.6,1032,164,45.0,35.6,349,57.3,43.1,571,34,6.0,26,0.68,10.5,/en/squads/8ff9e3b3/2022-2023/Sampdoria-Stats
3,38,61,4,0,5,2,44.6,0.32,-14.4,-0.38,185,466,39.7,1176,199,31.6,29.7,376,25.0,27.7,509,30,5.9,28,0.74,9.0,/en/squads/e2befd26/2022-2023/Sassuolo-Stats
4,38,62,5,1,8,3,52.1,0.25,-6.9,-0.18,185,585,31.6,1019,177,43.0,24.3,339,43.4,36.6,566,18,3.2,41,1.08,22.0,/en/squads/68449f6d/2022-2023/Spezia-Stats
1,38,41,5,0,6,0,35.8,0.23,-5.2,-0.14,285,939,30.4,1495,185,45.4,39.7,297,87.9,67.8,469,36,7.7,70,1.84,16.2,/en/squads/105360fe/2022-2023/Torino-Stats
1,38,48,6,2,3,2,48.7,0.31,2.7,0.07,144,380,37.9,858,142,32.4,32.0,316,32.3,32.9,547,13,2.4,21,0.55,12.2,/en/squads/04eea015/2022-2023/Udinese-Stats
