playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
20,4,4.0,1.0,67967,Philippe Rommens,Philippe,Rommens,1997-08-20,Belgium,Midfield,,,2023-07-30T23:06:59Z,718,Go Ahead Eagles,Go Ahead,GOA,https://crests.football-data.org/718.png,Vetkampstraat 1 Deventer 7416 WK,http://www.ga-eagles.nl,1902,Red / Yellow,De Adelaarshorst,2022-03-22T10:09:14Z,DED,Eredivisie,2023
33,4,2.0,,125169,Charles-Andréas Brym,Charles-Andreas,Brym,1998-08-08,Canada,Centre-Forward,,,2024-08-24T08:13:28Z,6806,Sparta Rotterdam,Sparta,SPA,https://crests.football-data.org/6806.png,Spartapark Noord 1 Rotterdam 3027 VW,http://www.sparta-rotterdam.nl,1888,Red / White / Black,Sparta-Stadion Het Kasteel,2022-03-22T10:09:59Z,DED,Eredivisie,2023
28,4,1.0,,102404,Richonell Margaret,Richonell,Margaret,2000-07-07,Netherlands,Centre-Forward,,7.0,2024-08-24T08:13:27Z,683,RKC Waalwijk,RKC,RKC,https://crests.football-data.org/683.png,Akkerlaan 2 Waalwijk 5143 ND,http://www.rkcwaalwijk.nl,1940,Yellow / Blue,Mandemakers Stadion,2022-03-22T10:11:27Z,DED,Eredivisie,2023
32,4,2.0,1.0,3131,Alen Halilović,Alen,Halilović,1996-06-18,Croatia,Attacking Midfield,,,2024-08-24T08:13:28Z,1920,Fortuna Sittard,Sittard,SIT,https://crests.football-data.org/1920.png,Milaanstraat 120 Sittard 6135 LH,http://www.fortuna-sittard.nl,1968,Yellow / Green,Fortuna Sittard Stadion,2022-03-22T10:11:54Z,DED,Eredivisie,2023
31,4,,,125918,Benaissa Benamar,Benaissa,Benamar,1997-04-08,Morocco,Defence,,4.0,2023-07-30T23:06:59Z,1919,FC Volendam,Volendam,VOL,https://crests.football-data.org/1919.png,Sportlaan 10 Volendam 1131 BK,http://www.fcvolendam.nl,1920,Orange / Black,Kras Stadion,2022-08-07T11:18:40Z,DED,Eredivisie,2023
32,4,5.0,,7470,Jens Toornstra,Jens,Toornstra,1989-04-04,Netherlands,Attacking Midfield,,,2024-08-24T08:13:26Z,676,FC Utrecht,Utrecht,UTR,https://crests.football-data.org/676.png,Postbus 85159 Utrecht 3508 AD,http://www.fc-utrecht.nl,1970,Red / White,Stadion Galgenwaard,2022-03-24T17:07:00Z,DED,Eredivisie,2023
30,4,6.0,,7729,Younes Namli,Younes,Namli,1994-06-20,Denmark,Midfield,,21.0,2023-07-30T23:06:59Z,684,PEC Zwolle,Zwolle,ZWO,https://crests.football-data.org/684.png,Stadionplein 1 Zwolle 8025 CP,http://www.peczwolle.nl,1910,Blue / White,MAC³PARK Stadion,2022-03-22T10:11:39Z,DED,Eredivisie,2023
31,4,1.0,,144657,Kornelius Hansen,Kornelius,Hansen,2001-05-06,Norway,Centre-Forward,,11.0,2024-08-24T08:13:28Z,1911,Almere City FC,Almere City,ALM,https://crests.football-data.org/1911.png,Competitieweg 22 Almere 1318 EA,http://www.almerecity.nl,1972,Black / Red,Yanmar Stadion,2022-09-25T07:40:45Z,DED,Eredivisie,2023
34,4,3.0,4.0,16903,Anas Tahiri,Anas,Tahiri,1995-05-15,Belgium,Midfield,,,2023-07-30T23:06:55Z,673,SC Heerenveen,Heerenveen,HEE,https://crests.football-data.org/673.png,Abe Lenstra Boulevard 19 Heerenveen 8448 JA,http://www.sc-heerenveen.nl,1920,Blue / White,Abe Lenstra Stadion,2022-02-20T08:40:47Z,DED,Eredivisie,2023
32,4,4.0,3.0,7391,Thom Haye,Thom,Haye,1995-02-09,Indonesia,Midfield,,33.0,2024-03-21T09:41:19Z,673,SC Heerenveen,Heerenveen,HEE,https://crests.football-data.org/673.png,Abe Lenstra Boulevard 19 Heerenveen 8448 JA,http://www.sc-heerenveen.nl,1920,Blue / White,Abe Lenstra Stadion,2022-02-20T08:40:47Z,DED,Eredivisie,2023
24,4,3.0,,44463,Isac Lidberg,Isac,Lidberg,1998-09-08,Sweden,Centre-Forward,,,2024-09-02T09:59:04Z,676,FC Utrecht,Utrecht,UTR,https://crests.football-data.org/676.png,Postbus 85159 Utrecht 3508 AD,http://www.fc-utrecht.nl,1970,Red / White,Stadion Galgenwaard,2022-03-24T17:07:00Z,DED,Eredivisie,2023
29,4,2.0,,148291,Yoann Cathline,Yoann,Cathline,2002-07-22,France,Left Winger,,,2024-08-24T08:13:26Z,1911,Almere City FC,Almere City,ALM,https://crests.football-data.org/1911.png,Competitieweg 22 Almere 1318 EA,http://www.almerecity.nl,1972,Black / Red,Yanmar Stadion,2022-09-25T07:40:45Z,DED,Eredivisie,2023
30,4,5.0,,115116,Sven Mijnans,Sven,Mijnans,2000-03-09,Netherlands,Attacking Midfield,,17.0,2024-08-24T08:13:27Z,682,AZ,AZ,AZ,https://crests.football-data.org/682.png,Stadionweg 1 Alkmaar 1812 AZ,http://www.az.nl,1967,Red / White,AFAS Stadion,2022-03-22T10:11:18Z,DED,Eredivisie,2023
31,4,3.0,,16909,Othman Boussaid,Othmane,Boussaid,2000-03-07,Belgium,Midfield,,,2023-07-30T23:07:19Z,676,FC Utrecht,Utrecht,UTR,https://crests.football-data.org/676.png,Postbus 85159 Utrecht 3508 AD,http://www.fc-utrecht.nl,1970,Red / White,Stadion Galgenwaard,2022-03-24T17:07:00Z,DED,Eredivisie,2023
33,4,2.0,,32609,Iñigo Córdoba,,Córdoba,1997-03-13,Spain,Midfield,,,2024-08-16T09:45:59Z,1920,Fortuna Sittard,Sittard,SIT,https://crests.football-data.org/1920.png,Milaanstraat 120 Sittard 6135 LH,http://www.fortuna-sittard.nl,1968,Yellow / Green,Fortuna Sittard Stadion,2022-03-22T10:11:54Z,DED,Eredivisie,2023
32,4,6.0,,81053,Lance Duijvestijn,Lance,Duijvestijn,1999-01-15,Netherlands,Midfield,,11.0,2023-07-30T23:06:59Z,670,SBV Excelsior,Excelsior,EXC,https://crests.football-data.org/670.png,Honingerdijk 110 Rotterdam 3062 NX,http://www.sbvexcelsior.nl,1902,Red / Black,Van Donge & De Roo Stadion,2022-08-07T11:18:32Z,DED,Eredivisie,2023
14,4,,,167447,Paxten Aaronson,Paxten,Aaronson,2003-08-26,USA,Attacking Midfield,,,2024-08-12T11:57:09Z,679,SBV Vitesse,Vitesse,VIT,https://crests.football-data.org/679.png,Batavierenweg 25 Arnhem 6841 HN,http://www.vitesse.nl,1892,Yellow / Black,GelreDome,2022-03-22T10:09:28Z,DED,Eredivisie,2023
