nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
GUF,DF,26,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA,MF,32,1985,6.7,4,0,0,22,4,0,0,6,4,0,0,0,38,10,12,45.5
FRA,DF,24,1992,18.9,1,0,0,31,11,0,39,35,32,0,0,0,101,33,26,55.9
BRA,FW,24,1992,0.8,1,0,0,5,2,1,3,0,1,0,0,0,1,1,1,50.0
ITA,MF,24,1992,19.1,9,1,1,31,53,1,9,26,33,0,0,0,115,7,7,50.0
BRA,DF,23,1994,25.1,1,0,0,8,8,0,1,14,14,0,0,0,137,42,20,67.7
BRA,FW,25,1992,19.8,5,1,1,23,104,10,83,5,14,2,0,0,80,3,5,37.5
FRA,DF,21,1995,26.9,8,2,2,34,48,1,6,24,28,0,2,0,169,31,23,57.4
FRA,DF,18,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
ITA,MF,34,1982,12.8,3,1,0,27,14,1,0,21,21,0,1,0,61,23,28,45.1
BRA,DF,32,1984,23.5,5,0,0,24,12,0,1,18,23,0,1,1,151,47,21,69.1
BEL,DF,25,1991,17.5,3,0,0,29,5,2,75,18,21,0,1,0,93,23,11,67.6
USA,FW,17,2000,1.4,1,0,0,2,0,1,1,0,1,0,0,0,2,0,0,
FRA,FW,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESP,DF,27,1990,19.1,4,0,0,18,28,3,56,24,27,0,0,0,89,39,17,69.6
ARG,FW,29,1988,23.5,1,0,0,8,14,15,175,10,10,0,0,0,71,0,2,0.0
SEN,GK,25,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0
FRA,"FW,MF",23,1994,16.2,1,0,0,20,30,20,9,9,15,1,0,0,78,11,31,26.2
POR,"DF,FW",24,1993,2.5,1,0,0,3,7,0,4,0,3,0,0,0,20,2,2,50.0
FRA,MF,26,1990,33.5,11,1,1,72,48,1,21,57,54,0,0,0,259,187,151,55.3
FRA,"MF,FW",23,1994,34.5,3,0,0,35,15,2,279,45,30,0,1,0,212,12,52,18.8
ESP,"FW,MF",22,1995,4.0,0,0,0,8,8,2,9,5,9,0,0,0,21,2,9,18.2
SEN,FW,27,1989,8.6,1,0,0,16,10,9,4,2,4,0,0,0,15,21,47,30.9
FRA,"MF,FW",19,1998,9.9,1,0,0,12,14,1,33,6,3,0,0,0,34,6,13,31.6
FRA,DF,20,1997,3.0,0,0,0,3,1,0,0,3,2,0,0,0,13,13,3,81.3
MLI,DF,25,1992,29.3,10,0,0,42,37,2,63,61,55,0,0,0,190,55,42,56.7
SEN,"FW,MF",19,1998,20.6,2,0,0,21,64,20,35,9,10,2,0,0,92,11,32,25.6
CMR,MF,21,1996,20.2,6,1,1,38,49,0,59,18,21,3,0,0,112,20,20,50.0
GLP,"FW,MF",20,1997,1.3,0,0,0,2,0,1,0,1,4,0,0,0,4,2,4,33.3
FRA,DF,20,1997,32.4,3,0,0,25,27,2,1,29,29,0,0,1,130,70,35,66.7
FRA,"DF,MF",20,1997,25.7,2,0,0,33,16,1,3,37,18,0,0,0,151,40,32,55.6
GUF,DF,31,1986,12.9,0,0,0,11,15,1,23,15,27,0,0,0,104,28,14,66.7
ALG,"DF,MF",25,1992,11.0,0,0,0,7,4,1,23,12,12,0,0,0,72,12,13,48.0
MOZ,DF,28,1988,13.3,1,0,0,6,9,0,2,16,12,0,3,0,82,42,27,60.9
FRA,"MF,FW",32,1985,8.3,2,2,1,8,14,0,19,4,5,0,0,0,39,2,12,14.3
COD,"FW,MF",23,1994,13.6,1,0,0,15,42,5,22,3,8,1,0,0,46,7,13,35.0
FRA,MF,18,1998,0.8,0,0,0,1,2,0,0,1,1,0,0,0,3,1,2,33.3
ALG,DF,22,1995,26.0,6,0,0,38,40,4,62,37,39,0,3,1,164,71,29,71.0
ALG,GK,31,1986,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
FRA,DF,31,1986,7.6,2,0,0,7,1,0,18,3,7,0,0,0,31,14,9,60.9
BIH,MF,23,1993,17.4,3,0,0,14,10,0,5,30,18,0,0,0,140,11,11,50.0
CZE,GK,24,1992,34.0,0,0,0,1,3,0,0,3,0,0,1,0,49,16,1,94.1
TUN,"FW,MF",26,1991,21.3,8,1,0,38,52,17,64,7,18,0,0,0,109,15,30,33.3
FRA,"MF,FW",31,1986,4.7,0,0,0,3,6,0,8,2,5,0,0,0,19,3,7,30.0
NOR,FW,29,1987,4.0,0,1,0,13,6,5,1,2,1,0,0,0,5,8,16,33.3
SEN,MF,19,1997,14.9,4,0,0,26,15,2,10,11,21,0,0,0,121,10,15,40.0
BFA,"MF,FW",25,1992,14.3,10,0,0,33,39,2,9,11,16,1,0,0,73,35,22,61.4
SEN,DF,29,1988,5.4,2,0,0,11,3,0,4,8,4,0,0,0,21,9,2,81.8
GUI,DF,26,1990,3.6,1,0,0,2,3,1,10,1,0,0,1,0,24,7,1,87.5
BRA,DF,26,1991,23.1,2,1,0,34,44,3,54,37,20,1,0,0,112,27,29,48.2
CIV,"MF,DF",21,1996,7.9,2,0,0,23,9,0,16,19,18,0,0,0,75,7,12,36.8
BRA,"MF,FW",23,1994,6.0,2,2,1,16,4,1,40,6,13,0,0,0,32,13,11,54.2
FRA,GK,31,1986,3.4,1,0,0,1,2,0,0,0,0,0,1,0,1,2,0,100.0
CIV,FW,21,1996,28.6,1,0,0,30,48,20,107,19,21,2,0,0,160,24,44,35.3
FRA,"FW,MF",28,1988,19.6,0,0,0,33,14,5,29,13,25,0,0,0,97,34,70,32.7
FRA,DF,27,1989,24.1,6,0,0,25,13,0,2,31,27,0,2,0,133,41,29,58.6
FRA,FW,24,1992,10.3,0,0,0,11,17,6,7,1,0,3,0,0,25,12,31,27.9
FRA,DF,31,1985,27.4,3,0,0,16,28,0,2,36,26,0,0,0,161,76,35,68.5
SUI,DF,25,1992,8.6,3,1,0,10,3,4,0,11,8,0,0,0,36,20,13,60.6
FRA,DF,32,1985,14.6,1,0,0,22,13,2,51,27,25,0,1,1,82,61,28,68.5
SRB,DF,28,1988,16.0,1,0,0,6,5,0,1,18,14,0,0,0,86,45,22,67.2
NOR,MF,23,1994,22.9,9,0,0,39,14,0,26,34,45,1,0,0,161,30,20,60.0
MAR,FW,23,1994,2.3,1,0,0,6,6,3,7,3,6,0,0,0,14,0,0,
CMR,"FW,MF",25,1992,5.7,2,0,0,6,13,2,17,3,8,0,0,0,21,5,8,38.5
FRA,MF,19,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
SVN,FW,26,1991,11.6,0,0,0,27,21,15,3,5,4,1,0,0,24,16,35,31.4
FRA,FW,30,1987,20.5,4,0,0,17,37,12,106,13,13,1,0,0,72,18,32,36.0
FRA,DF,19,1998,13.0,2,1,0,14,15,0,12,9,31,0,1,0,48,7,15,31.8
FRA,"MF,FW",27,1990,25.1,3,0,0,19,68,5,69,14,39,0,0,0,152,9,25,26.5
GAM,DF,21,1995,15.8,4,0,0,23,12,0,57,14,30,0,1,0,82,16,17,48.5
FRA,GK,30,1986,34.6,1,1,0,0,1,0,0,0,0,0,0,0,52,4,2,66.7
CPV,FW,21,1996,1.2,0,0,0,2,1,1,5,0,0,0,0,0,6,0,0,
FRA,MF,26,1990,14.3,5,1,0,36,18,1,6,24,16,0,0,0,63,72,48,60.0
FRA,MF,27,1990,16.4,1,0,0,9,20,0,6,31,16,0,0,0,96,19,14,57.6
SEN,DF,23,1993,2.8,2,1,0,4,6,0,13,2,5,0,0,0,18,1,2,33.3
ALG,GK,29,1988,16.2,1,0,0,0,3,0,0,3,0,0,0,0,15,5,0,100.0
FRA,"MF,FW",31,1986,19.5,5,0,0,49,17,2,144,25,31,0,0,0,115,24,32,42.9
BFA,DF,29,1988,27.4,3,0,0,23,17,2,1,33,17,1,2,0,106,49,32,60.5
FRA,"MF,FW",30,1987,15.3,2,0,0,25,34,1,34,11,19,0,0,0,69,57,54,51.4
SEN,GK,20,1996,18.8,2,0,0,1,2,0,0,1,0,0,0,0,19,1,1,50.0
FRA,DF,24,1993,13.8,2,0,0,20,7,1,25,14,12,0,0,0,75,5,8,38.5
FRA,"MF,FW",29,1988,28.9,6,0,0,28,37,0,266,52,51,0,0,0,244,9,21,30.0
GUI,DF,30,1987,24.2,4,1,0,29,12,2,30,51,47,0,1,0,132,66,31,68.0
ALG,FW,25,1992,10.5,1,0,0,10,5,6,19,5,5,0,0,0,28,9,25,26.5
FRA,"FW,MF",20,1997,7.9,1,0,0,10,14,2,6,5,8,0,0,0,42,13,20,39.4
CIV,MF,23,1994,33.4,4,0,0,46,49,1,5,75,34,0,0,0,261,48,47,50.5
FRA,MF,27,1990,33.6,6,0,0,55,40,3,50,33,50,1,0,0,216,46,64,41.8
FRA,FW,34,1983,10.2,2,0,0,8,23,16,9,1,3,1,0,0,36,93,58,61.6
FRA,MF,30,1987,9.0,3,0,0,19,14,0,7,19,17,0,0,0,54,27,8,77.1
SEN,DF,34,1983,19.1,4,0,0,26,7,2,1,24,24,1,0,0,89,46,35,56.8
MAD,DF,25,1991,30.3,5,1,1,26,29,0,69,42,47,0,0,0,211,17,17,50.0
MLI,MF,20,1996,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
FRA,GK,33,1983,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,50.0
FRA,"FW,MF",20,1997,18.6,3,0,0,30,28,8,21,14,30,1,0,0,59,48,52,48.0
CPV,"FW,MF",26,1991,19.2,4,1,0,31,35,8,21,19,32,2,1,0,91,42,55,43.3
FRA,DF,28,1989,23.5,4,0,0,23,28,1,13,51,34,0,2,0,104,54,37,59.3
CMR,FW,25,1992,18.5,5,0,0,46,20,21,42,9,11,0,1,0,48,28,54,34.1
FRA,MF,29,1988,0.7,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,
GUF,DF,24,1992,12.3,2,0,0,13,7,0,0,26,13,0,0,0,45,11,10,52.4
FRA,GK,18,1999,38.0,3,0,0,1,7,0,0,2,0,0,1,0,80,4,0,100.0
FRA,MF,20,1996,21.0,5,0,0,31,37,0,15,31,37,1,1,0,129,33,36,47.8
ALG,FW,25,1991,25.9,5,0,0,70,31,29,112,12,13,0,2,0,60,98,100,49.5
FRA,DF,24,1993,28.9,7,0,0,31,7,1,2,40,25,0,0,0,138,124,40,75.6
FRA,DF,20,1997,3.1,2,0,0,8,2,0,11,4,7,0,0,0,13,8,9,47.1
FRA,"FW,MF",22,1995,18.8,3,0,0,15,39,6,80,14,8,2,0,0,78,15,32,31.9
MAR,FW,18,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
SUI,DF,27,1990,18.9,6,1,1,22,15,1,38,27,15,0,0,0,104,44,18,71.0
COD,MF,24,1992,24.9,4,0,0,22,52,1,43,20,19,0,0,0,177,17,19,47.2
CIV,MF,19,1997,17.6,5,0,0,39,22,0,15,24,47,0,1,0,145,28,25,52.8
FRA,DF,20,1997,34.0,8,0,0,31,24,1,2,76,43,0,0,1,200,57,36,61.3
GUI,"DF,FW",23,1994,17.8,5,0,0,25,12,4,73,34,32,0,0,0,108,48,31,60.8
SWE,"MF,FW",28,1989,11.4,5,0,0,24,14,0,60,14,9,1,0,0,65,10,8,55.6
FRA,DF,19,1998,35.0,3,1,0,28,15,0,43,45,43,0,1,0,155,36,38,48.6
CIV,"FW,MF",29,1987,26.8,5,1,0,44,47,10,227,14,36,2,0,0,151,13,50,20.6
COD,"FW,MF",23,1994,4.1,0,0,0,6,9,0,21,9,4,0,0,0,27,3,7,30.0
SWE,"FW,MF",31,1986,8.9,2,0,0,27,9,6,3,2,4,1,0,0,27,42,34,55.3
FRA,MF,20,1997,2.0,1,0,0,4,3,1,9,0,2,0,0,0,8,4,5,44.4
BRA,"MF,FW",28,1988,22.2,2,0,0,27,51,2,32,34,45,0,0,0,129,29,53,35.4
BFA,DF,24,1992,17.5,7,0,0,42,25,1,18,34,36,0,0,1,93,16,12,57.1
CPV,DF,25,1992,1.7,1,0,0,3,0,0,0,3,2,0,0,0,17,1,2,33.3
FRA,MF,22,1995,2.5,0,0,0,3,3,0,4,2,1,0,0,0,12,6,5,54.5
FRA,MF,32,1985,16.9,5,0,0,26,28,0,2,30,28,0,0,0,94,29,28,50.9
FRA,FW,24,1993,16.8,6,0,0,53,41,12,5,6,6,2,0,0,44,82,80,50.6
FRA,"FW,MF",21,1996,2.1,2,0,0,8,2,0,7,2,3,0,0,0,18,0,4,0.0
MLI,FW,24,1993,24.0,6,0,0,36,28,31,12,9,12,2,0,0,78,74,189,28.1
FRA,"MF,DF",20,1996,6.8,1,0,0,9,7,0,10,4,6,0,0,0,31,8,10,44.4
FRA,"MF,FW",40,1977,15.2,0,0,0,23,24,1,30,16,14,0,0,0,79,16,24,40.0
CMR,"FW,MF",17,1999,0.7,0,0,0,1,4,0,2,0,0,0,0,0,6,3,5,37.5
FRA,"FW,MF",25,1992,17.9,1,0,0,20,17,5,86,15,9,0,0,0,67,12,37,24.5
TUN,"FW,MF",33,1984,3.8,3,0,0,10,3,0,15,2,8,0,0,0,21,2,4,33.3
MLI,DF,25,1992,33.3,8,1,0,31,28,1,67,57,32,0,0,0,222,40,35,53.3
MTQ,DF,24,1992,32.9,7,1,0,27,27,1,0,56,26,0,1,0,174,80,40,66.7
FRA,GK,25,1991,17.0,2,0,0,0,5,0,0,2,1,0,0,0,14,4,2,66.7
FRA,MF,30,1987,24.2,6,1,0,31,12,0,4,28,33,0,0,0,149,49,52,48.5
BRA,DF,19,1997,0.9,1,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0.0
FRA,DF,25,1992,23.2,4,1,0,15,11,0,1,31,16,0,1,0,138,44,29,60.3
GAB,DF,24,1993,5.2,1,0,0,7,5,0,19,7,9,0,0,0,17,5,11,31.3
BEN,"MF,FW",28,1989,0.8,1,0,0,3,1,0,4,1,0,0,0,0,2,1,11,8.3
GLP,DF,27,1990,10.2,1,0,0,4,8,0,16,9,16,0,0,0,53,4,11,26.7
FRA,MF,27,1990,25.0,5,1,0,58,17,0,64,26,57,0,1,0,133,71,59,54.6
MLI,GK,27,1990,21.0,1,0,0,0,4,0,0,0,0,0,0,0,16,5,0,100.0
FRA,DF,25,1991,26.8,5,1,1,21,26,0,54,60,38,0,1,1,144,49,39,55.7
VEN,DF,33,1984,19.1,7,1,1,22,10,0,0,20,15,0,1,0,72,50,25,66.7
FRA,MF,22,1995,11.1,1,0,0,10,7,0,7,11,10,0,0,0,91,9,32,22.0
FRA,"FW,MF",20,1996,28.9,3,0,0,52,44,13,83,23,43,0,0,0,173,12,45,21.1
TUN,"MF,FW",22,1995,21.7,1,0,0,40,26,1,104,27,25,0,0,0,119,9,20,31.0
FRA,"FW,MF",33,1984,19.0,2,0,0,15,31,5,75,20,14,1,0,0,100,12,28,30.0
KOR,FW,26,1991,13.3,5,0,0,44,34,4,15,1,5,0,0,0,29,75,68,52.4
CMR,MF,26,1991,13.2,4,0,0,15,8,1,21,12,20,0,0,0,88,7,10,41.2
FRA,MF,21,1996,22.1,4,0,0,30,33,1,4,33,45,0,1,0,162,48,49,49.5
MLI,DF,28,1989,32.7,5,1,0,36,15,2,50,44,26,0,1,0,181,51,59,46.4
RSA,MF,25,1992,2.6,2,0,0,5,5,0,0,2,2,0,0,0,19,0,5,0.0
CIV,"FW,MF",20,1997,16.2,2,0,0,41,24,1,26,12,13,0,1,0,61,21,34,38.2
FRA,MF,24,1993,24.9,4,2,2,35,9,3,4,23,27,0,0,0,160,29,27,51.8
SWE,DF,23,1994,33.0,2,0,0,40,34,0,70,23,35,0,1,0,152,42,32,56.8
NED,DF,29,1988,14.0,2,0,0,17,23,0,44,17,28,0,0,0,62,21,21,50.0
BRA,"MF,FW",28,1989,5.8,0,0,0,9,9,0,9,6,8,0,0,0,35,5,4,55.6
MLI,MF,18,1999,1.2,1,0,0,1,4,0,0,0,5,0,0,0,7,3,1,75.0
MTN,MF,25,1992,2.1,1,0,0,5,2,0,1,3,4,0,0,0,11,3,2,60.0
FRA,DF,24,1993,20.0,4,1,0,15,15,1,22,46,18,0,1,0,101,61,30,67.0
COL,"FW,MF",23,1995,24.2,1,0,0,29,39,14,90,22,13,0,0,0,127,43,63,40.6
BEN,DF,33,1985,22.2,7,1,1,32,20,2,0,31,22,0,0,1,107,51,58,46.8
FRA,"MF,FW",35,1982,11.9,1,0,0,12,13,1,3,2,11,0,0,0,42,40,44,47.6
SEN,FW,25,1993,20.8,2,0,0,44,38,24,7,5,8,1,0,0,44,51,85,37.5
MAR,"DF,MF",27,1991,6.0,1,0,0,10,8,0,17,12,9,0,1,0,31,12,8,60.0
FRA,DF,24,1993,29.1,2,0,0,32,41,0,2,46,18,0,2,1,122,66,43,60.6
FRA,"FW,MF",24,1994,2.3,0,0,0,3,7,1,7,1,1,0,0,0,6,0,1,0.0
POL,FW,25,1993,2.7,0,0,0,3,6,0,18,3,3,0,0,0,14,6,4,60.0
FRA,GK,31,1986,38.0,4,0,0,1,6,0,0,1,1,0,1,0,55,6,0,100.0
IRN,"FW,MF",24,1993,20.3,4,0,0,28,43,5,107,7,17,0,0,0,87,15,25,37.5
FRA,MF,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUI,FW,22,1996,12.3,0,1,0,16,40,7,10,4,5,0,0,0,38,91,59,60.7
SMN,FW,24,1994,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
COL,"FW,MF",26,1992,20.9,4,0,0,24,45,2,84,17,18,0,0,0,122,8,14,36.4
FRA,MF,27,1991,31.3,6,0,0,52,40,1,11,36,47,0,0,0,172,48,36,57.1
CIV,DF,28,1990,28.6,6,0,0,21,22,2,70,37,29,0,0,0,139,22,28,44.0
FRA,"MF,FW",21,1996,18.2,1,0,0,21,46,1,46,28,22,1,0,0,104,19,22,46.3
FRA,MF,23,1995,36.1,2,0,0,50,50,1,11,57,60,0,0,0,240,37,39,48.7
SEN,MF,32,1986,25.9,4,0,0,32,25,3,12,25,15,1,0,0,140,174,69,71.6
ESP,FW,29,1989,4.1,2,0,0,11,13,1,1,1,3,1,0,0,10,18,25,41.9
SEN,DF,23,1994,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,50.0
ALG,"MF,FW",21,1997,3.6,1,0,0,6,7,0,8,5,4,0,0,0,20,1,6,14.3
FRA,"MF,FW",25,1993,33.2,2,0,0,34,69,4,199,28,35,2,0,0,189,12,18,40.0
COD,"MF,FW",24,1994,0.8,0,0,0,1,3,1,4,0,2,0,0,0,5,2,3,40.0
CIV,DF,31,1986,29.3,2,1,0,14,5,2,2,42,11,1,1,0,146,31,40,43.7
FRA,"FW,MF",20,1998,28.4,2,0,0,31,68,3,19,19,22,1,0,0,148,17,27,38.6
FRA,GK,35,1983,36.0,1,1,0,2,5,0,0,1,0,0,1,0,25,7,0,100.0
BIH,DF,28,1990,27.7,7,1,0,28,8,0,0,20,18,0,0,0,95,60,42,58.8
FRA,"DF,MF",31,1987,20.5,2,0,0,32,8,1,62,38,31,0,0,0,148,30,29,50.8
ALG,"DF,MF",17,2001,0.6,1,0,0,1,1,0,0,0,2,0,1,0,2,0,2,0.0
FRA,DF,30,1988,26.6,4,0,0,27,17,1,0,29,26,2,1,1,107,65,47,58.0
CMR,FW,26,1992,27.4,3,0,0,54,35,30,29,8,7,0,0,0,43,38,78,32.8
FRA,MF,31,1987,17.8,2,1,0,13,10,0,83,23,27,0,1,0,121,12,30,28.6
FRA,DF,24,1994,5.5,0,0,0,11,1,0,18,5,6,0,0,0,27,10,3,76.9
FRA,DF,29,1989,31.0,2,0,0,29,34,0,59,44,65,0,0,1,199,18,20,47.4
FRA,MF,27,1990,7.9,2,0,0,19,12,1,0,8,14,0,0,0,30,28,19,59.6
CIV,FW,20,1998,5.5,3,0,0,11,6,0,5,0,0,1,0,0,7,11,17,39.3
FRA,DF,29,1989,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,100.0
FRA,GK,26,1992,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0
FRA,"MF,FW",16,2001,0.2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,
FRA,DF,21,1997,2.9,1,0,0,2,1,0,0,4,6,0,0,0,18,4,5,44.4
DEN,FW,25,1993,8.8,4,0,0,39,17,8,4,1,1,0,0,0,22,74,50,59.7
FRA,MF,18,2000,7.8,3,0,0,19,8,1,1,21,12,0,0,0,39,11,17,39.3
FRA,GK,31,1987,37.0,0,0,0,0,2,0,0,0,0,0,0,0,33,5,3,62.5
FRA,DF,23,1995,1.0,0,0,0,2,1,0,4,1,2,0,0,0,8,0,1,0.0
GUI,"FW,MF",22,1996,28.5,6,0,0,49,50,10,29,17,18,1,0,0,136,6,19,24.0
FRA,FW,24,1994,1.0,0,0,0,1,0,0,1,0,3,0,0,0,7,4,8,33.3
FRA,GK,19,1999,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
POL,DF,33,1985,5.0,0,0,0,4,0,0,2,4,7,0,0,0,24,13,10,56.5
CZE,MF,36,1982,16.0,2,0,0,18,25,0,27,19,26,0,0,0,103,27,29,48.2
FRA,FW,32,1985,27.7,1,0,0,37,48,19,15,4,8,0,0,0,66,49,96,33.8
NGA,FW,19,1998,2.2,1,0,0,3,2,0,1,0,1,0,0,0,10,4,3,57.1
FRA,DF,19,1998,37.0,4,0,0,25,22,0,5,50,31,0,2,0,226,116,88,56.9
DEN,MF,25,1993,14.4,4,0,0,20,13,0,6,32,21,0,0,0,104,24,25,49.0
FRA,DF,25,1992,28.2,4,0,0,24,21,1,107,29,35,0,0,0,118,40,39,50.6
SRB,DF,22,1996,1.0,0,0,0,1,1,0,3,1,1,0,0,0,2,1,3,25.0
FRA,"FW,MF",27,1991,14.1,5,0,0,42,35,4,74,10,19,0,1,0,72,30,37,44.8
BRA,MF,24,1994,31.9,4,0,0,56,24,0,5,43,74,0,0,0,248,23,37,38.3
BRA,DF,27,1991,21.5,2,3,0,17,12,1,0,32,15,0,2,0,159,71,29,71.0
FRA,DF,30,1988,0.8,1,0,0,1,0,0,0,1,0,0,0,0,4,4,1,80.0
NGA,FW,20,1997,14.2,3,1,0,18,38,2,96,8,18,1,0,0,90,21,32,39.6
ESP,DF,22,1996,22.1,6,0,0,28,26,1,75,17,50,0,1,0,133,19,41,31.7
FRA,DF,18,2000,0.9,0,0,0,1,1,0,0,2,0,0,0,0,4,3,1,75.0
CRO,MF,21,1996,14.8,3,0,0,24,23,0,46,9,16,0,0,0,55,31,28,52.5
ARG,MF,22,1996,0.4,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0.0
SRB,DF,22,1996,15.3,7,1,0,18,16,0,1,36,21,0,1,0,107,37,38,49.3
FRA,MF,18,2000,2.4,1,0,0,4,1,0,9,2,2,0,0,0,16,2,1,66.7
FRA,FW,20,1998,13.6,2,0,0,11,27,4,69,6,3,0,0,0,67,0,16,0.0
FRA,"MF,FW",19,1999,2.0,0,0,0,2,4,0,16,2,6,0,0,0,12,1,6,14.3
SEN,MF,28,1989,16.4,6,0,0,36,35,5,1,9,12,1,0,0,95,16,17,48.5
SEN,DF,25,1993,21.2,3,0,0,32,29,3,53,26,32,0,0,0,156,18,30,37.5
COM,"MF,FW",19,1999,4.7,1,0,0,10,13,1,8,5,5,0,0,0,19,5,10,33.3
SEN,DF,24,1993,8.2,3,0,0,21,8,0,28,7,32,0,1,0,70,5,11,31.3
GHA,DF,23,1994,30.6,9,1,0,50,43,1,3,83,37,0,2,0,175,83,53,61.0
FRA,MF,22,1996,0.5,1,0,0,1,0,0,0,1,0,0,0,0,5,0,1,0.0
GUI,"MF,FW",26,1992,7.2,2,1,0,9,11,0,5,5,1,0,0,0,37,11,15,42.3
FRA,GK,24,1994,38.0,1,0,0,0,2,0,0,1,0,0,0,0,36,9,0,100.0
CHA,"FW,MF",25,1993,27.4,9,0,0,64,35,16,52,22,30,0,0,0,146,30,68,30.6
GLP,"FW,MF",30,1988,16.7,1,0,0,20,28,4,33,10,11,1,0,0,51,64,77,45.4
BEN,DF,29,1988,12.4,2,0,0,9,8,0,21,28,13,0,0,0,55,16,8,66.7
FRA,FW,23,1995,25.1,7,0,0,45,46,5,5,4,14,0,0,0,59,111,130,46.1
FRA,"MF,FW",19,1999,3.8,0,0,0,4,12,0,3,2,2,1,0,0,11,2,8,20.0
MAR,MF,29,1988,36.0,6,0,0,43,89,3,217,29,32,0,0,0,239,15,21,41.7
FRA,DF,23,1994,32.4,10,1,1,57,37,1,91,78,67,0,0,0,173,76,76,50.0
FRA,"MF,FW",19,1999,2.3,1,0,0,4,6,0,1,0,3,0,0,0,5,4,15,21.1
CIV,"MF,DF",25,1992,14.4,5,1,1,27,18,1,4,10,15,0,0,0,99,14,10,58.3
FRA,MF,20,1998,14.1,2,0,0,22,14,0,14,18,25,0,0,0,89,12,13,48.0
FRA,DF,25,1992,22.3,1,0,0,21,37,1,16,45,28,0,0,1,124,33,56,37.1
FRA,"FW,MF",29,1988,16.4,3,0,0,48,30,11,5,6,13,1,0,0,52,89,82,52.0
FRA,DF,30,1988,19.9,3,1,1,16,12,3,3,31,14,0,2,1,81,59,42,58.4
CGO,MF,29,1988,26.0,3,0,0,26,27,0,6,29,33,0,0,0,117,48,45,51.6
HAI,DF,30,1987,4.0,0,0,0,4,0,0,4,8,6,0,0,0,16,3,5,37.5
TUN,"MF,FW",23,1995,15.0,0,0,0,19,10,0,23,20,14,0,0,0,75,11,18,37.9
BEL,MF,26,1992,4.5,0,0,0,9,1,0,11,6,8,0,0,0,27,2,0,100.0
FIN,"MF,FW",19,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MAR,"FW,MF",26,1991,10.3,2,0,0,9,9,3,25,9,7,0,0,0,47,20,25,44.4
COM,DF,19,1998,8.2,3,0,0,12,2,0,6,16,9,0,2,0,35,13,16,44.8
FRA,DF,20,1998,20.6,5,1,1,19,15,1,71,21,21,0,1,0,87,26,27,49.1
CGO,"DF,FW",29,1988,0.7,0,0,0,1,1,0,0,3,1,0,0,0,7,1,0,100.0
FRA,"FW,MF",26,1992,16.0,3,0,0,34,22,7,11,12,12,0,0,0,71,62,80,43.7
FRA,GK,26,1991,13.0,1,0,0,1,6,0,0,0,0,0,1,0,14,9,3,75.0
CTA,DF,27,1990,31.2,4,0,0,32,33,1,2,52,31,0,0,0,150,62,76,44.9
FRA,MF,17,2000,9.4,4,1,1,13,19,0,3,11,14,0,0,0,45,7,8,46.7
FRA,MF,38,1980,12.0,3,0,0,21,20,0,40,6,16,0,0,0,89,1,7,12.5
MAR,DF,31,1986,20.5,2,0,0,14,18,1,47,25,31,0,0,0,112,16,22,42.1
FRA,"FW,MF",32,1986,6.0,3,1,1,14,5,1,23,8,5,0,0,0,30,0,12,0.0
FRA,MF,26,1991,20.0,4,0,0,20,14,0,20,40,28,0,0,0,123,20,29,40.8
GUI,"FW,MF",20,1998,5.1,3,0,0,12,8,4,1,2,4,0,0,0,16,2,8,20.0
CPV,FW,29,1988,31.2,4,0,0,44,42,14,14,13,9,0,0,0,59,231,225,50.7
KOR,"FW,MF",24,1994,10.4,1,0,0,8,12,4,44,8,4,0,0,0,53,16,22,42.1
BEL,DF,32,1985,8.0,3,0,0,11,5,0,0,7,6,0,0,0,45,17,14,54.8
