nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
ENG,"DF,MF",21,1994,1.9,2,0,0,2,1,0,0,2,4,0,0,0,,,,
SRB,MF,27,1988,29.9,4,0,0,33,26,2,8,55,40,0,0,0,,,,
NGA,"DF,MF",19,1996,0.3,0,0,0,0,1,0,0,0,0,0,0,0,,,,
BRA,"FW,MF",24,1991,5.1,1,0,0,5,5,0,15,5,16,0,0,0,,,,
ESP,"FW,MF",29,1987,23.8,6,0,0,32,40,8,72,21,36,1,0,0,,,,
ENG,MF,20,1996,0.4,0,0,0,2,0,0,0,0,0,0,0,0,,,,
BEL,GK,24,1992,36.0,1,0,0,0,2,0,0,0,0,0,1,0,,,,
NGA,"DF,FW",25,1990,27.6,4,0,0,28,32,3,119,41,42,0,0,0,,,,
BRA,"FW,MF",27,1988,17.0,3,0,0,12,23,2,106,7,12,0,0,0,,,,
ENG,"FW,MF",25,1991,28.0,4,0,0,19,35,3,236,44,64,1,0,0,,,,
MLI,"FW,MF",28,1988,1.6,0,0,0,2,5,1,16,0,6,0,0,0,,,,
BEL,FW,25,1990,34.8,10,0,0,81,51,37,1,7,6,3,0,0,,,,
ENG,"FW,MF",23,1993,4.6,1,0,0,12,5,1,6,2,2,0,0,0,,,,
IRL,DF,35,1981,22.4,8,0,0,25,14,1,5,43,22,0,1,0,,,,
ENG,FW,28,1987,1.8,0,0,0,2,3,0,2,1,1,0,0,0,,,,
SCO,MF,28,1987,22.2,5,0,0,41,27,4,27,26,45,0,0,0,,,,
ENG,"DF,MF",27,1989,21.9,4,0,0,11,11,0,4,38,19,0,0,0,,,,
ENG,MF,30,1986,34.3,9,0,0,61,37,1,149,40,61,0,0,0,,,,
GHA,"DF,FW",23,1992,11.1,0,0,0,4,9,0,12,26,21,1,0,0,,,,
WAL,MF,29,1987,12.9,1,0,0,9,10,0,7,28,16,0,0,0,,,,
ENG,"DF,MF",26,1989,38.0,7,0,0,36,53,0,79,64,67,0,0,0,,,,
BEL,FW,21,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENG,MF,24,1991,0.6,0,0,0,1,1,0,3,0,2,0,0,0,,,,
KOR,"FW,MF",28,1988,5.2,0,0,0,5,11,0,14,4,14,0,0,0,,,,
FRA,FW,29,1987,1.5,0,0,0,2,1,1,6,0,0,0,0,0,,,,
SRB,MF,25,1991,13.6,4,0,0,27,16,0,6,41,18,0,0,0,,,,
FRA,DF,26,1990,7.6,0,0,0,1,4,0,1,14,1,0,0,0,,,,
ENG,"DF,MF",26,1990,23.6,4,0,0,18,9,0,36,26,34,0,0,0,,,,
FRA,MF,32,1984,3.0,0,0,0,1,0,0,1,5,2,0,0,0,,,,
AUS,MF,31,1984,1.0,0,0,0,4,2,0,1,1,2,0,0,0,,,,
SEN,DF,26,1990,3.0,0,0,0,1,4,0,15,10,4,0,0,0,,,,
NED,DF,25,1990,7.9,1,0,0,3,2,0,22,14,5,0,0,0,,,,
ENG,DF,29,1987,19.4,2,0,0,13,13,0,3,32,11,0,1,0,,,,
FRA,GK,31,1985,9.0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
SLE,"FW,MF",20,1995,0.3,0,0,0,0,0,0,2,0,0,0,0,0,,,,
WAL,GK,29,1987,29.0,1,0,0,0,3,0,0,1,2,0,0,0,,,,
CIV,"FW,MF",23,1992,33.5,8,0,0,56,120,6,106,34,56,1,0,0,,,,
COD,"FW,MF",27,1989,0.3,1,0,0,1,0,0,2,0,0,0,0,0,,,,
FRA,MF,30,1986,23.6,7,0,0,31,21,2,109,72,39,0,0,0,,,,
ENG,DF,23,1992,2.1,0,0,0,4,2,0,9,2,1,0,0,0,,,,
ENG,"FW,MF",29,1987,5.7,0,0,0,2,3,0,11,5,12,0,0,0,,,,
NGA,"FW,MF",18,1997,3.2,0,0,0,4,7,2,1,2,4,0,0,0,,,,
CIV,FW,32,1983,0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,
WAL,DF,31,1984,35.1,7,1,0,37,14,3,2,57,43,1,1,0,,,,
CRC,"DF,MF",26,1990,5.3,3,0,0,8,2,1,6,6,14,0,0,0,,,,
ENG,"FW,MF",19,1997,3.9,1,0,0,4,7,1,0,3,4,0,0,0,,,,
ECU,"FW,MF",26,1989,8.0,1,0,0,17,14,4,21,8,13,1,0,0,,,,
ENG,MF,35,1981,23.4,10,0,0,47,25,2,20,39,49,0,0,0,,,,
ESP,"FW,MF",22,1994,5.1,1,0,0,2,3,10,37,4,5,0,0,0,,,,
SEN,MF,26,1989,29.8,11,0,0,51,53,0,13,77,103,1,0,0,,,,
IRL,MF,25,1990,6.8,2,0,0,10,9,0,4,11,12,0,0,0,,,,
ESP,GK,26,1990,19.3,2,0,0,0,4,0,0,0,1,0,1,0,,,,
ENG,"DF,FW",19,1997,0.1,0,0,0,1,0,0,4,0,0,0,0,0,,,,
BEL,"FW,MF",28,1987,23.0,2,0,0,26,25,4,137,8,14,0,0,0,,,,
ENG,DF,31,1984,31.3,4,0,0,35,31,0,114,42,49,0,0,0,,,,
NED,GK,33,1982,18.7,2,0,0,0,4,0,0,0,0,0,0,1,,,,
ENG,DF,19,1996,15.2,2,0,0,13,16,0,52,22,33,0,0,0,,,,
ENG,DF,21,1994,2.0,0,0,0,1,0,0,1,6,1,0,0,0,,,,
FRA,MF,26,1989,11.8,2,0,0,21,7,0,1,33,20,0,0,0,,,,
ENG,"DF,MF",33,1982,25.0,6,2,1,14,28,0,1,41,34,0,3,0,,,,
ARG,DF,25,1991,17.1,0,0,0,11,15,1,5,33,17,0,0,0,,,,
BEL,FW,23,1993,36.3,3,0,0,32,34,36,46,0,9,0,0,0,,,,
ENG,MF,22,1993,32.2,5,0,0,49,38,8,114,13,26,0,0,0,,,,
IRL,"DF,MF",27,1988,25.7,3,0,0,18,26,4,89,28,45,0,0,0,,,,
ENG,MF,26,1989,4.5,1,0,0,7,2,0,3,11,10,0,0,0,,,,
ENG,MF,18,1998,17.2,4,0,0,25,37,4,11,20,26,0,0,0,,,,
COD,"FW,MF",27,1989,11.4,2,0,0,22,15,3,82,3,13,0,0,0,,,,
URU,FW,25,1990,15.8,0,0,0,18,11,11,1,4,6,0,0,0,,,,
NOR,FW,26,1990,13.0,1,0,0,20,16,10,4,8,22,0,0,0,,,,
EGY,"DF,MF",28,1987,28.0,3,1,0,22,15,1,124,51,36,0,1,1,,,,
SEN,"DF,MF",26,1990,14.1,7,0,0,36,9,2,7,20,35,0,1,0,,,,
ITA,DF,28,1988,14.8,2,0,0,12,17,0,2,27,22,0,0,0,,,,
SCO,"DF,MF",22,1994,30.4,5,0,0,18,10,1,120,56,36,0,2,0,,,,
SLE,DF,31,1985,23.7,4,0,0,12,22,0,5,92,25,0,1,1,,,,
SCO,GK,31,1985,16.0,0,0,0,0,1,0,0,0,0,0,0,1,,,,
IRL,MF,27,1989,10.7,2,0,0,9,17,1,15,20,20,0,0,0,,,,
COD,FW,30,1985,8.5,0,0,0,14,23,12,3,1,3,1,0,0,,,,
SUI,GK,31,1984,22.0,0,0,0,0,2,0,0,1,0,0,0,0,,,,
BRA,MF,29,1986,6.4,1,0,0,14,20,0,18,3,14,0,0,0,,,,
ENG,DF,23,1993,25.6,5,0,0,24,34,3,15,67,39,0,1,0,,,,
ENG,MF,26,1989,18.6,3,1,0,17,13,1,5,30,35,0,1,0,,,,
ENG,"FW,MF",19,1996,2.0,0,0,0,3,8,0,0,1,1,0,0,0,,,,
ENG,"DF,MF",17,1999,3.6,1,0,0,4,2,0,7,6,6,0,0,0,,,,
POL,"FW,MF",28,1988,12.7,1,0,0,12,6,6,108,13,4,0,0,0,,,,
SRB,"FW,MF",22,1994,11.2,4,0,0,17,19,2,18,14,12,0,0,0,,,,
NOR,"DF,MF",24,1992,7.1,1,0,0,15,12,1,12,5,9,0,1,0,,,,
ENG,DF,32,1983,19.1,4,0,0,13,6,1,0,29,12,0,1,1,,,,
NOR,"DF,MF",24,1991,6.8,0,0,0,2,3,0,15,10,4,0,0,0,,,,
SEN,"FW,MF",26,1990,12.2,3,1,0,16,18,10,14,2,10,0,0,0,,,,
SCO,"FW,MF",28,1987,19.0,2,0,0,33,38,5,137,11,22,1,2,0,,,,
ENG,MF,25,1991,10.3,4,0,0,10,16,0,25,14,10,0,0,0,,,,
ENG,MF,25,1990,35.4,9,1,0,22,27,1,64,52,60,0,1,0,,,,
SCO,"FW,MF",33,1983,3.1,0,0,0,3,7,0,12,1,6,0,0,0,,,,
ENG,MF,29,1986,22.5,5,1,0,33,16,1,14,48,25,0,2,1,,,,
IRL,"FW,MF",23,1993,3.1,0,0,0,4,2,2,3,1,0,0,0,0,,,,
NGA,"FW,MF",23,1992,8.5,1,0,0,13,13,1,26,11,12,0,0,0,,,,
WAL,MF,27,1988,16.1,4,0,0,18,17,1,14,26,29,0,0,0,,,,
ENG,"DF,MF",19,1996,7.8,2,0,0,7,15,1,18,27,15,0,0,0,,,,
AUT,"DF,MF",30,1986,34.5,10,0,0,29,10,1,96,68,76,0,0,0,,,,
GHA,"DF,MF",21,1994,18.6,3,0,0,28,9,0,3,27,29,0,0,0,,,,
ENG,MF,26,1990,27.4,6,0,0,46,10,1,28,42,58,0,0,0,,,,
ENG,DF,29,1987,33.2,12,0,0,35,12,2,26,69,41,0,1,0,,,,
JAM,"FW,MF",20,1996,11.7,2,0,0,12,14,2,82,11,14,1,0,0,,,,
ALG,FW,28,1988,14.2,1,0,0,27,15,11,3,3,10,0,0,0,,,,
ENG,FW,29,1987,31.1,2,1,0,26,27,25,49,10,14,1,0,0,,,,
GHA,"DF,FW",23,1992,1.6,0,0,0,0,2,0,4,0,5,0,0,0,,,,
DEN,GK,29,1986,29.6,1,0,0,0,4,0,1,1,2,0,0,0,,,,
ARG,FW,30,1986,5.0,0,0,0,20,5,4,1,2,8,0,0,0,,,,
ESP,DF,27,1989,3.6,1,0,0,5,1,0,10,9,5,0,0,0,,,,
ENG,"DF,FW",26,1989,26.8,5,0,0,21,20,2,212,38,45,0,0,0,,,,
POL,DF,36,1980,1.0,0,0,0,0,0,0,0,2,1,0,0,0,,,,
ENG,MF,25,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SEN,MF,24,1992,3.0,1,0,0,4,8,0,1,6,1,0,0,0,,,,
ALG,"FW,MF",25,1991,31.4,4,0,0,23,66,8,153,28,24,1,0,0,,,,
GER,DF,31,1984,32.5,9,0,0,45,18,0,0,44,24,0,1,2,,,,
GER,GK,27,1989,8.4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
JPN,"FW,MF",30,1986,17.4,1,0,0,27,44,4,4,14,26,1,0,0,,,,
JAM,DF,32,1984,27.0,3,0,0,20,9,1,1,56,15,1,1,0,,,,
NGA,"DF,MF",19,1996,16.9,0,0,0,26,10,1,3,38,39,0,0,0,,,,
TUN,DF,29,1987,10.2,4,0,0,15,3,0,0,27,15,0,1,0,,,,
ENG,"FW,MF",28,1988,26.0,3,0,0,17,30,12,48,20,35,0,0,0,,,,
ESP,"DF,MF",24,1992,3.4,1,0,0,2,6,0,13,2,6,0,1,0,,,,
WAL,"FW,MF",16,1999,1.0,0,0,0,2,1,0,5,0,3,0,0,0,,,,
ENG,"FW,MF",26,1989,8.6,1,0,0,5,9,7,8,3,1,1,0,0,,,,
CRO,DF,27,1989,28.4,6,0,0,25,20,1,7,47,32,0,0,0,,,,
BEL,"FW,MF",21,1995,16.3,0,0,0,22,32,13,31,2,11,0,0,0,,,,
GER,"DF,MF",22,1994,26.3,6,0,0,70,30,2,23,32,54,0,0,0,,,,
NED,"FW,MF",25,1990,33.0,2,0,0,21,31,3,14,25,36,0,0,0,,,,
ENG,"DF,MF",30,1986,35.0,5,0,0,38,24,2,260,44,64,0,1,0,,,,
ENG,MF,26,1990,23.5,8,0,0,28,17,0,65,47,64,0,0,0,,,,
CMR,"DF,MF",24,1991,27.3,3,0,0,14,11,0,5,49,37,0,1,0,,,,
JAM,"DF,MF",22,1993,0.2,0,0,0,1,0,0,0,0,0,0,0,0,,,,
GER,GK,23,1993,10.0,0,0,0,0,1,0,0,1,0,0,0,0,,,,
BRA,MF,29,1987,12.4,4,0,0,18,12,0,5,36,26,0,0,0,,,,
SRB,MF,20,1996,0.5,1,0,0,2,2,0,0,0,0,0,0,0,,,,
ENG,DF,25,1991,36.9,0,0,0,15,20,1,95,46,66,0,0,0,,,,
ENG,"FW,MF",18,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
BRA,"FW,MF",24,1992,24.7,2,0,0,18,36,5,126,18,25,0,0,0,,,,
EST,DF,30,1985,15.7,3,0,0,15,8,0,3,14,17,0,1,0,,,,
BRA,"FW,MF",24,1991,34.0,5,0,0,50,31,19,60,25,42,3,0,0,,,,
SEN,"FW,MF",24,1992,24.8,4,0,0,32,55,13,41,11,18,1,1,0,,,,
BEL,GK,28,1988,28.0,0,0,0,0,5,0,0,1,1,0,0,0,,,,
ENG,DF,17,1998,1.9,0,0,0,1,2,0,6,2,2,0,0,0,,,,
ESP,MF,19,1997,0.9,0,0,0,0,4,0,1,4,2,0,0,0,,,,
SRB,DF,30,1985,28.2,6,0,0,34,39,0,27,47,35,0,0,1,,,,
FRA,DF,33,1983,15.0,2,0,0,3,8,1,26,23,16,0,0,0,,,,
CHI,GK,33,1983,21.9,0,0,0,0,3,0,0,0,0,0,0,0,,,,
ESP,"FW,MF",30,1986,30.7,6,0,0,29,54,7,126,20,32,1,0,0,,,,
ENG,"DF,MF",26,1989,2.5,1,0,0,6,5,0,1,7,4,0,0,0,,,,
BRA,"DF,MF",31,1985,30.6,4,2,0,48,36,2,24,65,55,0,2,0,,,,
BRA,"DF,MF",29,1987,6.3,3,0,0,11,7,0,1,14,14,0,0,0,,,,
BRA,"FW,MF",19,1997,7.2,2,0,0,11,17,9,2,3,7,0,0,0,,,,
FRA,DF,31,1985,23.6,2,0,0,12,8,1,26,53,34,0,2,0,,,,
ESP,"DF,FW",30,1985,11.8,2,0,0,7,11,3,92,21,18,0,0,0,,,,
ENG,DF,22,1994,22.4,1,0,0,9,9,0,0,42,22,0,0,0,,,,
NGA,"FW,MF",19,1996,6.0,0,0,0,7,2,6,4,0,5,0,0,0,,,,
BEL,"FW,MF",25,1991,32.0,4,0,0,37,40,3,276,24,35,1,0,0,,,,
GER,"FW,MF",20,1996,19.8,4,0,0,14,17,12,53,17,22,2,0,0,,,,
ARG,DF,28,1988,28.8,9,0,0,30,26,2,4,83,50,1,0,0,,,,
ESP,"FW,MF",29,1986,8.6,3,1,0,17,9,4,16,6,11,0,0,0,,,,
ARG,"DF,MF",31,1985,11.8,2,0,0,14,15,5,15,27,28,0,0,0,,,,
ENG,"FW,MF",21,1994,27.9,7,0,0,35,55,15,85,20,20,3,1,0,,,,
FRA,"FW,MF",29,1987,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ARG,FW,28,1988,26.7,4,1,0,23,34,23,18,4,14,1,0,0,,,,
BEL,DF,30,1986,9.1,5,0,0,19,6,0,1,19,11,0,0,0,,,,
ARG,GK,34,1981,16.1,0,0,0,0,2,0,0,0,1,0,0,0,,,,
CIV,MF,33,1983,21.6,4,0,0,27,10,0,5,19,31,0,0,0,,,,
GER,MF,25,1990,7.8,0,0,0,2,10,0,7,9,9,0,0,0,,,,
ESP,MF,26,1989,27.4,7,1,1,48,45,0,50,86,63,0,0,0,,,,
ENG,"FW,MF",15,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
FRA,"FW,MF",20,1995,17.3,2,0,0,26,28,6,57,9,16,0,0,0,,,,
ECU,"DF,MF",30,1985,27.6,5,0,0,33,17,7,142,43,44,0,0,0,,,,
ENG,"DF,FW",31,1985,8.4,2,0,0,9,15,1,38,15,16,0,0,0,,,,
COD,DF,18,1997,3.4,0,0,0,6,4,0,0,7,4,0,0,0,,,,
ENG,DF,26,1989,13.5,0,0,0,8,8,1,0,13,10,0,0,0,,,,
NED,"DF,MF",26,1990,20.3,2,0,0,14,15,0,87,44,34,0,0,0,,,,
ESP,GK,25,1990,35.0,2,0,0,0,2,0,0,0,0,0,0,0,,,,
ENG,"DF,MF",19,1997,1.0,0,0,0,2,2,0,2,3,4,0,0,0,,,,
CIV,DF,22,1994,22.9,4,0,0,28,26,0,2,66,43,0,1,0,,,,
ARM,"FW,MF",27,1989,15.0,1,0,0,19,26,8,48,22,18,0,0,0,,,,
ENG,"FW,MF",23,1992,15.1,3,0,0,26,19,5,26,15,16,0,0,0,,,,
POR,GK,20,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENG,MF,20,1995,1.0,0,0,0,4,1,0,4,0,3,0,0,0,,,,
ESP,"FW,MF",28,1988,17.9,3,0,0,9,16,9,93,13,18,0,0,1,,,,
ENG,"DF,MF",21,1995,7.6,1,0,0,7,6,0,20,14,7,1,0,0,,,,
ARG,DF,26,1990,18.5,5,0,0,23,10,0,10,35,22,0,0,0,,,,
ENG,"FW,MF",18,1997,19.0,3,0,0,16,33,12,84,14,14,1,0,0,,,,
BEL,MF,28,1987,17.8,9,1,0,41,20,3,4,30,41,0,2,0,,,,
ITA,"DF,MF",26,1989,14.8,3,0,0,19,15,1,19,38,28,0,0,0,,,,
NED,"FW,MF",22,1994,0.3,1,0,0,1,0,1,4,0,1,0,0,0,,,,
ENG,MF,35,1981,17.8,2,0,0,5,19,0,5,44,18,0,0,0,,,,
FRA,MF,26,1989,0.2,0,0,0,0,1,0,0,1,0,0,0,0,,,,
FRA,MF,23,1993,29.0,7,0,0,63,71,3,39,37,40,0,1,0,,,,
ENG,"DF,MF",24,1992,17.6,2,0,0,9,11,0,1,27,25,0,1,0,,,,
SCO,MF,19,1996,1.1,1,0,0,2,2,0,1,2,1,0,0,0,,,,
ARG,GK,29,1987,2.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
NED,DF,18,1998,1.1,0,0,0,3,0,0,0,2,4,0,0,0,,,,
