players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
30,34,22946,21398,1488,347,83,119,655,620,228,78,102,2,19987,60,363,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
25,34,14203,12336,1784,454,42,50,649,813,154,58,77,1,9786,83,325,/en/squads/b42c6323/2023-2024/Bochum-Stats
32,34,15336,13685,1594,408,19,103,514,641,115,42,62,1,11807,57,311,/en/squads/6a6967fc/2023-2024/Darmstadt-98-Stats
32,34,20445,18810,1591,467,52,151,522,602,176,79,77,2,17191,44,344,/en/squads/add600ae/2023-2024/Dortmund-Stats
34,34,18809,17091,1667,407,54,57,557,739,161,61,85,0,15017,51,368,/en/squads/f0ac8ee6/2023-2024/Eintracht-Frankfurt-Stats
25,34,16023,14477,1494,406,34,68,593,582,128,76,39,0,12337,52,327,/en/squads/a486e511/2023-2024/Freiburg-Stats
27,34,16946,15325,1568,414,45,67,574,615,174,62,87,1,13544,53,330,/en/squads/32f3ee20/2023-2024/Monchengladbach-Stats
22,34,14339,12534,1767,381,22,112,663,798,183,90,75,0,10264,38,427,/en/squads/18d9d2a7/2023-2024/Heidenheim-Stats
30,34,17038,15411,1575,414,62,74,603,617,149,59,56,2,13457,52,328,/en/squads/033ea6b8/2023-2024/Hoffenheim-Stats
26,34,15411,13628,1730,396,19,69,779,792,188,81,77,0,11704,53,427,/en/squads/bc357bf7/2023-2024/Koln-Stats
24,34,24301,22816,1412,357,84,109,586,578,236,113,42,2,21192,73,356,/en/squads/c7a9f859/2023-2024/Bayer-Leverkusen-Stats
30,34,15120,13376,1685,446,29,74,633,770,180,69,85,1,10974,59,346,/en/squads/a224b06a/2023-2024/Mainz-05-Stats
26,34,19590,17935,1588,423,86,93,608,657,200,72,78,4,16254,67,344,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
27,34,22456,20912,1494,434,88,90,537,608,166,76,34,0,19201,50,350,/en/squads/598bc722/2023-2024/Stuttgart-Stats
30,34,14784,13097,1626,385,28,64,662,725,157,58,79,2,11004,61,327,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
30,34,16418,14834,1514,455,50,97,543,554,120,44,57,0,12821,70,312,/en/squads/62add3bf/2023-2024/Werder-Bremen-Stats
28,34,16624,14924,1659,493,31,77,593,670,148,98,37,2,13092,41,330,/en/squads/4eaa11d7/2023-2024/Wolfsburg-Stats
29,38,19961,18129,1769,439,42,124,710,772,210,103,67,1,16051,63,382,/en/squads/922493f3/2023-2024/Atalanta-Stats
28,38,22504,20652,1797,523,32,137,510,755,165,100,51,1,19125,55,414,/en/squads/1d8099f8/2023-2024/Bologna-Stats
29,38,14709,12744,1901,505,34,134,852,804,175,46,111,2,10731,64,308,/en/squads/c4260e09/2023-2024/Cagliari-Stats
34,38,15348,13346,1920,550,36,53,672,795,176,52,92,0,11571,82,331,/en/squads/a3d88bd8/2023-2024/Empoli-Stats
30,38,19975,18072,1846,542,50,146,748,813,199,45,104,1,16180,57,360,/en/squads/421387cf/2023-2024/Fiorentina-Stats
34,38,17545,15536,1961,525,50,55,524,800,213,69,63,3,13740,48,352,/en/squads/6a7ad59d/2023-2024/Frosinone-Stats
34,38,15765,13987,1731,487,21,72,610,695,142,50,73,3,12053,47,309,/en/squads/658bf2de/2023-2024/Genoa-Stats
36,38,14710,12799,1850,538,24,153,724,761,143,37,86,0,10639,61,318,/en/squads/0e72edf2/2023-2024/Hellas-Verona-Stats
27,38,22447,20739,1631,439,61,165,804,655,228,96,94,0,19136,77,351,/en/squads/d609edc0/2023-2024/Internazionale-Stats
31,38,18079,16332,1675,397,35,156,708,695,193,53,106,0,14757,72,320,/en/squads/e0652b02/2023-2024/Juventus-Stats
22,38,21071,19202,1797,474,53,85,624,748,197,68,93,0,17462,72,367,/en/squads/7213da33/2023-2024/Lazio-Stats
26,38,15397,13439,1902,527,27,96,650,771,172,73,57,0,11742,56,282,/en/squads/ffcbe334/2023-2024/Lecce-Stats
35,38,20741,19060,1624,455,49,94,660,617,192,66,77,0,17656,57,296,/en/squads/dc56fe14/2023-2024/Milan-Stats
31,38,19870,18182,1648,458,21,125,584,612,170,29,107,0,16734,40,322,/en/squads/21680aa4/2023-2024/Monza-Stats
29,38,22942,20996,1875,519,44,232,737,805,240,81,104,3,19517,71,312,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
30,38,20523,18783,1674,471,40,106,654,663,167,82,71,0,17066,66,321,/en/squads/cf74a709/2023-2024/Roma-Stats
39,38,15920,13953,1906,559,27,119,596,737,148,26,66,0,12124,61,351,/en/squads/c5577084/2023-2024/Salernitana-Stats
30,38,15683,13729,1928,508,25,118,661,758,202,108,49,1,11978,26,290,/en/squads/e2befd26/2023-2024/Sassuolo-Stats
30,38,18229,16507,1659,451,14,87,761,685,176,144,24,1,14578,63,300,/en/squads/105360fe/2023-2024/Torino-Stats
32,38,13300,11562,1681,464,24,120,556,669,157,58,74,1,9976,57,270,/en/squads/04eea015/2023-2024/Udinese-Stats
