Jogadores Utilizados,Idade Média,Posse (%),Partidas,Titularidades,Minutos Jogados,Jogos (90min),Gols,Assistências,Gols+Assistências,Gols sem Pênalti,Pênaltis Convertidos,Pênaltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols/90min,Assist/90min,G+A/90min,Gols SP/90min,G+A SP/90min,URL
30,26.8,50.5,38,418,3420,38,43,30,73,39,4,6,68,0,1.13,0.79,1.92,1.03,1.82,/en/squads/d2c87802/2016-2017/Lorient-Stats
27,25.0,59.1,38,418,3420,38,74,44,118,62,12,14,65,2,1.95,1.16,3.11,1.63,2.79,/en/squads/d53c0b06/2016-2017/Lyon-Stats
27,27.4,55.9,38,418,3420,38,56,37,93,52,4,4,71,1,1.47,0.97,2.45,1.37,2.34,/en/squads/5725cc7b/2016-2017/Marseille-Stats
31,26.5,42.4,38,418,3420,38,37,22,59,29,8,9,75,,0.97,0.58,1.55,0.76,1.34,/en/squads/f83960ae/2016-2017/Metz-Stats
29,25.0,51.9,38,418,3420,38,103,62,165,92,11,11,53,1,2.71,1.63,4.34,2.42,4.05,/en/squads/fd6114db/2016-2017/Monaco-Stats
32,26.8,49.4,38,418,3420,38,48,30,78,45,3,3,48,2,1.26,0.79,2.05,1.18,1.97,/en/squads/281b0e73/2016-2017/Montpellier-Stats
27,27.2,43.1,38,418,3420,38,29,22,51,28,1,3,78,1,0.76,0.58,1.34,0.74,1.32,/en/squads/e88fc6e5/2016-2017/Nancy-Stats
27,24.8,48.4,38,418,3420,38,40,31,71,38,2,4,78,1,1.05,0.82,1.87,1.0,1.82,/en/squads/d7a486cd/2016-2017/Nantes-Stats
27,24.3,58.9,38,418,3420,38,63,45,108,57,6,8,60,1,1.66,1.18,2.84,1.5,2.68,/en/squads/132ebc33/2016-2017/Nice-Stats
28,26.4,65.3,38,418,3420,38,79,54,133,70,9,10,54,1,2.08,1.42,3.5,1.84,3.26,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats
31,26.3,52.0,38,418,3420,38,35,25,60,33,2,3,59,,0.92,0.66,1.58,0.87,1.53,/en/squads/b3072e00/2016-2017/Rennes-Stats
34,26.1,49.8,38,418,3420,38,40,26,66,35,5,6,58,,1.05,0.68,1.74,0.92,1.61,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats
30,23.3,45.4,38,418,3420,38,37,22,59,31,6,9,90,,0.97,0.58,1.55,0.82,1.39,/en/squads/3f8c4b5f/2016-2017/Toulouse-Stats
28,27.1,41.9,34,374,3060,34,35,22,57,32,3,4,71,2,1.03,0.65,1.68,0.94,1.59,/en/squads/0cdc4311/2016-2017/Augsburg-Stats
22,28.0,69.0,34,374,3060,34,88,64,152,83,5,5,47,0,2.59,1.88,4.47,2.44,4.32,/en/squads/054efa67/2016-2017/Bayern-Munich-Stats
