Jogadores Utilizados,Idade Média,Posse (%),Partidas,Titularidades,Minutos Jogados,Jogos (90min),Gols,Assistências,Gols+Assistências,Gols sem Pênalti,Pênaltis Convertidos,Pênaltis Tentados,Cartões Amarelos,Cartões Vermelhos,xG,xG (sem pênalti),xAG,npxG+xAG,Conduções Progressivas,Passes Progressivos,Gols/90min,Assist/90min,G+A/90min,Gols SP/90min,G+A SP/90min,xG/90min,xAG/90min,xG+xAG/90min,npxG/90min,npxG+xAG/90min,URL
28,25.3,55.9,38,418,3420,38,81,61,142,77,4,4,56,2,62.8,59.6,47.1,106.7,676,1737,2.13,1.61,3.74,2.03,3.63,1.65,1.24,2.89,1.57,2.81,/en/squads/b3072e00/2021-2022/Rennes-Stats
39,25.1,48.5,38,418,3420,38,41,25,66,36,5,5,81,5,38.3,34.5,26.2,60.7,685,1400,1.08,0.66,1.74,0.95,1.61,1.01,0.69,1.7,0.91,1.6,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats
26,27.0,49.5,38,418,3420,38,56,40,96,50,6,8,72,3,55.6,49.4,39.6,89.0,573,1589,1.47,1.05,2.53,1.32,2.37,1.46,1.04,2.51,1.3,2.34,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats
35,27.1,44.4,38,418,3420,38,35,23,58,29,6,7,75,6,39.2,33.8,27.0,60.8,598,1216,0.92,0.61,1.53,0.76,1.37,1.03,0.71,1.74,0.89,1.6,/en/squads/54195385/2021-2022/Troyes-Stats
26,25.8,40.7,34,374,3060,34,26,18,44,24,2,2,55,2,26.3,24.7,17.2,41.9,405,887,0.76,0.53,1.29,0.71,1.24,0.77,0.51,1.28,0.73,1.23,/en/squads/247c4b67/2021-2022/Arminia-Stats
26,26.6,41.5,34,374,3060,34,39,26,65,34,5,5,74,0,36.7,32.8,23.9,56.7,441,895,1.15,0.76,1.91,1.0,1.76,1.08,0.7,1.78,0.96,1.67,/en/squads/0cdc4311/2021-2022/Augsburg-Stats
30,26.8,64.5,34,374,3060,34,92,70,162,87,5,5,36,2,89.0,85.1,66.7,151.8,833,2164,2.71,2.06,4.76,2.56,4.62,2.62,1.96,4.58,2.5,4.46,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats
28,28.0,44.7,34,374,3060,34,37,22,59,33,4,6,55,2,40.6,35.9,26.7,62.6,467,926,1.09,0.65,1.74,0.97,1.62,1.19,0.78,1.98,1.06,1.84,/en/squads/b42c6323/2021-2022/Bochum-Stats
33,25.9,59.2,34,374,3060,34,81,57,138,70,11,11,63,1,64.0,55.9,45.0,100.8,670,1468,2.38,1.68,4.06,2.06,3.74,1.88,1.32,3.21,1.64,2.97,/en/squads/add600ae/2021-2022/Dortmund-Stats
27,26.2,49.6,34,374,3060,34,43,33,76,42,1,2,61,1,41.6,40.1,32.0,72.1,609,1255,1.26,0.97,2.24,1.24,2.21,1.22,0.94,2.16,1.18,2.12,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats
26,26.5,49.0,34,374,3060,34,55,37,92,50,5,6,34,0,50.4,45.7,34.5,80.2,401,1229,1.62,1.09,2.71,1.47,2.56,1.48,1.01,2.5,1.35,2.36,/en/squads/a486e511/2021-2022/Freiburg-Stats
26,26.0,54.0,34,374,3060,34,54,38,92,49,5,7,67,1,56.2,50.6,37.8,88.4,527,1291,1.59,1.12,2.71,1.44,2.56,1.65,1.11,2.76,1.49,2.6,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats
29,25.9,43.6,34,374,3060,34,26,15,41,21,5,5,61,0,30.0,26.2,18.8,44.9,413,976,0.76,0.44,1.21,0.62,1.06,0.88,0.55,1.43,0.77,1.32,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats
36,26.7,43.7,34,374,3060,34,35,23,58,32,3,3,62,2,33.3,30.9,25.0,55.9,462,975,1.03,0.68,1.71,0.94,1.62,0.98,0.73,1.71,0.91,1.64,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats
32,26.1,53.2,34,374,3060,34,55,42,97,55,0,0,75,0,58.3,58.3,46.8,105.1,588,1474,1.62,1.24,2.85,1.62,2.85,1.71,1.38,3.09,1.71,3.09,/en/squads/033ea6b8/2021-2022/Hoffenheim-Stats
26,27.0,54.8,34,374,3060,34,52,40,92,51,1,1,68,1,50.1,49.3,38.6,87.9,550,1406,1.53,1.18,2.71,1.5,2.68,1.47,1.14,2.61,1.45,2.59,/en/squads/bc357bf7/2021-2022/Koln-Stats
29,24.4,53.7,34,374,3060,34,76,58,134,74,2,6,66,2,62.6,57.8,46.2,104.0,709,1341,2.24,1.71,3.94,2.18,3.88,1.84,1.36,3.2,1.7,3.06,/en/squads/c7a9f859/2021-2022/Bayer-Leverkusen-Stats
28,26.2,46.5,34,374,3060,34,49,36,85,45,4,4,62,4,50.4,47.2,36.4,83.6,444,1178,1.44,1.06,2.5,1.32,2.38,1.48,1.07,2.55,1.39,2.46,/en/squads/a224b06a/2021-2022/Mainz-05-Stats
29,25.3,56.1,34,374,3060,34,72,53,125,64,8,9,49,0,64.5,58.4,49.2,107.6,542,1467,2.12,1.56,3.68,1.88,3.44,1.9,1.45,3.34,1.72,3.16,/en/squads/acbb6a5b/2021-2022/RB-Leipzig-Stats
34,24.0,50.7,34,374,3060,34,40,31,71,39,1,3,64,2,43.7,41.4,33.1,74.5,571,1269,1.18,0.91,2.09,1.15,2.06,1.29,0.97,2.26,1.22,2.19,/en/squads/598bc722/2021-2022/Stuttgart-Stats
28,28.3,43.7,34,374,3060,34,50,33,83,45,5,5,62,1,47.0,43.3,31.5,74.8,429,1123,1.47,0.97,2.44,1.32,2.29,1.38,0.93,2.31,1.27,2.2,/en/squads/7a41008f/2021-2022/Union-Berlin-Stats
30,26.0,50.5,34,374,3060,34,42,25,67,39,3,4,61,3,47.7,44.9,33.8,78.7,502,1220,1.24,0.74,1.97,1.15,1.88,1.4,1.0,2.4,1.32,2.31,/en/squads/4eaa11d7/2021-2022/Wolfsburg-Stats
32,27.5,55.0,38,418,3420,38,62,48,110,57,5,6,87,2,62.4,58.1,48.5,106.6,796,1858,1.63,1.26,2.89,1.5,2.76,1.64,1.28,2.92,1.53,2.81,/en/squads/922493f3/2021-2022/Atalanta-Stats
36,26.6,50.6,38,418,3420,38,43,34,77,39,4,5,92,7,44.9,41.0,33.6,74.6,540,1276,1.13,0.89,2.03,1.03,1.92,1.18,0.88,2.06,1.08,1.96,/en/squads/1d8099f8/2021-2022/Bologna-Stats
33,26.5,44.5,38,418,3420,38,34,26,60,31,3,4,96,5,39.0,36.4,29.6,66.0,474,1088,0.89,0.68,1.58,0.82,1.5,1.03,0.78,1.81,0.96,1.74,/en/squads/c4260e09/2021-2022/Cagliari-Stats
28,24.5,47.4,38,418,3420,38,47,27,74,40,7,7,87,5,44.9,39.3,28.9,68.3,658,1477,1.24,0.71,1.95,1.05,1.76,1.18,0.76,1.94,1.04,1.8,/en/squads/a3d88bd8/2021-2022/Empoli-Stats
28,26.4,57.7,38,418,3420,38,59,33,92,50,9,12,89,8,60.0,50.8,39.2,90.1,755,1584,1.55,0.87,2.42,1.32,2.18,1.58,1.03,2.61,1.34,2.37,/en/squads/421387cf/2021-2022/Fiorentina-Stats
40,27.0,43.9,38,418,3420,38,26,19,45,20,6,7,92,3,37.2,31.8,26.3,58.1,517,1101,0.68,0.5,1.18,0.53,1.03,0.98,0.69,1.67,0.84,1.53,/en/squads/658bf2de/2021-2022/Genoa-Stats
31,26.8,50.6,38,418,3420,38,63,44,107,56,7,8,100,7,50.4,44.2,34.1,78.4,677,1587,1.66,1.16,2.82,1.47,2.63,1.33,0.9,2.23,1.16,2.06,/en/squads/0e72edf2/2021-2022/Hellas-Verona-Stats
27,28.9,56.5,38,418,3420,38,83,57,140,76,7,11,71,0,81.6,73.6,57.3,130.9,782,1778,2.18,1.5,3.68,2.0,3.5,2.15,1.51,3.66,1.94,3.45,/en/squads/d609edc0/2021-2022/Internazionale-Stats
32,27.4,51.5,38,418,3420,38,56,37,93,51,5,6,77,2,51.4,46.7,36.3,83.0,701,1464,1.47,0.97,2.45,1.34,2.32,1.35,0.96,2.31,1.23,2.18,/en/squads/e0652b02/2021-2022/Juventus-Stats
27,29.0,55.4,38,418,3420,38,74,48,122,67,7,9,88,5,55.3,48.2,38.8,87.0,788,1527,1.95,1.26,3.21,1.76,3.03,1.46,1.02,2.48,1.27,2.29,/en/squads/7213da33/2021-2022/Lazio-Stats
28,25.6,54.0,38,418,3420,38,66,39,105,61,5,8,76,3,59.7,54.1,42.8,96.9,806,1486,1.74,1.03,2.76,1.61,2.63,1.57,1.13,2.7,1.42,2.55,/en/squads/dc56fe14/2021-2022/Milan-Stats
27,27.9,58.3,38,418,3420,38,74,46,120,64,10,14,63,2,57.8,46.6,37.1,83.7,827,1665,1.95,1.21,3.16,1.68,2.89,1.52,0.98,2.5,1.23,2.2,/en/squads/d48ad4ff/2021-2022/Napoli-Stats
29,26.4,51.4,38,418,3420,38,58,31,89,51,7,9,111,8,65.1,58.1,46.3,104.4,733,1587,1.53,0.82,2.34,1.34,2.16,1.71,1.22,2.93,1.53,2.75,/en/squads/cf74a709/2021-2022/Roma-Stats
42,27.7,41.2,38,418,3420,38,32,19,51,28,4,5,94,5,36.5,32.9,24.8,57.7,528,1031,0.84,0.5,1.34,0.74,1.24,0.96,0.65,1.61,0.87,1.52,/en/squads/c5577084/2021-2022/Salernitana-Stats
34,29.0,46.1,38,418,3420,38,42,29,71,40,2,4,94,4,36.7,33.4,26.2,59.6,467,1187,1.11,0.76,1.87,1.05,1.82,0.97,0.69,1.66,0.88,1.57,/en/squads/8ff9e3b3/2021-2022/Sampdoria-Stats
29,26.1,54.9,38,418,3420,38,60,39,99,53,7,7,92,4,55.7,50.2,39.0,89.2,815,1507,1.58,1.03,2.61,1.39,2.42,1.46,1.03,2.49,1.32,2.35,/en/squads/e2befd26/2021-2022/Sassuolo-Stats
30,24.4,42.7,38,418,3420,38,38,25,63,35,3,5,88,4,40.1,36.2,27.9,64.1,511,999,1.0,0.66,1.66,0.92,1.58,1.05,0.73,1.79,0.95,1.69,/en/squads/68449f6d/2021-2022/Spezia-Stats
31,25.2,53.3,38,418,3420,38,43,27,70,37,6,6,89,3,48.7,44.1,36.3,80.4,628,1320,1.13,0.71,1.84,0.97,1.68,1.28,0.96,2.24,1.16,2.12,/en/squads/105360fe/2021-2022/Torino-Stats
29,26.2,42.7,38,418,3420,38,58,36,94,55,3,4,95,6,51.3,48.2,36.6,84.8,669,1226,1.53,0.95,2.47,1.45,2.39,1.35,0.96,2.31,1.27,2.23,/en/squads/04eea015/2021-2022/Udinese-Stats
39,26.1,42.3,38,418,3420,38,34,23,57,31,3,5,110,9,36.5,32.4,26.4,58.8,540,1088,0.89,0.61,1.5,0.82,1.42,0.96,0.69,1.66,0.85,1.55,/en/squads/af5d5982/2021-2022/Venezia-Stats
