players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
33,63.1,38,29991,2001,7025,15634,7568,1066,29978,847,489,57.7,358,42.3,18932,96108,52004,909,784,235,577,348,22801,2063,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
29,44.9,38,21328,2485,8192,9133,4259,579,21322,669,371,55.5,298,44.5,12006,68417,36558,698,463,148,610,277,13431,1240,/en/squads/7fdd64e0/2020-2021/Reims-Stats
32,59.1,38,27736,1884,7185,14192,6569,843,27733,673,406,60.3,265,39.4,16447,80258,41778,741,590,172,610,287,19906,1873,/en/squads/b3072e00/2020-2021/Rennes-Stats
40,48.3,38,22250,2127,7691,10314,4484,676,22241,802,432,53.9,370,46.1,12165,67743,33862,615,437,130,715,363,13519,1218,/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats
26,45.7,38,21127,2036,6804,9870,4693,702,21115,508,299,58.9,209,41.1,11459,61355,29762,538,386,93,645,330,13021,1283,/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats
26,42.3,34,18394,2538,7581,7559,3417,529,18392,435,233,53.6,202,46.4,9625,46369,23235,358,224,71,557,262,10498,874,/en/squads/247c4b67/2020-2021/Arminia-Stats
25,41.4,34,18181,2500,7266,7815,3296,496,18176,474,282,59.5,192,40.5,9465,52254,25936,431,344,79,557,321,10183,977,/en/squads/0cdc4311/2020-2021/Augsburg-Stats
29,60.7,34,25817,1855,6669,12031,7356,1178,25807,690,437,63.3,252,36.5,15272,85823,45041,829,613,216,656,349,18243,2073,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
26,59.6,34,25939,2072,7088,12665,6400,1004,25932,630,400,63.5,229,36.3,15276,82294,42706,763,558,211,532,294,18713,1734,/en/squads/add600ae/2020-2021/Dortmund-Stats
25,53.7,34,22260,2238,6633,10666,5179,784,22252,514,277,53.9,237,46.1,11914,64571,33489,664,491,154,565,312,14146,1534,/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats
24,47.3,34,19508,2360,7173,8373,4126,609,19502,423,230,54.4,193,45.6,10521,53317,26292,463,326,111,531,231,12049,1155,/en/squads/a486e511/2020-2021/Freiburg-Stats
23,51.7,34,22731,2265,7428,11085,4422,763,22720,533,319,59.8,214,40.2,12808,63789,33946,612,415,186,548,299,15116,1363,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
32,49.6,34,19978,2070,6901,9353,3935,652,19972,571,329,57.6,242,42.4,11197,62916,31992,589,394,171,563,310,12472,1163,/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats
30,51.2,34,21927,2268,7085,10005,5044,741,21921,553,279,50.5,274,49.5,12424,62580,31672,581,420,136,613,280,14162,1510,/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats
28,46.3,34,19710,2348,7307,8641,3948,524,19704,420,238,56.7,182,43.3,10391,52199,25655,429,304,84,576,264,11841,1120,/en/squads/bc357bf7/2020-2021/Koln-Stats
30,59.7,34,25357,2233,7430,12821,5329,785,25354,710,426,60.0,284,40.0,14600,78526,39850,724,500,202,620,335,17759,1510,/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats
31,40.7,34,17743,2093,6262,7633,4007,638,17738,488,268,54.9,220,45.1,8673,45474,23394,442,303,110,577,279,9456,1034,/en/squads/a224b06a/2020-2021/Mainz-05-Stats
25,59.7,34,25101,1819,6354,12853,6087,936,25091,523,315,60.2,208,39.8,14424,72660,37539,624,531,165,546,326,17383,1703,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
42,44.7,34,18697,2520,7325,8398,3172,478,18694,617,333,54.0,284,46.0,9957,52079,25372,452,336,92,592,352,11016,936,/en/squads/c539e393/2020-2021/Schalke-04-Stats
29,51.5,34,21757,2468,7152,10263,4594,745,21749,668,413,61.8,255,38.2,11998,68676,36144,701,512,188,640,410,14042,1462,/en/squads/598bc722/2020-2021/Stuttgart-Stats
27,44.9,34,19568,2073,6988,8984,3800,562,19561,389,206,53.0,183,47.0,9945,52102,26037,464,372,90,547,230,11751,1045,/en/squads/7a41008f/2020-2021/Union-Berlin-Stats
27,43.9,34,19371,2267,7028,9010,3529,503,19366,367,188,51.2,179,48.8,9948,49831,25337,414,293,83,521,268,11552,1054,/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats
26,51.1,34,21358,2083,6589,10048,4952,747,21355,483,296,61.3,186,38.5,11549,60072,30460,595,469,139,618,296,13031,1381,/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats
30,54.6,38,26392,1779,6640,12068,7924,1147,26385,707,396,56.0,309,43.7,15724,78882,39413,874,658,256,680,406,17945,2056,/en/squads/922493f3/2020-2021/Atalanta-Stats
29,42.6,38,19177,2349,7075,8190,4126,698,19170,452,273,60.4,179,39.6,9801,53708,27357,512,377,123,513,289,11461,1083,/en/squads/4fcb34fd/2020-2021/Benevento-Stats
37,50.8,38,22797,2727,7474,10036,5490,763,22793,628,345,54.9,283,45.1,12692,68892,34608,707,473,176,598,305,14515,1495,/en/squads/1d8099f8/2020-2021/Bologna-Stats
32,44.8,38,20989,2354,7007,9356,4876,711,20984,605,336,55.5,269,44.5,10948,61020,31672,589,461,122,532,281,12936,1217,/en/squads/c4260e09/2020-2021/Cagliari-Stats
31,46.3,38,21226,2904,8260,9199,3983,577,21217,623,385,61.8,237,38.0,11536,61128,30798,582,386,119,610,366,13427,1206,/en/squads/3074d7b1/2020-2021/Crotone-Stats
30,46.3,38,20903,2094,6147,9711,5257,659,20897,575,325,56.5,250,43.5,11681,63012,31755,637,499,114,561,422,13327,1345,/en/squads/421387cf/2020-2021/Fiorentina-Stats
34,44.8,38,22041,2592,7852,10124,4302,575,22037,540,294,54.4,246,45.6,12392,60413,29841,523,393,118,589,304,13835,1155,/en/squads/658bf2de/2020-2021/Genoa-Stats
