nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
GAM,DF,20,1996,12.3,,24,,,,,,,,,,,40,,,
HUN,MF,22,1994,8.6,,10,,,,,,,,,,,6,,,
GER,"FW,MF",30,1986,30.2,,32,,,,,,,,,,,36,,,
BIH,MF,27,1989,17.1,,36,,,,,,,,,,,28,,,
GER,"DF,MF",30,1986,3.6,,10,,,,,,,,,,,10,,,
GER,GK,28,1987,27.6,,0,,,,,,,,,,,0,,,
DEN,DF,22,1994,9.0,,7,,,,,,,,,,,12,,,
GER,"DF,MF",32,1983,12.3,,23,,,,,,,,,,,36,,,
SVN,FW,27,1989,6.5,,10,,,,,,,,,,,13,,,
GER,DF,27,1988,20.2,,34,,,,,,,,,,,38,,,
GER,"FW,MF",28,1988,9.8,,11,,,,,,,,,,,14,,,
GER,FW,27,1988,12.3,,12,,,,,,,,,,,13,,,
USA,FW,25,1991,4.2,,1,,,,,,,,,,,3,,,
NGA,FW,29,1987,0.4,,1,,,,,,,,,,,2,,,
COD,"DF,MF",26,1990,5.6,,5,,,,,,,,,,,13,,,
TUN,MF,28,1988,6.5,,5,,,,,,,,,,,8,,,
COL,FW,30,1986,4.0,,2,,,,,,,,,,,3,,,
GER,"FW,MF",25,1990,8.3,,8,,,,,,,,,,,11,,,
USA,"FW,MF",17,1998,16.9,,20,,,,,,,,,,,18,,,
BIH,MF,18,1998,1.0,,1,,,,,,,,,,,2,,,
TUR,MF,19,1997,5.3,,7,,,,,,,,,,,6,,,
GER,"DF,FW",24,1992,10.8,,20,,,,,,,,,,,19,,,
GER,"DF,MF",18,1998,5.9,,13,,,,,,,,,,,7,,,
GER,"DF,MF",29,1987,21.3,,33,,,,,,,,,,,28,,,
GER,"DF,MF",20,1995,26.8,,46,,,,,,,,,,,72,,,
ESP,DF,25,1991,17.3,,36,,,,,,,,,,,60,,,
GER,DF,28,1988,24.3,,32,,,,,,,,,,,67,,,
GER,"FW,MF",27,1989,13.1,,14,,,,,,,,,,,12,,,
GER,"FW,MF",24,1992,8.4,,8,,,,,,,,,,,13,,,
GER,"DF,MF",22,1994,27.5,,28,,,,,,,,,,,41,,,
ESP,MF,20,1996,3.3,,11,,,,,,,,,,,13,,,
TUR,MF,27,1988,2.6,,5,,,,,,,,,,,9,,,
FRA,"FW,MF",19,1997,22.6,,22,,,,,,,,,,,22,,,
KOR,"DF,MF",29,1987,0.7,,1,,,,,,,,,,,1,,,
GAB,"FW,MF",27,1989,30.9,,11,,,,,,,,,,,11,,,
POR,"DF,MF",22,1993,16.5,,21,,,,,,,,,,,35,,,
SUI,GK,25,1990,27.0,,0,,,,,,,,,,,0,,,
GER,GK,35,1980,7.0,,0,,,,,,,,,,,0,,,
GER,MF,25,1990,6.5,,5,,,,,,,,,,,22,,,
JPN,"FW,MF",27,1989,14.0,,8,,,,,,,,,,,12,,,
GRE,DF,28,1988,25.5,,43,,,,,,,,,,,39,,,
GER,"DF,MF",27,1989,3.0,,7,,,,,,,,,,,6,,,
POL,"DF,MF",31,1985,22.6,,30,,,,,,,,,,,37,,,
GER,"FW,MF",33,1983,15.5,,2,,,,,,,,,,,8,,,
ECU,DF,22,1994,2.0,,3,,,,,,,,,,,9,,,
CRO,"FW,MF",22,1993,15.6,,15,,,,,,,,,,,33,,,
MAR,MF,18,1998,7.3,,21,,,,,,,,,,,21,,,
GER,"DF,FW",27,1989,32.8,,49,,,,,,,,,,,85,,,
SWE,"FW,MF",23,1993,19.3,,20,,,,,,,,,,,11,,,
GER,"FW,MF",25,1991,5.1,,3,,,,,,,,,,,12,,,
ARG,DF,30,1986,28.7,,32,,,,,,,,,,,90,,,
URU,DF,23,1993,4.8,,5,,,,,,,,,,,22,,,
SUI,FW,24,1992,11.9,,4,,,,,,,,,,,5,,,
AUT,GK,26,1990,1.9,,0,,,,,,,,,,,0,,,
ESP,DF,19,1997,22.9,,24,,,,,,,,,,,71,,,
FIN,GK,26,1989,32.0,,0,,,,,,,,,,,3,,,
JPN,"DF,MF",32,1984,21.0,,25,,,,,,,,,,,64,,,
GER,MF,20,1995,1.4,,12,,,,,,,,,,,5,,,
MEX,"FW,MF",27,1989,22.8,,31,,,,,,,,,,,51,,,
GER,"DF,MF",30,1985,2.7,,3,,,,,,,,,,,3,,,
GER,"DF,FW",21,1995,1.9,,5,,,,,,,,,,,3,,,
GER,MF,19,1997,1.0,,3,,,,,,,,,,,1,,,
JAM,"DF,MF",24,1992,15.1,,33,,,,,,,,,,,44,,,
SRB,MF,21,1995,24.8,,36,,,,,,,,,,,75,,,
EQG,MF,23,1993,27.2,,48,,,,,,,,,,,102,,,
SUI,"FW,MF",21,1995,3.7,,1,,,,,,,,,,,3,,,
HUN,MF,33,1983,11.5,,19,,,,,,,,,,,27,,,
ISR,DF,24,1992,7.7,,7,,,,,,,,,,,24,,,
USA,"DF,MF",26,1990,31.3,,35,,,,,,,,,,,77,,,
SRB,"DF,MF",25,1991,11.7,,32,,,,,,,,,,,33,,,
GER,GK,24,1992,34.0,,0,,,,,,,,,,,0,,,
ALB,MF,26,1990,14.7,,26,,,,,,,,,,,33,,,
GER,"DF,MF",23,1993,30.0,,45,,,,,,,,,,,35,,,
GER,"FW,MF",25,1990,26.8,,18,,,,,,,,,,,14,,,
GER,DF,30,1986,1.1,,2,,,,,,,,,,,2,,,
NOR,"FW,MF",23,1993,0.3,,0,,,,,,,,,,,0,,,
GER,"FW,MF",22,1994,21.7,,30,,,,,,,,,,,21,,,
GER,DF,20,1996,1.1,,2,,,,,,,,,,,2,,,
GER,MF,21,1994,0.6,,1,,,,,,,,,,,3,,,
GER,MF,31,1985,9.4,,11,,,,,,,,,,,19,,,
SVK,MF,31,1985,2.0,,4,,,,,,,,,,,2,,,
GER,"DF,MF",23,1992,12.8,,31,,,,,,,,,,,44,,,
GER,DF,25,1991,18.7,,37,,,,,,,,,,,37,,,
ESP,DF,30,1986,10.4,,9,,,,,,,,,,,23,,,
GER,DF,21,1995,12.7,,8,,,,,,,,,,,28,,,
NOR,"FW,MF",21,1995,0.3,,0,,,,,,,,,,,0,,,
GER,"FW,MF",22,1994,21.4,,15,,,,,,,,,,,23,,,
GER,"FW,MF",29,1986,27.7,,37,,,,,,,,,,,50,,,
GER,MF,26,1990,26.3,,38,,,,,,,,,,,64,,,
GER,FW,27,1988,13.9,,13,,,,,,,,,,,10,,,
TUR,"DF,MF",22,1994,11.1,,17,,,,,,,,,,,17,,,
GER,"DF,MF",20,1996,14.5,,29,,,,,,,,,,,24,,,
ITA,"FW,MF",23,1993,27.7,,31,,,,,,,,,,,37,,,
TUR,DF,20,1996,23.0,,35,,,,,,,,,,,45,,,
DEN,"DF,MF",20,1996,30.9,,37,,,,,,,,,,,69,,,
GER,"FW,MF",25,1990,17.8,,20,,,,,,,,,,,27,,,
CGO,FW,19,1997,0.1,,0,,,,,,,,,,,0,,,
GER,MF,25,1991,21.8,,58,,,,,,,,,,,58,,,
SUI,MF,19,1997,0.0,,0,,,,,,,,,,,0,,,
USA,"DF,MF",28,1987,13.9,,17,,,,,,,,,,,19,,,
GUI,MF,28,1988,9.3,,20,,,,,,,,,,,8,,,
DEN,DF,23,1992,29.6,,51,,,,,,,,,,,57,,,
GER,"FW,MF",24,1992,15.3,,16,,,,,,,,,,,27,,,
SUI,FW,23,1992,3.1,,4,,,,,,,,,,,3,,,
GER,"DF,MF",24,1992,8.4,,21,,,,,,,,,,,15,,,
GER,"FW,MF",27,1988,28.8,,29,,,,,,,,,,,24,,,
SVK,MF,18,1997,3.2,,4,,,,,,,,,,,9,,,
GER,MF,20,1996,25.3,,55,,,,,,,,,,,51,,,
SUI,DF,19,1996,23.4,,39,,,,,,,,,,,74,,,
GER,"DF,FW",23,1993,4.6,,5,,,,,,,,,,,13,,,
SWE,"DF,MF",30,1985,27.3,,40,,,,,,,,,,,69,,,
GER,"FW,MF",25,1991,7.7,,11,,,,,,,,,,,16,,,
BRA,"FW,MF",31,1985,16.6,,13,,,,,,,,,,,10,,,
BEL,"FW,MF",23,1993,18.1,,24,,,,,,,,,,,20,,,
FRA,DF,24,1991,0.1,,0,,,,,,,,,,,0,,,
GER,"DF,MF",26,1990,17.4,,27,,,,,,,,,,,45,,,
GER,"DF,MF",26,1990,16.5,,26,,,,,,,,,,,39,,,
SUI,GK,27,1988,34.0,,1,,,,,,,,,,,2,,,
GER,"FW,MF",29,1986,14.5,,18,,,,,,,,,,,19,,,
SWE,MF,27,1989,13.9,,13,,,,,,,,,,,40,,,
CRO,"FW,MF",20,1996,1.6,,1,,,,,,,,,,,0,,,
GER,"DF,MF",23,1993,0.7,,1,,,,,,,,,,,0,,,
GAM,"FW,MF",18,1998,2.0,,7,,,,,,,,,,,5,,,
USA,"FW,MF",23,1992,23.1,,15,,,,,,,,,,,11,,,
GER,GK,24,1992,14.0,,0,,,,,,,,,,,2,,,
BRA,DF,25,1990,3.6,,7,,,,,,,,,,,19,,,
GER,"DF,MF",26,1989,19.8,,37,,,,,,,,,,,34,,,
BRA,"DF,MF",22,1994,19.0,,63,,,,,,,,,,,58,,,
BIH,DF,35,1980,8.6,,14,,,,,,,,,,,26,,,
SRB,"DF,FW",23,1992,28.0,,37,,,,,,,,,,,46,,,
GER,MF,19,1997,0.0,,0,,,,,,,,,,,0,,,
GER,"DF,MF",21,1994,26.3,,35,,,,,,,,,,,60,,,
JPN,"DF,MF",25,1991,30.0,,50,,,,,,,,,,,72,,,
SUI,DF,29,1987,12.7,,16,,,,,,,,,,,32,,,
GRE,"DF,MF",24,1992,14.3,,25,,,,,,,,,,,49,,,
GER,MF,25,1990,26.8,,63,,,,,,,,,,,68,,,
GER,"FW,MF",20,1996,4.0,,5,,,,,,,,,,,5,,,
GER,"DF,MF",26,1990,22.1,,45,,,,,,,,,,,48,,,
AUT,"FW,MF",22,1994,14.5,,12,,,,,,,,,,,17,,,
ALB,DF,30,1986,14.0,,28,,,,,,,,,,,43,,,
SWE,"FW,MF",25,1991,0.7,,1,,,,,,,,,,,2,,,
GER,"FW,MF",28,1987,21.1,,40,,,,,,,,,,,28,,,
GER,FW,24,1991,6.1,,2,,,,,,,,,,,5,,,
GER,GK,31,1985,19.0,,0,,,,,,,,,,,1,,,
GER,GK,27,1989,1.0,,0,,,,,,,,,,,0,,,
SUI,MF,17,1998,2.0,,5,,,,,,,,,,,6,,,
BRA,MF,21,1995,8.0,,13,,,,,,,,,,,41,,,
GER,"FW,MF",26,1990,14.7,,18,,,,,,,,,,,33,,,
BRA,MF,19,1997,8.9,,19,,,,,,,,,,,36,,,
GER,MF,17,1999,0.0,,0,,,,,,,,,,,0,,,
SUI,"DF,MF",28,1988,16.7,,28,,,,,,,,,,,50,,,
GER,DF,17,1999,0.2,,0,,,,,,,,,,,0,,,
JPN,"FW,MF",25,1991,22.8,,30,,,,,,,,,,,20,,,
GER,"DF,MF",28,1988,2.3,,4,,,,,,,,,,,8,,,
USA,DF,23,1993,23.5,,24,,,,,,,,,,,60,,,
GER,DF,18,1997,5.4,,5,,,,,,,,,,,17,,,
GER,FW,27,1989,4.9,,2,,,,,,,,,,,5,,,
GER,MF,17,1999,0.1,,0,,,,,,,,,,,0,,,
GER,"DF,MF",24,1992,27.0,,35,,,,,,,,,,,53,,,
GER,"DF,MF",19,1997,5.2,,16,,,,,,,,,,,15,,,
GER,"DF,FW",22,1994,12.5,,19,,,,,,,,,,,31,,,
GER,"DF,MF",21,1995,26.1,,50,,,,,,,,,,,66,,,
SVK,"FW,MF",21,1994,0.8,,2,,,,,,,,,,,1,,,
NOR,MF,29,1987,23.7,,51,,,,,,,,,,,56,,,
SVK,DF,29,1986,30.1,,42,,,,,,,,,,,62,,,
NOR,GK,31,1984,34.0,,0,,,,,,,,,,,3,,,
CIV,"FW,MF",30,1985,22.0,,10,,,,,,,,,,,29,,,
TUN,"FW,MF",30,1986,2.0,,2,,,,,,,,,,,1,,,
GER,DF,28,1988,25.7,,32,,,,,,,,,,,66,,,
,"FW,MF",20,1996,0.1,,,,,,,,,,,,,,,,
SUI,MF,27,1989,12.9,,18,,,,,,,,,,,20,,,
BIH,FW,31,1984,30.1,,27,,,,,,,,,,,10,,,
CZE,MF,25,1990,22.7,,23,,,,,,,,,,,34,,,
CRO,"FW,MF",25,1991,26.3,,7,,,,,,,,,,,20,,,
GER,"FW,MF",21,1995,0.8,,1,,,,,,,,,,,2,,,
GER,DF,27,1989,23.8,,52,,,,,,,,,,,80,,,
CHI,"FW,MF",26,1989,1.1,,0,,,,,,,,,,,3,,,
BIH,DF,26,1990,11.7,,14,,,,,,,,,,,29,,,
POL,MF,30,1986,7.0,,8,,,,,,,,,,,20,,,
SUI,DF,24,1991,3.2,,3,,,,,,,,,,,8,,,
GER,"DF,MF",21,1994,14.6,,14,,,,,,,,,,,31,,,
GER,MF,23,1993,24.1,,33,,,,,,,,,,,44,,,
GER,"DF,MF",24,1991,28.8,,30,,,,,,,,,,,46,,,
GER,MF,25,1991,8.8,,15,,,,,,,,,,,16,,,
GER,"FW,MF",25,1991,4.0,,5,,,,,,,,,,,3,,,
GER,"FW,MF",24,1991,12.8,,10,,,,,,,,,,,17,,,
GER,MF,19,1996,22.1,,22,,,,,,,,,,,36,,,
GER,DF,20,1995,32.1,,47,,,,,,,,,,,76,,,
GER,GK,26,1990,34.0,,0,,,,,,,,,,,1,,,
CZE,"DF,FW",24,1992,21.9,,19,,,,,,,,,,,54,,,
GER,"FW,MF",19,1997,1.6,,5,,,,,,,,,,,2,,,
SUI,MF,29,1987,4.4,,10,,,,,,,,,,,12,,,
GER,FW,28,1987,28.9,,22,,,,,,,,,,,16,,,
GER,MF,26,1990,31.0,,64,,,,,,,,,,,99,,,
SUI,"DF,FW",24,1991,22.5,,36,,,,,,,,,,,58,,,
HUN,FW,28,1987,8.7,,7,,,,,,,,,,,3,,,
USA,"DF,MF",26,1990,19.0,,23,,,,,,,,,,,64,,,
ISR,MF,27,1988,27.7,,58,,,,,,,,,,,71,,,
GER,"DF,MF",24,1991,7.8,,16,,,,,,,,,,,14,,,
PAR,"FW,MF",26,1990,27.9,,22,,,,,,,,,,,22,,,
KVX,"DF,MF",22,1994,24.7,,39,,,,,,,,,,,66,,,
AUT,"FW,MF",25,1991,10.7,,11,,,,,,,,,,,10,,,
COD,DF,23,1993,26.5,,21,,,,,,,,,,,63,,,
AUT,"DF,GK",29,1987,30.4,,45,,,,,,,,,,,93,,,
DEN,GK,26,1990,22.6,,0,,,,,,,,,,,0,,,
CMR,"DF,MF",30,1985,33.0,,60,,,,,,,,,,,83,,,
AUS,"FW,MF",25,1991,23.2,,38,,,,,,,,,,,34,,,
GER,MF,19,1996,0.1,,0,,,,,,,,,,,0,,,
GER,MF,19,1996,4.9,,9,,,,,,,,,,,14,,,
GER,FW,30,1986,10.5,,13,,,,,,,,,,,12,,,
GER,"DF,FW",25,1991,30.2,,53,,,,,,,,,,,46,,,
GER,"FW,MF",23,1993,0.4,,0,,,,,,,,,,,1,,,
BRA,MF,30,1985,25.3,,47,,,,,,,,,,,63,,,
FRA,DF,29,1986,17.0,,12,,,,,,,,,,,30,,,
GER,"FW,MF",23,1993,8.8,,6,,,,,,,,,,,14,,,
GER,"FW,MF",26,1989,3.7,,14,,,,,,,,,,,5,,,
GER,DF,29,1986,8.0,,11,,,,,,,,,,,28,,,
NOR,GK,25,1990,11.4,,2,,,,,,,,,,,0,,,
FRA,FW,28,1988,33.0,,14,,,,,,,,,,,18,,,
LVA,FW,28,1988,7.7,,3,,,,,,,,,,,4,,,
GER,"FW,MF",24,1991,8.9,,24,,,,,,,,,,,15,,,
SVN,DF,29,1987,7.2,,12,,,,,,,,,,,19,,,
GER,DF,22,1993,30.6,,35,,,,,,,,,,,77,,,
SRB,"DF,MF",24,1991,0.1,,0,,,,,,,,,,,0,,,
DEN,DF,24,1992,29.8,,66,,,,,,,,,,,85,,,
GER,"DF,MF",26,1990,33.0,,57,,,,,,,,,,,80,,,
RUS,"DF,MF",26,1990,21.5,,27,,,,,,,,,,,49,,,
GER,"FW,MF",22,1993,10.8,,23,,,,,,,,,,,16,,,
GER,"DF,MF",20,1996,8.0,,13,,,,,,,,,,,41,,,
GER,"FW,MF",20,1996,1.0,,2,,,,,,,,,,,3,,,
GER,"DF,FW",26,1989,12.2,,11,,,,,,,,,,,22,,,
GER,"DF,MF",26,1989,22.9,,58,,,,,,,,,,,54,,,
GER,MF,33,1983,20.2,,22,,,,,,,,,,,43,,,
SRB,MF,24,1992,12.1,,14,,,,,,,,,,,36,,,
ALB,DF,30,1986,16.0,,21,,,,,,,,,,,44,,,
SRB,DF,27,1988,9.9,,13,,,,,,,,,,,30,,,
POL,"DF,MF",26,1990,12.3,,18,,,,,,,,,,,44,,,
TUR,MF,18,1998,4.1,,7,,,,,,,,,,,10,,,
GUI,FW,20,1996,0.9,,0,,,,,,,,,,,0,,,
GER,"FW,MF",25,1991,11.5,,8,,,,,,,,,,,17,,,
GER,GK,20,1996,1.0,,0,,,,,,,,,,,0,,,
GER,GK,30,1986,13.0,,0,,,,,,,,,,,0,,,
GER,GK,23,1993,20.0,,0,,,,,,,,,,,0,,,
JPN,"FW,MF",26,1990,26.3,,36,,,,,,,,,,,22,,,
SUI,"FW,MF",25,1991,14.0,,17,,,,,,,,,,,20,,,
AUT,"DF,MF",25,1991,14.0,,8,,,,,,,,,,,32,,,
GER,"DF,MF",19,1997,27.0,,72,,,,,,,,,,,103,,,
GER,GK,24,1992,34.0,,2,,,,,,,,,,,1,,,
CHI,MF,27,1989,20.2,,33,,,,,,,,,,,71,,,
GER,"DF,FW",23,1993,1.2,,2,,,,,,,,,,,2,,,
TUR,"FW,MF",22,1994,13.5,,17,,,,,,,,,,,18,,,
MEX,FW,28,1988,20.1,,4,,,,,,,,,,,8,,,
FIN,FW,21,1994,2.1,,0,,,,,,,,,,,1,,,
GER,DF,20,1996,18.2,,30,,,,,,,,,,,49,,,
AUT,"DF,MF",28,1988,17.3,,41,,,,,,,,,,,47,,,
GER,"FW,MF",20,1996,25.5,,20,,,,,,,,,,,26,,,
GER,"FW,MF",17,1999,16.1,,16,,,,,,,,,,,19,,,
GER,"FW,MF",26,1990,12.4,,16,,,,,,,,,,,13,,,
SVN,MF,25,1990,28.2,,40,,,,,,,,,,,70,,,
GER,"FW,MF",24,1992,16.4,,13,,,,,,,,,,,5,,,
GER,"DF,MF",27,1989,6.7,,29,,,,,,,,,,,19,,,
JAM,"FW,MF",18,1997,1.6,,1,,,,,,,,,,,3,,,
GER,"DF,MF",31,1984,6.5,,18,,,,,,,,,,,17,,,
GER,"FW,MF",32,1984,8.4,,10,,,,,,,,,,,1,,,
CRO,DF,20,1995,15.8,,28,,,,,,,,,,,39,,,
UKR,MF,22,1994,1.6,,1,,,,,,,,,,,10,,,
BRA,DF,23,1993,28.1,,71,,,,,,,,,,,77,,,
TUR,DF,27,1989,23.3,,27,,,,,,,,,,,57,,,
GER,FW,20,1996,2.0,,0,,,,,,,,,,,1,,,
GER,DF,22,1993,14.4,,23,,,,,,,,,,,49,,,
BRA,DF,24,1992,12.6,,32,,,,,,,,,,,37,,,
ESP,"FW,MF",25,1990,7.0,,3,,,,,,,,,,,9,,,
GER,"FW,MF",24,1991,2.1,,6,,,,,,,,,,,2,,,
GER,"DF,MF",28,1988,27.3,,30,,,,,,,,,,,74,,,
GER,MF,26,1989,17.5,,28,,,,,,,,,,,52,,,
SUI,"DF,MF",27,1989,18.5,,26,,,,,,,,,,,60,,,
FRA,DF,25,1991,11.7,,19,,,,,,,,,,,45,,,
PHI,"FW,MF",21,1995,1.4,,4,,,,,,,,,,,2,,,
ITA,DF,26,1990,31.1,,73,,,,,,,,,,,87,,,
ESP,"FW,MF",23,1993,10.5,,14,,,,,,,,,,,18,,,
GER,GK,22,1994,7.0,,0,,,,,,,,,,,0,,,
CIV,"DF,MF",20,1995,20.3,,44,,,,,,,,,,,55,,,
COL,FW,23,1993,26.1,,15,,,,,,,,,,,17,,,
DEN,GK,27,1989,27.0,,0,,,,,,,,,,,1,,,
ESP,MF,21,1994,0.1,,0,,,,,,,,,,,0,,,
AUT,"FW,MF",24,1992,10.1,,16,,,,,,,,,,,15,,,
NGA,DF,28,1988,11.4,,17,,,,,,,,,,,45,,,
GER,"FW,MF",20,1996,21.8,,32,,,,,,,,,,,43,,,
FRA,"FW,MF",25,1991,0.2,,0,,,,,,,,,,,0,,,
GER,DF,29,1986,8.4,,10,,,,,,,,,,,24,,,
ARG,"FW,MF",28,1988,18.5,,15,,,,,,,,,,,21,,,
SWE,"FW,MF",22,1993,5.4,,3,,,,,,,,,,,9,,,
GER,DF,24,1991,30.5,,39,,,,,,,,,,,91,,,
GER,MF,19,1997,3.7,,11,,,,,,,,,,,15,,,
JPN,"FW,MF",24,1992,11.4,,6,,,,,,,,,,,5,,,
TUR,"FW,MF",24,1992,15.3,,6,,,,,,,,,,,10,,,
GER,DF,21,1994,11.0,,35,,,,,,,,,,,32,,,
BRA,DF,21,1995,21.0,,50,,,,,,,,,,,70,,,
GER,FW,21,1995,5.0,,7,,,,,,,,,,,1,,,
FRA,DF,17,1998,7.4,,17,,,,,,,,,,,27,,,
GER,"DF,MF",24,1991,31.9,,90,,,,,,,,,,,100,,,
GER,MF,27,1988,10.7,,15,,,,,,,,,,,14,,,
SWE,"FW,MF",24,1991,26.0,,24,,,,,,,,,,,46,,,
SUI,GK,35,1980,1.0,,0,,,,,,,,,,,0,,,
GER,"FW,MF",21,1995,0.6,,2,,,,,,,,,,,2,,,
GRE,"DF,MF",24,1992,0.3,,1,,,,,,,,,,,1,,,
GER,"DF,MF",20,1996,1.0,,2,,,,,,,,,,,2,,,
GER,"DF,MF",24,1991,29.5,,55,,,,,,,,,,,76,,,
AUT,"FW,MF",22,1994,28.8,,25,,,,,,,,,,,33,,,
GER,DF,31,1985,23.3,,33,,,,,,,,,,,64,,,
BEL,"FW,MF",22,1993,0.1,,0,,,,,,,,,,,1,,,
GUI,MF,21,1995,26.8,,57,,,,,,,,,,,82,,,
SCO,"FW,MF",19,1997,7.0,,5,,,,,,,,,,,6,,,
HUN,GK,26,1990,33.0,,0,,,,,,,,,,,1,,,
GER,"DF,MF",22,1994,1.8,,4,,,,,,,,,,,11,,,
AUT,"DF,MF",27,1989,29.4,,68,,,,,,,,,,,94,,,
GER,"FW,MF",20,1996,26.8,,19,,,,,,,,,,,23,,,
HUN,DF,23,1992,28.0,,56,,,,,,,,,,,65,,,
DEN,"FW,MF",22,1994,23.2,,17,,,,,,,,,,,19,,,
AUT,MF,22,1994,22.7,,41,,,,,,,,,,,67,,,
GHA,"DF,MF",22,1994,7.9,,20,,,,,,,,,,,26,,,
GER,DF,28,1988,31.0,,44,,,,,,,,,,,125,,,
FRA,"DF,MF",25,1990,14.4,,30,,,,,,,,,,,59,,,
GHA,"FW,MF",18,1997,0.1,,0,,,,,,,,,,,0,,,
SUI,"FW,MF",19,1997,3.8,,7,,,,,,,,,,,6,,,
ESP,"DF,MF",29,1987,7.0,,11,,,,,,,,,,,18,,,
ITA,"DF,FW",28,1988,12.3,,16,,,,,,,,,,,16,,,
GER,"DF,MF",29,1987,3.2,,5,,,,,,,,,,,7,,,
KVX,"FW,MF",19,1996,3.3,,2,,,,,,,,,,,2,,,
CMR,"FW,MF",27,1989,18.7,,10,,,,,,,,,,,11,,,
GER,"FW,MF",18,1997,0.8,,0,,,,,,,,,,,0,,,
ARG,FW,27,1989,3.6,,5,,,,,,,,,,,3,,,
AUT,"FW,MF",27,1989,16.2,,3,,,,,,,,,,,3,,,
GER,DF,27,1989,9.6,,7,,,,,,,,,,,27,,,
GER,"DF,MF",22,1993,14.7,,21,,,,,,,,,,,43,,,
BRA,DF,27,1989,1.2,,3,,,,,,,,,,,4,,,
NED,FW,32,1983,8.4,,1,,,,,,,,,,,1,,,
GER,MF,21,1995,28.5,,45,,,,,,,,,,,80,,,
SRB,DF,23,1993,21.4,,27,,,,,,,,,,,49,,,
GER,"FW,MF",20,1995,18.5,,16,,,,,,,,,,,10,,,
ALG,MF,21,1994,28.3,,26,,,,,,,,,,,56,,,
BRA,DF,33,1982,18.0,,20,,,,,,,,,,,54,,,
GER,GK,27,1988,34.0,,1,,,,,,,,,,,2,,,
GER,"DF,MF",33,1983,3.2,,5,,,,,,,,,,,3,,,
BIH,"DF,MF",23,1993,22.9,,52,,,,,,,,,,,79,,,
GER,DF,19,1996,12.0,,28,,,,,,,,,,,45,,,
USA,"DF,MF",17,1998,0.1,,0,,,,,,,,,,,0,,,
UKR,"FW,MF",26,1989,6.8,,4,,,,,,,,,,,9,,,
USA,"FW,MF",25,1990,3.0,,0,,,,,,,,,,,2,,,
PER,FW,37,1978,9.5,,5,,,,,,,,,,,11,,,
GER,"DF,MF",35,1980,14.3,,32,,,,,,,,,,,24,,,
SEN,DF,26,1989,1.5,,1,,,,,,,,,,,4,,,
GER,GK,26,1990,24.5,,0,,,,,,,,,,,2,,,
GER,"FW,MF",29,1987,24.7,,27,,,,,,,,,,,26,,,
AUT,"DF,MF",20,1995,19.0,,33,,,,,,,,,,,48,,,
AUT,"FW,MF",23,1992,3.5,,6,,,,,,,,,,,9,,,
BIH,MF,24,1991,6.2,,6,,,,,,,,,,,4,,,
GER,"DF,MF",23,1992,0.8,,1,,,,,,,,,,,2,,,
CZE,GK,36,1979,9.4,,0,,,,,,,,,,,0,,,
SEN,"DF,MF",29,1987,26.2,,30,,,,,,,,,,,78,,,
GER,FW,24,1992,1.0,,0,,,,,,,,,,,1,,,
ITA,DF,25,1991,4.6,,9,,,,,,,,,,,5,,,
GER,"DF,MF",21,1995,0.2,,0,,,,,,,,,,,0,,,
GER,"FW,MF",28,1988,22.7,,10,,,,,,,,,,,13,,,
GER,MF,19,1996,9.9,,16,,,,,,,,,,,30,,,
SRB,DF,20,1995,20.1,,15,,,,,,,,,,,30,,,
FIN,DF,30,1985,29.5,,35,,,,,,,,,,,67,,,
GER,"FW,MF",18,1998,0.2,,1,,,,,,,,,,,1,,,
GAM,FW,19,1997,5.4,,6,,,,,,,,,,,3,,,
GER,MF,27,1989,5.1,,8,,,,,,,,,,,24,,,
GER,"DF,MF",21,1995,23.6,,54,,,,,,,,,,,63,,,
MLI,MF,27,1989,1.9,,2,,,,,,,,,,,4,,,
ARG,DF,28,1988,16.0,,23,,,,,,,,,,,58,,,
GER,"FW,MF",21,1995,21.8,,27,,,,,,,,,,,30,,,
GRE,"DF,MF",25,1991,1.6,,2,,,,,,,,,,,1,,,
CZE,"DF,MF",29,1986,26.0,,33,,,,,,,,,,,61,,,
DEN,MF,24,1991,10.2,,16,,,,,,,,,,,30,,,
SUI,"DF,MF",20,1996,3.9,,5,,,,,,,,,,,13,,,
AUT,"FW,MF",28,1987,27.7,,35,,,,,,,,,,,74,,,
NED,FW,27,1989,0.9,,0,,,,,,,,,,,0,,,
ESP,FW,19,1997,4.3,,1,,,,,,,,,,,2,,,
BRA,"FW,MF",25,1990,2.0,,5,,,,,,,,,,,1,,,
GER,"DF,MF",28,1987,7.7,,14,,,,,,,,,,,26,,,
ITA,"DF,FW",28,1988,12.3,,23,,,,,,,,,,,32,,,
GER,"FW,MF",26,1990,11.0,,5,,,,,,,,,,,12,,,
SUI,GK,32,1983,14.0,,0,,,,,,,,,,,0,,,
GER,DF,21,1994,0.9,,1,,,,,,,,,,,1,,,
POL,MF,30,1985,18.8,,40,,,,,,,,,,,60,,,
GER,"DF,MF",19,1997,10.8,,15,,,,,,,,,,,25,,,
