nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
NGA,"FW,MF",18,1997,3.2,,4,,,,,,,,,,,2,,,
CIV,FW,32,1983,0.8,,0,,,,,,,,,,,0,,,
WAL,DF,31,1984,35.1,,43,,,,,,,,,,,57,,,
CRC,"DF,MF",26,1990,5.3,,14,,,,,,,,,,,6,,,
ENG,"FW,MF",19,1997,3.9,,4,,,,,,,,,,,3,,,
ECU,"FW,MF",26,1989,8.0,,13,,,,,,,,,,,8,,,
ENG,MF,35,1981,23.4,,49,,,,,,,,,,,39,,,
ESP,"FW,MF",22,1994,5.1,,5,,,,,,,,,,,4,,,
SEN,MF,26,1989,29.8,,103,,,,,,,,,,,77,,,
IRL,MF,25,1990,6.8,,12,,,,,,,,,,,11,,,
ESP,GK,26,1990,19.3,,1,,,,,,,,,,,0,,,
ENG,"DF,FW",19,1997,0.1,,0,,,,,,,,,,,0,,,
BEL,"FW,MF",28,1987,23.0,,14,,,,,,,,,,,8,,,
ENG,DF,31,1984,31.3,,49,,,,,,,,,,,42,,,
NED,GK,33,1982,18.7,,0,,,,,,,,,,,0,,,
ENG,DF,19,1996,15.2,,33,,,,,,,,,,,22,,,
ENG,DF,21,1994,2.0,,1,,,,,,,,,,,6,,,
FRA,MF,26,1989,11.8,,20,,,,,,,,,,,33,,,
ENG,"DF,MF",33,1982,25.0,,34,,,,,,,,,,,41,,,
ARG,DF,25,1991,17.1,,17,,,,,,,,,,,33,,,
BEL,FW,23,1993,36.3,,9,,,,,,,,,,,0,,,
ENG,MF,22,1993,32.2,,26,,,,,,,,,,,13,,,
IRL,"DF,MF",27,1988,25.7,,45,,,,,,,,,,,28,,,
ENG,MF,26,1989,4.5,,10,,,,,,,,,,,11,,,
ENG,MF,18,1998,17.2,,26,,,,,,,,,,,20,,,
COD,"FW,MF",27,1989,11.4,,13,,,,,,,,,,,3,,,
URU,FW,25,1990,15.8,,6,,,,,,,,,,,4,,,
NOR,FW,26,1990,13.0,,22,,,,,,,,,,,8,,,
EGY,"DF,MF",28,1987,28.0,,36,,,,,,,,,,,51,,,
SEN,"DF,MF",26,1990,14.1,,35,,,,,,,,,,,20,,,
ITA,DF,28,1988,14.8,,22,,,,,,,,,,,27,,,
SCO,"DF,MF",22,1994,30.4,,36,,,,,,,,,,,56,,,
SLE,DF,31,1985,23.7,,25,,,,,,,,,,,92,,,
SCO,GK,31,1985,16.0,,0,,,,,,,,,,,0,,,
IRL,MF,27,1989,10.7,,20,,,,,,,,,,,20,,,
COD,FW,30,1985,8.5,,3,,,,,,,,,,,1,,,
SUI,GK,31,1984,22.0,,0,,,,,,,,,,,1,,,
BRA,MF,29,1986,6.4,,14,,,,,,,,,,,3,,,
ENG,DF,23,1993,25.6,,39,,,,,,,,,,,67,,,
ENG,MF,26,1989,18.6,,35,,,,,,,,,,,30,,,
ENG,"FW,MF",19,1996,2.0,,1,,,,,,,,,,,1,,,
ENG,"DF,MF",17,1999,3.6,,6,,,,,,,,,,,6,,,
POL,"FW,MF",28,1988,12.7,,4,,,,,,,,,,,13,,,
