players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Rec,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,,
31,51.7,34,,,,,,,,,,,,,,,,,,,,,/en/squads/4eaa11d7/2016-2017/Wolfsburg-Stats
32,50.2,38,,,,,,,,,,,,,,,,,,,,,/en/squads/922493f3/2016-2017/Atalanta-Stats
28,46.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/1d8099f8/2016-2017/Bologna-Stats
34,43.2,38,,,,,,,,,,,,,,,,,,,,,/en/squads/c4260e09/2016-2017/Cagliari-Stats
29,46.7,38,,,,,,,,,,,,,,,,,,,,,/en/squads/cc919b35/2016-2017/Chievo-Stats
31,37.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/3074d7b1/2016-2017/Crotone-Stats
29,49.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/a3d88bd8/2016-2017/Empoli-Stats
30,58.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/421387cf/2016-2017/Fiorentina-Stats
33,48.8,38,,,,,,,,,,,,,,,,,,,,,/en/squads/658bf2de/2016-2017/Genoa-Stats
29,56.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/d609edc0/2016-2017/Internazionale-Stats
27,57.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/e0652b02/2016-2017/Juventus-Stats
30,51.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/7213da33/2016-2017/Lazio-Stats
28,54.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/dc56fe14/2016-2017/Milan-Stats
26,62.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/d48ad4ff/2016-2017/Napoli-Stats
30,45.6,38,,,,,,,,,,,,,,,,,,,,,/en/squads/ee058a17/2016-2017/Palermo-Stats
34,46.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/b985784c/2016-2017/Pescara-Stats
22,57.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/cf74a709/2016-2017/Roma-Stats
24,52.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats
28,46.8,38,,,,,,,,,,,,,,,,,,,,,/en/squads/e2befd26/2016-2017/Sassuolo-Stats
29,50.7,38,,,,,,,,,,,,,,,,,,,,,/en/squads/105360fe/2016-2017/Torino-Stats
29,41.8,38,,,,,,,,,,,,,,,,,,,,,/en/squads/04eea015/2016-2017/Udinese-Stats
