playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
28,5,4.0,,360,Kingsley Coman,Kingsley,Coman,1996-06-13,France,Left Winger,,,2024-10-09T09:41:01Z,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,Säbenerstr. 51 München 81547,http://www.fcbayern.de,1900,Red / White / Blue,Allianz Arena,2024-07-09T17:26:37Z,BL1,Bundesliga,2024
32,5,9.0,,6555,Mitchell Weiser,Mitchell,Weiser,1994-04-21,Germany,Right-Back,,,2024-08-12T11:57:09Z,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,Franz-Böhmert-Str. 1c Bremen 28205,http://www.werder.de,1899,Green / White,Weserstadion,2024-07-29T17:13:29Z,BL1,Bundesliga,2024
32,5,4.0,1.0,16346,Romano Schmid,Romano,Schmid,2000-01-27,Austria,Attacking Midfield,,,2024-08-12T11:57:09Z,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,Franz-Böhmert-Str. 1c Bremen 28205,http://www.werder.de,1899,Green / White,Weserstadion,2024-07-29T17:13:29Z,BL1,Bundesliga,2024
29,5,,,8027,Oliver Burke,Oliver,Burke,1997-04-07,Scotland,Right Winger,,,2024-08-12T11:57:09Z,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,Franz-Böhmert-Str. 1c Bremen 28205,http://www.werder.de,1899,Green / White,Weserstadion,2024-07-29T17:13:29Z,BL1,Bundesliga,2024
22,5,1.0,,10825,Mathias Honsak,Mathias,Honsak,1996-12-20,Austria,Midfield,,,2024-06-06T13:14:21Z,44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,Schloßhaustraße 162 Heidenheim 89522,http://www.fc-heidenheim.de,1846,Blue / Red / White,Voith-Arena,2024-07-29T17:14:58Z,BL1,Bundesliga,2024
30,5,10.0,,148,Julian Brandt,Julian,Brandt,1996-05-02,Germany,Attacking Midfield,,,2024-08-12T11:57:09Z,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,Rheinlanddamm 207-209 Dortmund 44137,http://www.bvb.de,1909,Black / Yellow,Signal Iduna Park,2022-02-25T16:50:16Z,BL1,Bundesliga,2024
31,5,3.0,,172574,Tom Bischof,Tom,Bischof,2005-06-28,Germany,Attacking Midfield,,,2024-08-12T11:57:09Z,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,Horrenberger Straße 58 Zuzenhausen 74939,http://www.achtzehn99.de,1921,Blue / White,PreZero Arena,2022-02-25T16:49:58Z,BL1,Bundesliga,2024
30,5,3.0,,7554,Rasmus Kristensen,Rasmus,Kristensen,1997-07-11,Denmark,Right-Back,,,2024-08-23T09:25:23Z,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,Mörfelder Landstraße 362 Frankfurt am Main 60528,http://www.eintracht.de,1899,Red / Black,Deutsche Bank Park,2024-07-29T17:13:52Z,BL1,Bundesliga,2024
33,4,2.0,,67489,Jan Schöppner,Jan,Schöppner,1999-06-12,Germany,Central Midfield,,,2024-08-12T11:57:09Z,44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,Schloßhaustraße 162 Heidenheim 89522,http://www.fc-heidenheim.de,1846,Blue / Red / White,Voith-Arena,2024-07-29T17:14:58Z,BL1,Bundesliga,2024
20,4,7.0,,727,Franck Honorat,Franck,Honorat,1996-08-11,France,Right Winger,,9.0,2024-08-12T11:57:09Z,18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,Hennes-Weisweiler-Allee 1 Mönchengladbach 41179,http://www.borussia.de,1900,Black / White / Green,Stadion im Borussia-Park,2023-02-28T07:59:45Z,BL1,Bundesliga,2024
