nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
GER,GK,34,1986,33.0,42,1,0,5,0,44.2,0.35,2.2,0.07,123,256,48.0,1131,188,20.5,28.8,186,12.9,27.2,349,5,1.4,105,3.18,23.6
SUI,GK,32,1987,15.5,16,2,0,1,1,15.1,0.3,0.1,0.0,75,155,48.4,426,71,23.9,29.1,123,43.1,39.5,176,8,4.5,8,0.52,12.1
SUI,GK,29,1990,18.5,30,4,0,6,0,28.4,0.27,-1.6,-0.09,62,166,37.3,519,108,24.7,29.5,110,34.5,34.9,187,4,2.1,13,0.7,16.3
GER,GK,18,2002,1.0,1,0,0,0,0,0.8,0.13,-0.2,-0.21,4,17,23.5,33,9,45.5,35.3,10,20.0,25.4,14,1,7.1,2,2.0,10.3
GER,GK,30,1990,33.0,52,4,1,5,2,44.6,0.27,-5.4,-0.16,222,574,38.7,1088,163,41.2,34.4,265,47.5,41.6,459,14,3.1,51,1.55,15.7
GER,GK,22,1997,31.0,46,2,2,3,2,45.3,0.28,1.3,0.04,165,556,29.7,1060,151,33.8,34.0,271,73.1,55.4,409,7,1.7,36,1.16,17.4
NED,GK,27,1993,3.0,6,2,0,0,0,7.3,0.34,1.3,0.42,29,59,49.2,96,10,38.5,37.1,27,81.5,61.9,55,0,0.0,2,0.67,11.9
GER,GK,32,1988,3.8,6,0,0,1,0,4.8,0.26,-1.2,-0.32,25,75,33.3,98,10,41.8,37.4,46,73.9,55.0,71,1,1.4,5,1.31,15.8
SUI,GK,31,1988,30.1,50,6,0,5,0,40.2,0.26,-9.8,-0.33,120,298,40.3,1026,123,23.7,28.7,212,25.9,28.6,397,7,1.8,30,1.0,16.5
GER,GK,28,1992,26.0,39,6,1,2,0,38.9,0.31,-0.1,0.0,126,288,43.8,696,128,25.3,31.2,220,50.9,42.9,373,10,2.7,19,0.73,14.5
NOR,GK,35,1984,8.0,13,1,0,2,1,8.0,0.18,-4.0,-0.5,55,141,39.0,209,27,46.4,38.7,73,60.3,45.8,124,2,1.6,3,0.38,12.0
GER,GK,30,1990,31.0,51,6,0,4,2,49.4,0.32,0.4,0.01,134,407,32.9,1143,176,29.2,29.9,204,35.8,32.0,417,14,3.4,53,1.71,18.3
GER,GK,35,1985,3.0,3,0,1,0,0,4.1,0.36,1.1,0.36,9,20,45.0,89,19,21.3,26.5,20,5.0,22.8,26,0,0.0,3,1.0,22.0
GER,GK,31,1989,0.6,1,1,0,0,0,1.2,0.07,0.2,0.31,6,11,54.5,17,4,35.3,33.5,6,83.3,49.7,15,1,6.7,0,0.0,13.0
GER,GK,27,1993,33.4,59,7,1,5,0,53.7,0.3,-5.3,-0.16,234,530,44.2,1110,120,39.4,35.5,221,42.1,37.1,469,14,3.0,30,0.9,15.2
GER,GK,21,1999,4.0,7,0,0,0,0,7.9,0.38,0.9,0.24,8,23,34.8,136,26,15.4,24.6,25,8.0,22.6,39,1,2.6,7,1.75,17.4
FIN,GK,30,1989,28.5,29,1,1,0,2,26.6,0.31,-0.4,-0.01,149,419,35.6,1208,179,29.7,31.5,180,33.3,32.8,322,20,6.2,58,2.04,18.2
GER,GK,27,1993,1.5,3,0,0,0,0,3.3,0.42,0.3,0.23,5,12,41.7,53,14,17.0,28.0,7,42.9,38.7,17,0,0.0,2,1.33,18.0
GER,GK,22,1998,3.0,10,1,0,1,0,8.6,0.38,-1.4,-0.47,4,19,21.1,59,16,27.1,29.6,27,11.1,23.7,49,3,6.1,4,1.33,11.9
GER,GK,25,1994,31.0,46,5,1,3,1,40.9,0.26,-4.1,-0.13,132,453,29.1,824,199,38.0,35.4,250,56.0,46.0,470,32,6.8,37,1.19,14.5
ESP,GK,22,1998,1.0,2,0,0,1,0,0.9,0.23,-1.1,-1.08,3,13,23.1,44,4,29.5,29.4,6,0.0,15.0,13,0,0.0,2,2.0,20.2
HUN,GK,30,1990,33.0,30,3,0,1,0,26.8,0.3,-3.2,-0.1,96,222,43.2,1003,172,19.1,27.7,168,17.9,25.7,315,15,4.8,65,1.97,19.7
DEN,GK,27,1992,10.5,24,4,0,5,2,21.6,0.27,-0.4,-0.04,44,117,37.6,280,67,26.1,29.9,95,46.3,38.7,132,8,6.1,13,1.24,14.2
AUT,GK,35,1985,2.7,12,0,0,4,1,6.7,0.29,-4.3,-1.64,11,33,33.3,51,8,37.3,35.8,26,53.8,38.9,42,0,0.0,5,1.88,15.8
GER,GK,31,1988,20.8,50,3,1,8,2,41.5,0.28,-6.5,-0.31,91,350,26.0,638,119,35.9,33.5,183,66.1,46.5,374,12,3.2,20,0.96,12.6
GER,GK,25,1995,1.0,1,0,0,0,0,2.8,0.31,1.8,1.77,2,10,20.0,30,6,30.0,29.4,9,11.1,25.0,31,1,3.2,0,0.0,8.8
SUI,GK,22,1997,33.0,54,5,1,3,1,52.5,0.29,-0.5,-0.02,126,315,40.0,940,207,27.6,28.2,280,20.0,25.2,459,17,3.7,42,1.27,15.9
GER,GK,33,1987,30.8,42,4,0,5,1,39.8,0.27,-1.2,-0.04,180,475,37.9,927,108,37.1,34.2,215,60.9,42.8,376,18,4.8,20,0.65,13.1
GER,GK,27,1993,3.2,1,0,0,0,1,0.9,0.23,0.9,0.28,17,53,32.1,73,9,52.1,40.4,21,71.4,53.7,47,2,4.3,1,0.31,8.6
CZE,GK,28,1992,34.0,57,4,0,7,3,48.7,0.28,-5.3,-0.16,211,461,45.8,865,168,37.8,33.9,279,48.0,40.9,567,17,3.0,30,0.88,14.4
BEL,GK,28,1992,32.0,33,3,1,2,1,32.7,0.26,0.7,0.02,191,462,41.3,1048,166,31.9,32.6,203,63.1,48.4,450,25,5.6,57,1.78,17.3
AUT,GK,32,1987,2.0,4,0,0,2,0,3.4,0.25,-0.6,-0.29,11,28,39.3,53,5,34.0,32.6,17,58.8,47.5,35,0,0.0,0,0.0,10.7
GER,GK,28,1992,33.0,53,7,1,6,2,55.8,0.28,4.8,0.15,412,902,45.7,1448,91,49.6,39.2,317,58.0,46.9,528,11,2.1,46,1.39,18.6
GRE,GK,27,1994,1.0,0,0,0,0,0,1.0,0.26,1.0,1.02,7,16,43.8,21,3,38.1,37.3,10,80.0,48.9,31,1,3.2,2,2.0,18.4
POL,GK,33,1987,34.0,56,5,1,2,2,52.3,0.31,-1.7,-0.05,233,579,40.2,951,145,41.9,36.5,287,63.1,47.7,532,24,4.5,51,1.5,16.7
GER,GK,21,2000,0.1,0,0,0,0,0,0.0,,0.0,0.0,1,1,100.0,4,0,25.0,18.0,0,,,0,0,,0,0.0,19.0
GER,GK,35,1986,27.9,26,1,0,1,0,23.9,0.26,-2.1,-0.07,110,223,49.3,1085,163,19.0,27.6,166,10.2,25.3,262,9,3.4,95,3.41,26.2
GER,GK,32,1988,6.0,11,1,1,1,1,8.7,0.34,-1.3,-0.22,10,32,31.3,197,31,14.2,25.2,38,10.5,20.2,54,3,5.6,10,1.67,19.2
GER,GK,32,1988,31.0,45,3,1,3,4,41.4,0.27,2.4,0.08,464,1004,46.2,1353,99,62.0,43.6,243,67.9,48.5,411,27,6.6,71,2.37,19.5
GER,GK,33,1987,3.0,7,2,0,1,0,8.5,0.32,1.5,0.51,20,65,30.8,104,10,41.3,36.1,30,73.3,48.3,52,1,1.9,1,0.33,10.7
SUI,GK,23,1997,28.5,39,3,2,5,2,37.3,0.32,0.3,0.01,77,240,32.1,836,142,20.5,27.5,185,37.3,35.4,343,17,5.0,49,1.72,16.1
SUI,GK,33,1987,4.5,12,2,0,1,0,8.6,0.27,-3.4,-0.76,16,32,50.0,147,31,18.4,27.7,30,16.7,28.2,54,3,5.6,9,2.0,20.6
SUI,GK,30,1990,1.0,1,1,0,0,0,1.0,0.0,0.0,-0.01,0,7,0.0,20,3,30.0,28.1,3,33.3,34.3,5,0,0.0,5,5.0,27.3
GER,GK,19,2001,1.0,1,0,0,0,0,1.0,0.25,0.0,-0.01,4,14,28.6,37,6,32.4,31.6,4,50.0,40.0,24,3,12.5,3,3.0,14.8
GER,GK,32,1988,1.0,2,0,0,0,0,0.7,0.16,-1.3,-1.35,1,4,25.0,18,5,0.0,21.9,11,36.4,36.8,10,1,10.0,0,0.0,10.8
GER,GK,31,1990,32.0,46,4,0,3,1,50.8,0.3,5.8,0.18,157,539,29.1,1001,146,41.8,34.6,250,48.4,42.6,426,19,4.5,43,1.34,16.4
GER,GK,27,1993,2.0,7,0,0,2,0,3.0,0.25,-4.0,-2.01,22,51,43.1,70,14,44.3,34.4,20,100.0,63.2,34,4,11.8,1,0.5,6.3
NED,GK,28,1993,32.0,39,2,1,3,1,39.7,0.27,1.7,0.05,245,633,38.7,1084,112,41.5,37.8,244,75.0,59.1,462,14,3.0,35,1.09,15.8
GER,GK,33,1988,1.0,1,0,0,0,0,0.4,0.12,-0.6,-0.64,6,13,46.2,41,4,24.4,29.5,6,50.0,51.8,18,0,0.0,0,0.0,8.0
SUI,GK,32,1988,33.0,60,3,1,5,0,57.0,0.3,-3.0,-0.09,147,439,33.5,1213,162,28.9,31.3,221,39.8,37.2,428,19,4.4,53,1.66,16.2
SWE,GK,28,1993,12.0,24,1,0,5,1,19.7,0.31,-3.3,-0.27,63,211,29.9,408,69,39.0,35.1,87,59.8,44.8,227,13,5.7,10,0.83,13.8
GER,GK,25,1996,8.0,30,2,0,3,2,24.2,0.41,-3.8,-0.47,65,182,35.7,288,26,45.8,37.5,70,71.4,52.2,95,7,7.4,19,2.38,18.6
GER,GK,31,1989,14.0,28,3,1,4,2,23.0,0.28,-3.0,-0.22,120,326,36.8,441,49,52.2,41.1,115,83.5,55.9,224,8,3.6,24,1.71,17.2
GER,GK,29,1992,24.2,51,5,1,6,0,42.2,0.31,-8.8,-0.36,126,333,37.8,621,125,32.9,33.0,204,63.2,48.2,404,17,4.2,32,1.32,15.0
POL,GK,20,2001,9.8,20,3,0,4,0,13.8,0.23,-6.2,-0.63,63,188,33.5,262,47,52.3,39.7,73,69.9,52.5,144,13,9.0,10,1.02,12.1
GER,GK,31,1990,33.0,57,2,0,9,1,51.5,0.33,-4.5,-0.14,138,393,35.1,1302,185,26.1,29.0,216,24.5,28.8,420,27,6.4,65,1.97,16.7
GER,GK,36,1985,1.0,3,0,0,0,0,1.7,0.24,-1.3,-1.34,5,13,38.5,32,5,34.4,28.5,7,28.6,30.1,10,1,10.0,0,0.0,11.3
GER,GK,26,1995,21.0,28,0,2,3,1,31.4,0.31,4.4,0.21,107,251,42.6,854,88,23.5,28.8,144,34.7,35.2,283,9,3.2,15,0.71,13.6
GER,GK,28,1993,13.0,21,0,0,3,1,19.7,0.36,-0.3,-0.02,67,166,40.4,438,47,32.2,33.1,81,30.9,33.4,149,4,2.7,19,1.46,17.4
RUS,GK,29,1991,1.0,1,0,0,0,0,0.4,0.19,-0.6,-0.62,4,10,40.0,43,5,14.0,25.4,6,66.7,53.7,21,0,0.0,0,0.0,13.0
GER,GK,22,1999,1.0,2,0,0,0,1,1.8,0.31,0.8,0.84,5,17,29.4,37,7,29.7,28.5,10,60.0,43.8,12,0,0.0,0,0.0,12.0
FIN,GK,31,1989,32.0,44,2,2,6,0,41.9,0.26,-2.1,-0.07,130,381,34.1,1050,173,27.8,30.6,209,42.6,37.4,385,17,4.4,45,1.41,17.5
GER,GK,23,1998,2.0,3,1,0,0,0,2.1,0.24,-0.9,-0.43,3,14,21.4,59,9,16.9,25.8,20,20.0,31.2,27,2,7.4,2,1.0,14.4
GER,GK,26,1994,32.0,42,4,0,4,1,39.1,0.29,-1.9,-0.06,119,389,30.6,766,166,36.9,34.4,236,44.9,39.4,423,29,6.9,68,2.13,17.9
ESP,GK,23,1998,1.0,3,0,0,0,0,1.5,0.37,-1.5,-1.51,2,5,40.0,14,1,28.6,29.6,7,14.3,29.4,4,0,0.0,4,4.0,25.0
GER,GK,35,1985,0.0,0,0,0,0,0,0.0,,0.0,0.0,1,2,50.0,5,0,40.0,36.4,0,,,0,0,,0,0.0,
HUN,GK,31,1990,33.0,34,3,0,6,1,31.9,0.27,-1.1,-0.03,117,310,37.7,976,162,24.9,29.5,198,33.8,33.1,349,14,4.0,61,1.85,20.6
GER,GK,26,1995,4.0,7,0,0,3,0,6.7,0.28,-0.3,-0.07,10,22,45.5,92,22,20.7,26.8,37,8.1,19.6,67,2,3.0,4,1.0,17.8
GER,GK,23,1997,30.0,52,4,1,5,1,46.3,0.31,-4.7,-0.16,92,235,39.1,773,152,21.2,27.3,240,29.6,30.7,447,17,3.8,37,1.23,15.4
GER,GK,34,1987,27.0,39,2,0,5,3,30.5,0.29,-5.5,-0.2,163,472,34.5,784,122,43.6,36.0,217,59.9,44.2,399,29,7.3,24,0.89,12.9
DEN,GK,28,1992,7.0,5,0,0,0,1,3.4,0.19,-0.6,-0.09,43,122,35.2,213,28,45.1,36.3,43,60.5,45.2,83,11,13.3,3,0.43,10.2
BEL,GK,29,1992,28.0,40,3,0,4,0,42.0,0.32,2.0,0.07,165,370,44.6,873,135,30.6,32.3,204,50.5,42.1,413,31,7.5,30,1.07,14.8
AUT,GK,33,1987,6.0,14,1,1,2,1,11.3,0.27,-1.7,-0.29,18,58,31.0,158,31,31.0,31.8,49,18.4,26.4,97,2,2.1,7,1.17,13.6
POL,GK,34,1987,23.0,41,1,1,4,0,41.3,0.28,0.3,0.01,185,452,40.9,916,127,33.3,33.0,234,62.8,48.9,363,21,5.8,45,1.96,16.7
CZE,GK,29,1992,11.0,22,0,1,0,2,22.0,0.36,2.0,0.19,77,225,34.2,414,48,37.9,36.5,96,70.8,52.5,176,10,5.7,22,2.0,16.8
GER,GK,36,1986,12.0,11,2,0,0,0,14.7,0.29,3.7,0.31,39,79,49.4,435,81,16.6,26.8,69,10.1,23.8,103,4,3.9,23,1.92,19.5
GER,GK,33,1988,3.0,2,0,0,1,0,2.4,0.18,0.4,0.13,9,26,34.6,112,21,20.5,26.0,18,16.7,23.4,34,2,5.9,4,1.33,17.5
SUI,GK,33,1988,19.0,25,7,1,1,0,23.7,0.32,-1.3,-0.07,48,118,40.7,651,83,14.6,25.1,98,23.5,28.7,212,12,5.7,27,1.42,16.7
GER,GK,33,1988,34.0,72,8,2,9,3,69.0,0.3,0.0,0.0,554,1175,47.1,1489,83,66.8,44.7,261,69.0,50.6,536,31,5.8,121,3.56,22.2
GER,GK,31,1991,7.0,12,0,0,2,0,7.9,0.25,-4.1,-0.58,24,60,40.0,278,35,16.2,27.3,44,34.1,35.0,91,8,8.8,18,2.57,19.8
SUI,GK,24,1997,27.0,32,1,0,5,1,33.8,0.29,2.8,0.1,100,252,39.7,855,122,20.9,28.9,192,38.0,36.5,295,15,5.1,37,1.37,17.1
GER,GK,20,2001,1.0,1,0,0,1,0,1.0,0.2,0.0,0.01,1,3,33.3,21,7,9.5,29.1,4,25.0,22.0,15,1,6.7,1,1.0,11.5
GER,GK,32,1990,33.0,51,2,1,7,1,42.3,0.32,-7.7,-0.23,80,326,24.5,664,128,39.2,34.8,219,30.1,34.1,401,17,4.2,24,0.73,14.4
NED,GK,29,1993,34.0,44,5,0,4,0,46.4,0.28,2.4,0.07,271,665,40.8,1231,121,40.2,37.6,231,73.6,58.0,434,32,7.4,43,1.26,15.0
GER,GK,20,2001,4.0,11,1,0,1,0,11.4,0.39,0.4,0.09,11,37,29.7,123,25,28.5,30.5,36,5.6,20.9,59,6,10.2,4,1.0,12.9
SUI,GK,28,1994,14.3,18,2,0,0,0,18.1,0.29,0.1,0.0,57,177,32.2,638,74,22.3,28.7,100,35.0,35.3,220,15,6.8,20,1.4,14.8
GER,GK,34,1988,5.7,12,1,0,3,0,11.6,0.33,-0.4,-0.08,25,106,23.6,212,23,33.5,32.7,48,72.9,53.1,88,2,2.3,4,0.71,13.1
SUI,GK,33,1988,10.0,14,2,1,0,1,16.7,0.25,3.7,0.37,48,141,34.0,517,52,23.0,28.2,90,24.4,28.6,162,5,3.1,13,1.3,14.6
DEN,GK,23,1999,33.0,68,5,4,8,0,57.9,0.33,-10.1,-0.31,204,586,34.8,977,166,42.5,35.9,235,72.8,54.3,486,33,6.8,70,2.12,18.8
GER,GK,19,2003,1.0,1,0,0,0,0,2.5,0.36,1.5,1.52,5,13,38.5,22,6,27.3,31.2,13,53.8,43.1,18,0,0.0,0,0.0,3.5
GER,GK,32,1990,34.0,57,2,1,11,1,50.4,0.31,-5.6,-0.16,206,525,39.2,1164,168,35.3,33.6,249,45.8,39.3,529,43,8.1,43,1.26,13.4
GER,GK,27,1995,34.0,54,4,4,4,3,42.3,0.3,-8.7,-0.26,154,404,38.1,1203,117,28.8,31.3,185,31.4,33.9,468,19,4.1,22,0.65,13.4
RUS,GK,30,1991,1.0,2,0,0,0,0,1.4,0.35,-0.6,-0.61,4,10,40.0,41,7,24.4,30.3,3,0.0,15.3,6,1,16.7,1,1.0,13.0
FIN,GK,32,1989,33.0,47,7,1,5,2,41.3,0.25,-3.7,-0.11,117,373,31.4,899,148,31.3,32.0,202,45.5,38.7,404,27,6.7,26,0.79,14.1
GER,GK,24,1998,8.0,16,1,0,3,0,13.5,0.25,-2.5,-0.32,48,139,34.5,226,38,42.9,36.6,54,77.8,54.5,158,17,10.8,8,1.0,13.8
GER,GK,27,1994,26.0,39,3,1,2,0,35.4,0.3,-3.6,-0.14,160,474,33.8,672,146,50.0,40.0,194,71.1,54.1,321,43,13.4,53,2.04,17.4
GER,GK,31,1991,26.0,29,6,0,2,0,26.9,0.27,-2.1,-0.08,59,189,31.2,985,126,14.9,25.3,156,26.9,30.0,288,20,6.9,39,1.5,17.0
HUN,GK,32,1990,6.0,10,1,0,2,1,10.1,0.37,1.1,0.19,11,37,29.7,179,37,15.6,26.4,36,25.0,29.6,61,3,4.9,10,1.67,19.4
NOR,GK,31,1990,2.0,2,0,0,1,1,1.8,0.36,0.8,0.39,11,33,33.3,83,9,32.5,33.6,15,40.0,36.7,28,0,0.0,0,0.0,12.5
GER,GK,30,1992,22.6,58,4,1,6,0,45.8,0.31,-12.2,-0.54,180,441,40.8,676,79,46.4,38.4,174,73.0,55.2,321,7,2.2,23,1.02,15.0
GER,GK,33,1988,11.4,13,1,0,1,1,12.4,0.21,0.4,0.04,99,217,45.6,358,50,45.0,36.8,83,67.5,48.9,162,11,6.8,9,0.79,11.6
GER,GK,27,1995,15.0,23,5,0,3,1,20.1,0.26,-1.9,-0.13,55,129,42.6,503,86,20.3,27.6,91,29.7,33.5,203,12,5.9,15,1.0,15.2
GER,GK,24,1997,19.0,34,1,2,3,0,27.2,0.3,-6.8,-0.36,98,212,46.2,599,98,26.9,29.2,133,38.3,36.6,260,6,2.3,28,1.47,18.9
DEN,GK,29,1992,29.0,27,5,0,5,0,35.2,0.26,8.2,0.28,240,605,39.7,1115,109,44.6,36.5,163,66.3,49.4,434,43,9.9,29,1.0,13.5
GER,GK,23,1999,5.0,11,2,0,1,0,9.0,0.28,-2.0,-0.41,48,108,44.4,197,28,48.2,37.1,17,76.5,55.2,47,8,17.0,7,1.4,15.1
CZE,GK,30,1992,32.3,61,2,0,5,2,51.9,0.29,-7.1,-0.22,198,497,39.8,893,152,40.1,36.3,279,49.8,42.9,481,22,4.6,38,1.18,14.9
GER,GK,27,1995,1.7,3,0,0,1,0,3.2,0.24,0.2,0.11,16,33,48.5,49,13,51.0,41.6,12,66.7,50.3,15,3,20.0,4,2.37,16.5
BEL,GK,30,1992,34.0,48,4,0,5,3,43.9,0.27,-1.1,-0.03,257,588,43.7,1326,183,33.3,33.7,258,57.0,47.5,489,29,5.9,51,1.5,16.5
GER,GK,25,1998,31.0,52,7,0,10,2,49.3,0.26,-0.7,-0.02,169,450,37.6,1151,92,30.8,32.4,187,51.3,44.3,484,28,5.8,50,1.61,15.0
CZE,GK,30,1992,3.0,8,0,0,2,0,6.7,0.29,-1.3,-0.43,16,40,40.0,74,6,36.5,34.5,24,54.2,46.5,36,2,5.6,2,0.67,11.6
ISR,GK,23,2000,0.2,0,0,0,0,0,0.0,,0.0,0.0,0,4,0.0,15,3,26.7,33.1,2,0.0,16.5,2,0,0.0,0,0.0,
GER,GK,37,1986,22.8,33,2,1,1,0,29.1,0.29,-3.9,-0.17,73,159,45.9,779,110,18.6,27.7,97,14.4,26.0,231,9,3.9,32,1.4,17.5
GER,GK,34,1988,11.0,12,1,1,2,0,11.8,0.35,-0.2,-0.01,26,79,32.9,348,57,20.4,26.2,47,17.0,26.4,108,5,4.6,16,1.45,19.9
GER,GK,36,1987,1.0,4,0,0,0,1,2.7,0.68,-0.3,-0.3,20,43,46.5,42,2,85.7,51.3,7,100.0,61.1,13,0,0.0,0,0.0,7.7
GER,GK,34,1988,33.0,70,9,0,9,3,59.6,0.27,-7.4,-0.22,430,1041,41.3,1498,89,61.0,42.5,208,61.1,46.9,510,35,6.9,104,3.15,19.8
GER,GK,28,1995,3.0,10,0,0,2,0,6.3,0.37,-3.7,-1.25,33,72,45.8,129,13,41.1,36.0,21,90.5,59.6,51,3,5.9,9,3.0,19.1
GER,GK,30,1993,31.0,76,1,2,7,2,68.0,0.34,-6.0,-0.19,245,618,39.6,1204,182,36.3,34.8,289,62.6,48.5,453,24,5.3,51,1.65,16.5
GER,GK,32,1991,7.7,9,0,0,0,1,7.8,0.3,-0.2,-0.03,27,81,33.3,334,29,20.1,28.3,31,45.2,42.1,107,8,7.5,7,0.91,14.5
SUI,GK,25,1997,26.3,34,5,0,9,1,36.8,0.28,3.8,0.14,106,268,39.6,1006,106,19.6,28.1,165,43.0,38.5,359,7,1.9,17,0.65,12.5
GER,GK,34,1988,2.0,2,0,0,0,0,1.4,0.15,-0.6,-0.31,4,29,13.8,77,15,31.2,34.4,15,33.3,37.9,33,4,12.1,4,2.0,15.7
GER,GK,33,1990,32.0,48,9,0,4,0,48.3,0.28,0.3,0.01,102,361,28.3,949,137,28.9,29.8,212,41.0,36.2,452,16,3.5,30,0.94,15.2
GER,GK,21,2002,34.0,58,3,1,5,1,50.0,0.3,-7.0,-0.21,193,568,34.0,1148,160,35.4,34.2,241,67.2,50.7,485,31,6.4,30,0.88,13.6
SUI,GK,29,1994,7.0,18,2,0,1,0,13.3,0.24,-4.7,-0.67,32,90,35.6,242,37,30.2,32.3,34,50.0,41.8,78,7,9.0,12,1.71,15.3
GER,GK,25,1997,27.0,49,4,0,6,0,45.1,0.26,-3.9,-0.14,112,315,35.6,888,140,26.0,29.7,161,52.2,42.5,460,21,4.6,22,0.81,13.2
GER,GK,32,1991,34.0,55,7,0,7,3,53.6,0.27,1.6,0.05,249,595,41.8,1164,167,35.2,35.9,316,58.5,46.1,495,24,4.8,17,0.5,13.2
GER,GK,33,1990,34.0,66,2,3,9,1,68.6,0.31,3.6,0.11,208,529,39.3,1159,165,33.7,32.7,249,55.4,44.9,545,31,5.7,73,2.15,16.7
GER,GK,28,1995,34.0,60,3,0,10,0,62.0,0.36,2.0,0.06,135,372,36.3,1148,101,28.4,31.4,149,30.9,34.3,504,14,2.8,21,0.62,13.4
FIN,GK,33,1989,33.0,24,0,0,4,0,27.5,0.27,3.5,0.11,71,202,35.1,736,165,20.8,27.6,145,33.8,34.5,313,27,8.6,39,1.18,16.5
CZE,GK,23,2000,1.0,0,0,0,0,0,0.4,0.15,0.4,0.44,0,0,,17,6,0.0,22.1,0,,,3,1,33.3,1,1.0,15.0
GER,GK,32,1991,4.0,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.5,11.3
GER,GK,28,1994,30.0,48,3,1,2,1,49.2,0.37,2.2,0.07,180,512,35.2,862,146,47.3,38.5,177,58.8,46.4,393,42,10.7,48,1.6,16.0
GER,GK,32,1991,21.0,30,4,0,7,0,25.3,0.28,-4.7,-0.22,57,155,36.8,822,89,14.7,25.7,134,25.4,30.7,251,16,6.4,37,1.76,17.6
HUN,GK,33,1990,13.0,9,0,1,1,1,10.3,0.25,2.3,0.17,22,79,27.8,373,58,12.9,25.1,97,32.0,32.2,175,7,4.0,14,1.08,14.5
GER,GK,26,1996,30.0,36,3,0,5,3,30.8,0.27,-2.2,-0.07,126,291,43.3,1103,132,23.1,28.7,112,32.1,32.7,341,30,8.8,57,1.9,17.3
GER,GK,28,1995,4.0,3,0,0,1,0,5.0,0.23,2.0,0.49,22,61,36.1,168,15,31.5,31.0,11,72.7,51.7,55,1,1.8,5,1.25,16.6
GER,GK,31,1992,1.0,2,0,0,0,0,1.2,0.2,-0.8,-0.81,4,10,40.0,28,4,32.1,34.1,8,12.5,28.4,13,0,0.0,0,0.0,5.0
DEN,GK,30,1992,33.0,56,5,2,7,1,51.7,0.28,-3.3,-0.1,198,525,37.7,1096,174,35.2,33.6,218,63.8,47.4,539,54,10.0,37,1.12,12.9
CZE,GK,31,1992,7.0,17,2,0,1,0,13.1,0.3,-3.9,-0.56,31,85,36.5,177,37,37.9,34.2,69,26.1,32.5,109,7,6.4,9,1.29,14.4
GER,GK,28,1995,27.0,37,4,0,4,1,41.0,0.3,5.0,0.18,145,330,43.9,977,161,28.5,32.7,144,36.1,38.1,407,34,8.4,30,1.11,14.6
BEL,GK,31,1992,25.0,39,2,0,2,2,36.4,0.3,-0.6,-0.03,161,390,41.3,786,118,36.3,35.0,161,65.2,48.4,335,25,7.5,38,1.52,15.7
AUT,GK,35,1987,9.0,17,0,2,2,1,11.5,0.32,-4.5,-0.51,40,104,38.5,263,39,33.5,32.8,37,43.2,39.6,127,1,0.8,3,0.33,12.1
ALB,GK,27,1989,26.0,26,3,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,24,1992,8.0,14,1,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,21,1995,4.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
BRA,GK,32,1983,17.1,26,3,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,33,1983,20.9,32,1,,,,,,,,,,,,,,,,,,,,,,,
BRA,GK,23,1992,3.0,5,1,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,18,1998,1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,39,1977,14.0,36,3,,,,,,,,,,,,,,,,,,,,,,,
BRA,GK,34,1982,20.0,32,2,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,26,1990,4.0,9,0,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,37,1979,34.0,52,4,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,33,1983,36.0,54,6,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,24,1992,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,26,1989,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
POL,GK,25,1991,35.0,56,5,,,,,,,,,,,,,,,,,,,,,,,
POL,GK,18,1997,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ROU,GK,30,1986,34.4,51,4,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,21,1995,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,24,1992,2.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,26,1989,20.9,37,1,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,23,1992,15.1,19,2,,,,,,,,,,,,,,,,,,,,,,,
BRA,GK,33,1982,2.0,8,1,,,,,,,,,,,,,,,,,,,,,,,
