nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
FRA,GK,36,1985,1.0,1,0,0,0,0,1.6,0.4,0.6,0.6,9,14,64.3,29,5,44.8,36.8,10,10.0,20.4,20,1,5.0,0,0.0,8.2
FRA,GK,20,2001,32.0,31,2,2,1,3,30.5,0.27,2.5,0.08,76,282,27.0,903,121,26.2,29.4,105,42.9,37.2,317,22,6.9,25,0.78,13.5
BRA,GK,27,1995,6.0,13,2,0,2,0,8.6,0.4,-4.4,-0.73,6,34,17.6,138,27,21.7,26.8,15,26.7,26.7,65,5,7.7,9,1.5,16.0
ITA,GK,34,1988,17.9,24,1,2,2,0,25.2,0.29,1.2,0.07,56,176,31.8,471,101,25.9,29.5,112,48.2,37.5,344,12,3.5,9,0.5,10.6
SUI,GK,28,1994,20.1,29,1,0,4,1,27.1,0.27,-0.9,-0.04,86,228,37.7,473,85,34.0,32.1,145,46.2,36.6,381,21,5.5,7,0.35,8.5
POR,GK,31,1990,31.3,39,7,2,5,2,41.4,0.27,4.4,0.14,114,317,36.0,838,134,31.3,31.9,183,30.1,31.8,358,19,5.3,25,0.8,13.9
FRA,GK,34,1987,6.7,8,4,0,0,1,8.8,0.2,1.8,0.27,12,49,24.5,178,30,22.5,28.7,47,19.1,26.0,78,6,7.7,10,1.5,17.2
ESP,GK,27,1994,32.5,34,5,0,6,1,33.8,0.24,0.8,0.02,112,324,34.6,941,132,25.1,31.0,172,51.2,40.4,370,22,5.9,37,1.14,15.4
ESP,GK,27,1995,5.5,6,0,0,1,2,3.9,0.2,-0.1,-0.02,11,47,23.4,165,31,20.6,27.4,41,31.7,32.1,73,3,4.1,7,1.27,17.9
GER,GK,25,1996,38.0,58,5,1,4,3,49.5,0.24,-5.5,-0.14,189,445,42.5,875,203,32.2,32.8,266,61.3,45.6,454,36,7.9,33,0.87,12.7
FRA,GK,31,1991,19.0,22,2,0,2,0,29.5,0.29,7.5,0.4,116,322,36.0,475,72,46.9,37.8,165,60.0,44.2,273,15,5.5,13,0.68,10.8
SEN,GK,25,1996,4.5,11,1,0,2,0,9.1,0.29,-1.9,-0.41,18,57,31.6,95,19,42.1,35.4,35,48.6,39.9,52,3,5.8,2,0.44,11.2
SUI,GK,28,1994,13.0,26,3,0,2,2,24.1,0.28,0.1,0.0,53,161,32.9,330,77,32.1,31.7,85,64.7,47.3,209,14,6.7,12,0.93,12.0
POR,GK,23,1999,1.5,3,0,0,0,0,1.9,0.24,-1.1,-0.7,14,43,32.6,38,4,78.9,49.4,14,92.9,61.4,38,2,5.3,0,0.0,8.3
FRA,GK,23,1999,37.0,54,9,1,6,4,54.8,0.26,4.8,0.13,189,516,36.6,942,202,37.2,35.5,247,67.2,49.3,493,42,8.5,39,1.05,12.3
FRA,GK,26,1996,1.0,1,0,0,0,0,1.5,0.25,0.5,0.48,5,9,55.6,20,9,25.0,33.2,6,66.7,46.5,11,1,9.1,0,0.0,7.0
DEN,GK,35,1986,36.0,35,3,2,5,0,35.9,0.23,0.9,0.02,170,388,43.8,909,119,30.7,32.7,278,39.2,35.7,455,24,5.3,23,0.64,12.9
POL,GK,22,1999,2.0,2,0,0,0,0,3.1,0.52,1.1,0.56,8,20,40.0,49,11,20.4,28.1,18,55.6,44.2,26,2,7.7,3,1.5,13.8
FRA,GK,31,1990,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,0,,3,0,0.0,19.0,1,0.0,11.0,1,0,0.0,0,0.0,
