players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
31,38,13045,17777,73.4,237346,93900,6045,7200,84.0,4765,6029,79.0,1792,3398,52.7,13,19.9,17.4,-6.9,283,1023,208,93,1248,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
25,38,14640,19068,76.8,259605,95052,6805,7883,86.3,5513,6788,81.2,1752,3120,56.2,34,37.6,31.5,-3.6,381,1181,264,66,1537,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
23,38,21146,25571,82.7,364398,118593,9634,10759,89.5,8817,10042,87.8,1982,3284,60.4,55,49.8,52.6,5.2,422,1520,495,75,2008,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
21,38,24678,28389,86.9,395041,113549,12249,13188,92.9,9318,10379,89.8,1907,2834,67.3,71,65.5,63.6,5.5,516,1948,554,62,2429,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
28,38,16834,20942,80.4,284489,101728,7987,8945,89.3,6247,7334,85.2,1704,2961,57.5,40,39.6,38.3,0.4,381,1219,339,58,1668,/en/squads/19538871/2018-2019/Manchester-United-Stats
24,38,10774,15231,70.7,197304,79475,4812,5773,83.4,3758,4863,77.3,1584,3269,48.5,33,27.4,23.4,5.6,324,792,255,99,985,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
30,38,11463,15930,72.0,201495,79147,5615,6610,84.9,4317,5535,78.0,1241,2873,43.2,27,29.3,27.9,-2.3,337,1086,260,68,1333,/en/squads/33c895d4/2018-2019/Southampton-Stats
28,38,18808,23056,81.6,324971,107296,8731,9745,89.6,7694,8904,86.4,1810,3083,58.7,47,39.1,36.2,7.9,392,1283,364,90,1744,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
25,38,12550,16974,73.9,213157,87312,6240,7278,85.7,4322,5450,79.3,1370,2902,47.2,39,34.8,28.5,4.2,310,944,291,55,1294,/en/squads/2abfe087/2018-2019/Watford-Stats
26,38,13847,18038,76.8,239173,90485,6655,7661,86.9,4834,5923,81.6,1640,2995,54.8,33,34.1,30.9,-1.1,325,1005,266,55,1478,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
21,38,13961,18261,76.5,255563,92552,5966,6900,86.5,5519,6661,82.9,1884,3353,56.2,35,39.4,30.3,-4.4,348,1053,242,73,1350,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
26,38,9631,14061,68.5,186037,84436,4155,5125,81.1,3682,4818,76.4,1514,3235,46.8,27,29.0,24.9,-2.0,298,831,224,117,1113,/en/squads/8d6fd021/2018-2019/Alaves-Stats
27,38,13195,17584,75.0,241813,95216,6013,7036,85.5,5053,6188,81.7,1662,3197,52.0,26,30.7,34.5,-4.7,299,1069,288,86,1452,/en/squads/2b390eca/2018-2019/Athletic-Club-Stats
29,38,14943,19014,78.6,244070,89224,7677,8649,88.8,4958,6062,81.8,1494,2809,53.2,36,35.3,37.2,0.7,350,1128,288,47,1386,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
30,38,23263,26691,87.2,387149,121599,11437,12414,92.1,8986,9977,90.1,2097,2877,72.9,61,55.8,54.3,5.2,405,1807,438,37,2110,/en/squads/206d90db/2018-2019/Barcelona-Stats
25,38,19411,22871,84.9,330969,106399,9076,9940,91.3,7937,8845,89.7,1761,2815,62.6,30,32.9,35.9,-2.9,326,1279,304,61,1631,/en/squads/fc536746/2018-2019/Real-Betis-Stats
28,38,14955,18808,79.5,268380,94860,6600,7448,88.6,6152,7186,85.6,1693,3042,55.7,37,33.6,29.7,3.4,343,959,245,67,1288,/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats
25,38,12976,18501,70.1,257830,97741,5205,6395,81.4,5155,6570,78.5,2179,4285,50.9,26,36.7,38.9,-10.7,374,1359,353,152,1619,/en/squads/bea5c710/2018-2019/Eibar-Stats
25,38,13855,17740,78.1,257913,96514,5888,6755,87.2,5853,6979,83.9,1783,3044,58.6,26,33.8,32.7,-7.8,332,1060,306,60,1495,/en/squads/a8661628/2018-2019/Espanyol-Stats
26,38,8108,13021,62.3,166355,79572,3280,4305,76.2,3027,4335,69.8,1505,3376,44.6,34,32.9,28.7,1.1,294,842,272,86,1131,/en/squads/7848bd64/2018-2019/Getafe-Stats
26,38,13136,17212,76.3,250408,94834,5279,6114,86.3,5722,6882,83.1,1791,3324,53.9,23,29.3,31.2,-6.3,280,869,256,92,1316,/en/squads/9024a00a/2018-2019/Girona-Stats
30,38,10586,14891,71.1,201067,85670,4641,5565,83.4,3976,5151,77.2,1575,3157,49.9,28,34.6,31.3,-6.6,336,873,272,111,1209,/en/squads/c6c493e6/2018-2019/Huesca-Stats
29,38,10733,15210,70.6,211020,87095,4636,5593,82.9,4186,5407,77.4,1727,3486,49.5,25,28.1,26.9,-3.1,306,933,234,121,1153,/en/squads/7c6f2c78/2018-2019/Leganes-Stats
26,38,10824,14765,73.3,197315,82835,4880,5718,85.3,4064,5049,80.5,1458,2927,49.8,39,38.5,28.5,0.5,307,932,250,63,1295,/en/squads/9800b6a1/2018-2019/Levante-Stats
29,38,12469,16307,76.5,226255,87288,5658,6496,87.1,4841,5856,82.7,1534,2945,52.1,24,33.0,29.2,-9.0,334,904,224,80,1326,/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats
27,38,20625,24198,85.2,365419,117707,9972,10890,91.6,7745,8656,89.5,2465,3521,70.0,39,49.9,44.8,-10.9,464,1628,386,87,2094,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
30,38,14565,18547,78.5,268094,94553,6175,7064,87.4,6300,7372,85.5,1729,3062,56.5,27,33.0,31.3,-6.0,316,1016,252,89,1381,/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats
