players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
27,34,624,18.35,426,72,21,48,50,7,39,1.15,24,4,1,7,3,0,/en/squads/6f2c108c/2018-2019/Nurnberg-Stats
23,34,861,25.32,626,75,58,48,46,8,101,2.97,63,3,16,10,5,4,/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats
32,34,707,20.79,442,93,42,43,69,18,60,1.76,34,6,6,6,7,1,/en/squads/c539e393/2018-2019/Schalke-04-Stats
26,34,714,21.0,517,73,36,39,34,15,58,1.71,41,6,4,6,1,0,/en/squads/598bc722/2018-2019/Stuttgart-Stats
24,34,832,24.47,636,61,44,48,30,13,102,3.0,68,3,14,9,7,1,/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats
25,34,754,22.18,543,83,37,40,45,6,100,2.94,64,9,6,13,6,2,/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats
27,38,1148,30.21,864,92,71,75,31,15,137,3.61,100,8,10,12,3,4,/en/squads/922493f3/2018-2019/Atalanta-Stats
29,38,879,23.13,615,101,40,54,53,16,79,2.08,57,9,3,4,4,2,/en/squads/1d8099f8/2018-2019/Bologna-Stats
30,38,757,19.92,541,96,24,48,34,14,64,1.68,43,8,3,5,4,1,/en/squads/c4260e09/2018-2019/Cagliari-Stats
36,38,688,18.11,515,60,33,41,33,6,40,1.05,27,4,0,6,3,0,/en/squads/cc919b35/2018-2019/Chievo-Stats
29,38,787,20.71,587,55,56,47,30,12,85,2.24,62,5,9,5,4,0,/en/squads/a3d88bd8/2018-2019/Empoli-Stats
27,38,1002,26.37,722,92,56,69,45,18,69,1.82,44,2,10,6,6,1,/en/squads/421387cf/2018-2019/Fiorentina-Stats
33,38,789,20.76,558,89,25,44,62,11,48,1.26,28,6,3,7,4,0,/en/squads/6a7ad59d/2018-2019/Frosinone-Stats
31,38,931,24.5,636,103,43,60,60,29,63,1.66,44,7,2,3,4,3,/en/squads/658bf2de/2018-2019/Genoa-Stats
23,38,1129,29.71,866,98,42,67,38,18,98,2.58,66,8,6,9,7,2,/en/squads/d609edc0/2018-2019/Internazionale-Stats
31,38,1103,29.03,816,87,53,72,58,17,108,2.84,71,7,4,14,9,3,/en/squads/e0652b02/2018-2019/Juventus-Stats
30,38,1093,28.76,834,81,53,64,44,17,89,2.34,60,7,7,9,4,2,/en/squads/7213da33/2018-2019/Lazio-Stats
23,38,1052,27.68,838,61,55,45,35,18,90,2.37,69,3,5,7,5,1,/en/squads/dc56fe14/2018-2019/Milan-Stats
26,38,1266,33.32,1045,55,56,58,27,25,129,3.39,100,5,7,11,4,2,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
31,38,601,15.82,383,63,54,42,45,14,61,1.61,30,6,7,9,8,1,/en/squads/eab4234c/2018-2019/Parma-Stats
26,38,1107,29.13,785,110,71,74,48,19,116,3.05,80,8,8,7,12,1,/en/squads/cf74a709/2018-2019/Roma-Stats
28,38,831,21.87,604,83,33,40,57,14,82,2.16,50,14,4,5,9,0,/en/squads/1d2fe027/2018-2019/SPAL-Stats
24,38,838,22.05,642,54,35,44,44,19,104,2.74,81,2,7,6,8,0,/en/squads/8ff9e3b3/2018-2019/Sampdoria-Stats
29,38,882,23.21,678,58,43,54,34,15,79,2.08,52,6,2,12,7,0,/en/squads/e2befd26/2018-2019/Sassuolo-Stats
25,38,916,24.11,646,99,56,49,51,15,86,2.26,55,10,4,5,9,3,/en/squads/105360fe/2018-2019/Torino-Stats
31,38,818,21.53,599,61,66,38,39,15,65,1.71,45,6,5,4,5,0,/en/squads/04eea015/2018-2019/Udinese-Stats
